date,AS_FTSE_DM_STAY_2022_Q2,meta
2022-05-11 23:59:59,104.98763586427772,c
2022-05-12 00:00:00,134.70059363386306,
2022-05-12 01:00:00,137.95112163138808,
2022-05-12 02:30:00,134.76799282987636,
2022-05-12 03:00:00,135.74717752250112,
2022-05-12 18:30:00,138.27855124469187,
2022-05-12 20:00:00,137.89941071456383,
2022-05-12 23:00:00,66.28691596836705,
2022-05-12 23:59:59,67.6388366224512,c
2022-05-13 00:00:00,80.04170830523938,
2022-05-13 01:00:00,83.05171785727964,
2022-05-13 02:30:00,89.57893484413097,
2022-05-13 03:00:00,89.15928409207675,
2022-05-13 18:30:00,89.15928409207675,
2022-05-13 20:00:00,89.15928409207675,
2022-05-13 23:00:00,89.15928409207675,
2022-05-13 23:59:59,82.46265464532195,w
2022-05-16 00:00:00,47.41077307607929,
2022-05-16 01:00:00,36.725455794978544,
2022-05-16 02:30:00,34.933333537633956,
2022-05-16 03:00:00,35.35041561721094,
2022-05-16 18:30:00,36.21976180906082,
2022-05-16 20:00:00,35.07924494828559,
2022-05-16 23:00:00,31.663498259264124,
2022-05-16 23:59:59,46.951935282979456,c
2022-05-17 00:00:00,40.65519117128731,
2022-05-17 01:00:00,44.03524301772415,
2022-05-17 02:30:00,48.20004470467065,
2022-05-17 03:00:00,47.662043456397456,
2022-05-17 18:30:00,49.96779223399484,
2022-05-17 20:00:00,49.17825631550095,
2022-05-17 23:00:00,61.8698962082146,
2022-05-17 23:59:59,58.3827373683156,c
2022-05-18 00:00:00,63.31741539617779,
2022-05-18 01:00:00,61.11934375030192,
2022-05-18 02:30:00,57.225592639307436,
2022-05-18 03:00:00,55.66789633011284,
2022-05-18 18:30:00,56.28571800779282,
2022-05-18 20:00:00,57.32020940134702,
2022-05-18 23:00:00,41.49792226267478,
2022-05-18 23:59:59,50.91556963877784,c
2022-05-19 00:00:00,47.42464873151422,
2022-05-19 01:00:00,49.70134149369554,
2022-05-19 02:30:00,44.09300924957736,
2022-05-19 03:00:00,45.19261633006223,
2022-05-19 18:30:00,44.28615959241509,
2022-05-19 20:00:00,44.41117272663293,
2022-05-19 23:00:00,15.226595895821433,
2022-05-19 23:59:59,8.96477736512037,c
2022-05-20 00:00:00,-0.4545954919745725,
2022-05-20 01:00:00,2.221992866820109,
2022-05-20 02:30:00,-3.529343971290615,
2022-05-20 03:00:00,-4.115130067104026,
2022-05-20 18:30:00,-4.115130067104026,
2022-05-20 20:00:00,-4.115130067104026,
2022-05-20 23:00:00,-4.115130067104026,
2022-05-20 23:59:59,0.0,a
2022-05-23 00:00:00,17.79774966554197,
2022-05-23 01:00:00,15.63490954940875,
2022-05-23 02:30:00,21.7854591046153,
2022-05-23 03:00:00,21.07961152610488,
2022-05-23 18:30:00,19.923592697340673,
2022-05-23 20:00:00,19.104057481067095,
2022-05-23 23:00:00,17.0462299693556,
2022-05-23 23:59:59,17.470124253870388,c
2022-05-24 00:00:00,5.56332942332876,
2022-05-24 01:00:00,2.123287475774859,
2022-05-24 02:30:00,-13.085400090330232,
2022-05-24 03:00:00,-14.285834813229613,
2022-05-24 18:30:00,-12.246280060400707,
2022-05-24 20:00:00,-12.640493110762321,
