date,AS_NKY_2021_Q3,meta
2021-09-07 03:00:00,-48.00364497181397,
2021-09-07 18:30:00,-48.00364497181397,
2021-09-07 20:00:00,-48.00364497181397,
2021-09-07 23:00:00,-48.00364497181397,
2021-09-07 23:59:59,-38.29670366731229,c
2021-09-08 00:00:00,-17.84612191057189,
2021-09-08 01:00:00,-12.747935971889753,
2021-09-08 02:30:00,-12.747935971889753,
2021-09-08 03:00:00,-12.747935971889753,
2021-09-08 18:30:00,-12.747935971889753,
2021-09-08 20:00:00,-12.747935971889753,
2021-09-08 23:00:00,-12.747935971889753,
2021-09-08 23:59:59,-29.970607087892905,c
0,-29.970607087892905,
0,-29.970607087892905,
0,-29.970607087892905,
0,-29.970607087892905,
0,-29.970607087892905,
0,-29.970607087892905,
0,-29.970607087892905,
0,-29.970607087892905,
2021-09-09 00:00:00,-42.69347967684923,
2021-09-09 01:00:00,-48.14866865526061,
2021-09-09 02:30:00,-48.14866865526061,
2021-09-09 03:00:00,-48.14866865526061,
2021-09-09 18:30:00,-48.14866865526061,
2021-09-09 20:00:00,-48.14866865526061,
2021-09-09 23:00:00,-48.14866865526061,
2021-09-09 23:59:59,15.48992442802519,c
2021-09-10 00:00:00,-33.5461965386177,
2021-09-10 01:00:00,-31.403416290599676,
2021-09-10 02:30:00,-31.403416290599676,
2021-09-10 03:00:00,-31.403416290599676,
2021-09-10 18:30:00,-31.403416290599676,
2021-09-10 20:00:00,-31.403416290599676,
2021-09-10 23:00:00,-31.403416290599676,
2021-09-10 23:59:59,-32.83564536421183,w
2021-09-13 00:00:00,25.00201689145294,
2021-09-13 01:00:00,18.09154070684194,
2021-09-13 02:30:00,18.09154070684194,
2021-09-13 03:00:00,18.09154070684194,
2021-09-13 18:30:00,18.09154070684194,
2021-09-13 20:00:00,18.09154070684194,
2021-09-13 23:00:00,18.09154070684194,
2021-09-13 23:59:59,101.5617354971221,c
2021-09-14 00:00:00,105.401270261576,
2021-09-14 01:00:00,113.9058889080035,
2021-09-14 02:30:00,113.9058889080035,
2021-09-14 03:00:00,113.9058889080035,
2021-09-14 18:30:00,113.9058889080035,
2021-09-14 20:00:00,113.9058889080035,
2021-09-14 23:00:00,113.9058889080035,
2021-09-14 23:59:59,65.46141973672428,c
2021-09-15 00:00:00,62.510312315114874,
2021-09-15 01:00:00,71.90617705208089,
2021-09-15 02:30:00,71.90617705208089,
2021-09-15 03:00:00,71.90617705208089,
2021-09-15 18:30:00,71.90617705208089,
2021-09-15 20:00:00,71.90617705208089,
2021-09-15 23:00:00,71.90617705208089,
2021-09-15 23:59:59,123.15758255339708,c
2021-09-16 00:00:00,120.68034970277361,
2021-09-16 01:00:00,128.1665423092207,
2021-09-16 02:30:00,128.1665423092207,
2021-09-16 03:00:00,128.1665423092207,
2021-09-16 18:30:00,128.1665423092207,
2021-09-16 20:00:00,128.1665423092207,
2021-09-16 23:00:00,128.1665423092207,
2021-09-16 23:59:59,81.43690897464415,c
2021-09-17 00:00:00,77.24848601872199,
2021-09-17 01:00:00,76.78875933459085,
2021-09-17 02:30:00,76.78875933459085,
2021-09-17 03:00:00,76.78875933459085,
2021-09-17 18:30:00,76.78875933459085,
2021-09-17 20:00:00,76.78875933459085,
2021-09-17 23:00:00,76.78875933459085,
2021-09-17 23:59:59,65.50994087848261,w
2021-09-20 00:00:00,65.50994087848261,
2021-09-20 01:00:00,65.50994087848261,
2021-09-20 02:30:00,65.50994087848261,
2021-09-20 03:00:00,65.50994087848261,
2021-09-20 18:30:00,65.50994087848261,
2021-09-20 20:00:00,65.50994087848261,
2021-09-20 23:00:00,65.50994087848261,
2021-09-20 23:59:59,65.50994087848261,c
2021-09-21 00:00:00,98.99140806118177,
2021-09-21 01:00:00,88.79837180885363,
2021-09-21 02:30:00,88.79837180885363,
2021-09-21 03:00:00,88.79837180885363,
2021-09-21 18:30:00,88.79837180885363,
2021-09-21 20:00:00,88.79837180885363,
2021-09-21 23:00:00,88.79837180885363,
2021-09-21 23:59:59,98.38741644500217,c
2021-09-22 00:00:00,101.40617299081794,
2021-09-22 01:00:00,83.14682152960444,
2021-09-22 02:30:00,83.14682152960444,
2021-09-22 03:00:00,83.14682152960444,
2021-09-22 18:30:00,83.14682152960444,
2021-09-22 20:00:00,83.14682152960444,
2021-09-22 23:00:00,83.14682152960444,
2021-09-22 23:59:59,84.95911303579541,c
2021-09-23 00:00:00,84.95911303579541,
2021-09-23 01:00:00,84.95911303579541,
2021-09-23 02:30:00,84.95911303579541,
2021-09-23 03:00:00,84.95911303579541,
2021-09-23 18:30:00,84.95911303579541,
2021-09-23 20:00:00,84.95911303579541,
2021-09-23 23:00:00,84.95911303579541,
2021-09-23 23:59:59,84.95911303579541,c
2021-09-24 00:00:00,104.72046787762389,
2021-09-24 01:00:00,94.36629392645341,
2021-09-24 02:30:00,94.36629392645341,
2021-09-24 03:00:00,94.36629392645341,
2021-09-24 18:30:00,94.36629392645341,
2021-09-24 20:00:00,94.36629392645341,
2021-09-24 23:00:00,94.36629392645341,
2021-09-24 23:59:59,92.06869849535562,w
2021-09-27 00:00:00,18.581963839193676,
2021-09-27 01:00:00,8.87707811252507,
2021-09-27 02:30:00,8.87707811252507,
2021-09-27 03:00:00,8.87707811252507,
2021-09-27 18:30:00,8.87707811252507,
2021-09-27 20:00:00,8.87707811252507,
2021-09-27 23:00:00,8.87707811252507,
2021-09-27 23:59:59,-34.75520648151458,c
2021-09-28 00:00:00,-55.54873793058531,
2021-09-28 01:00:00,-47.22886896507591,
2021-09-28 02:30:00,-47.22886896507591,
2021-09-28 03:00:00,-47.22886896507591,
2021-09-28 18:30:00,-47.22886896507591,
2021-09-28 20:00:00,-47.22886896507591,
2021-09-28 23:00:00,-47.22886896507591,
2021-09-28 23:59:59,-105.04167833739294,c
2021-09-29 00:00:00,-126.80570592563105,
2021-09-29 01:00:00,-125.24380554648717,
2021-09-29 02:30:00,-125.24380554648717,
2021-09-29 03:00:00,-125.24380554648717,
2021-09-29 18:30:00,-125.24380554648717,
2021-09-29 20:00:00,-125.24380554648717,
2021-09-29 23:00:00,-125.24380554648717,
2021-09-29 23:59:59,-118.52678174640124,c
2021-09-30 00:00:00,-142.34537666429924,
2021-09-30 01:00:00,-149.76317086266715,
2021-09-30 02:30:00,-149.76317086266715,
2021-09-30 03:00:00,-149.76317086266715,
2021-09-30 18:30:00,-149.76317086266715,
2021-09-30 20:00:00,-149.76317086266715,
2021-09-30 23:00:00,-149.76317086266715,
2021-09-30 23:59:59,-146.3989399829822,e
2021-10-01 00:00:00,-154.7163780805912,
2021-10-01 01:00:00,-156.6155903100231,
2021-10-01 02:30:00,-156.6155903100231,
2021-10-01 03:00:00,-156.6155903100231,
2021-10-01 18:30:00,-156.6155903100231,
2021-10-01 20:00:00,-156.6155903100231,
2021-10-01 23:00:00,-156.6155903100231,
2021-10-01 23:59:59,-170.47285111638303,w
2021-10-04 00:00:00,-248.22662244437925,
2021-10-04 01:00:00,-264.62640870901936,
2021-10-04 02:30:00,-264.62640870901936,
2021-10-04 03:00:00,-264.62640870901936,
2021-10-04 18:30:00,-264.62640870901936,
2021-10-04 20:00:00,-264.62640870901936,
2021-10-04 23:00:00,-264.62640870901936,
2021-10-04 23:59:59,-295.05598698204227,c
2021-10-05 00:00:00,-301.67370780672024,
2021-10-05 01:00:00,-303.2654860879184,
2021-10-05 02:30:00,-303.2654860879184,
2021-10-05 03:00:00,-303.2654860879184,
2021-10-05 18:30:00,-303.2654860879184,
2021-10-05 20:00:00,-303.2654860879184,
2021-10-05 23:00:00,-303.2654860879184,
2021-10-05 23:59:59,-247.55828296705118,c
2021-10-06 00:00:00,-225.0264836584358,
2021-10-06 01:00:00,-220.80979191134463,
2021-10-06 02:30:00,-220.80979191134463,
2021-10-06 03:00:00,-220.80979191134463,
2021-10-06 18:30:00,-220.80979191134463,
2021-10-06 20:00:00,-220.80979191134463,
2021-10-06 23:00:00,-220.80979191134463,
2021-10-06 23:59:59,-333.20593087228985,c
2021-10-07 00:00:00,-313.7003071524896,
2021-10-07 01:00:00,-304.35094680965614,
2021-10-07 02:30:00,-304.35094680965614,
2021-10-07 03:00:00,-304.35094680965614,
2021-10-07 18:30:00,-304.35094680965614,
2021-10-07 20:00:00,-304.35094680965614,
2021-10-07 23:00:00,-304.35094680965614,
2021-10-07 23:59:59,-369.8009100204164,c
2021-10-08 00:00:00,-357.52832178422176,
2021-10-08 01:00:00,-353.3600467963181,
2021-10-08 02:30:00,-353.3600467963181,
2021-10-08 03:00:00,-353.3600467963181,
2021-10-08 18:30:00,-353.3600467963181,
2021-10-08 20:00:00,-353.3600467963181,
2021-10-08 23:00:00,-353.3600467963181,
2021-10-08 23:59:59,-345.7613086402466,w
2021-10-11 00:00:00,-395.5059436910785,
2021-10-11 01:00:00,-395.99302747043146,
2021-10-11 02:30:00,-395.99302747043146,
2021-10-11 03:00:00,-395.99302747043146,
2021-10-11 18:30:00,-395.99302747043146,
2021-10-11 20:00:00,-395.99302747043146,
2021-10-11 23:00:00,-395.99302747043146,
2021-10-11 23:59:59,-409.8055333271052,c
2021-10-12 00:00:00,-401.95576810817096,
2021-10-12 01:00:00,-393.4533355396478,
2021-10-12 02:30:00,-393.4533355396478,
2021-10-12 03:00:00,-393.4533355396478,
2021-10-12 18:30:00,-393.4533355396478,
2021-10-12 20:00:00,-393.4533355396478,
2021-10-12 23:00:00,-393.4533355396478,
2021-10-12 23:59:59,-400.8290964828496,c
2021-10-13 00:00:00,-404.41736203603756,
2021-10-13 01:00:00,-409.80510420255564,
2021-10-13 02:30:00,-409.80510420255564,
2021-10-13 03:00:00,-409.80510420255564,
2021-10-13 18:30:00,-409.80510420255564,
2021-10-13 20:00:00,-409.80510420255564,
2021-10-13 23:00:00,-409.80510420255564,
2021-10-13 23:59:59,-455.14306694155863,c
2021-10-14 00:00:00,-435.5318954811184,
