date,MSCI_EM_ADR_HEDGED_2021_Q4,meta
2021-11-11 15:30:30,-3.940242463014897,
2021-11-11 23:59:59,0.0,a
2021-11-12 00:00:00,52.634095688930984,
2021-11-12 10:00:00,121.13058879489427,
2021-11-12 10:30:00,111.09027014582807,
2021-11-12 12:00:00,79.80374450417435,
2021-11-12 13:30:00,84.36217389692524,
2021-11-12 15:00:00,100.79837389261206,
2021-11-12 15:30:30,100.79837389261206,
2021-11-12 23:59:59,100.9850684931514,w
2021-11-15 00:00:00,132.1472889098368,
2021-11-15 10:00:00,189.0026614654828,
2021-11-15 10:30:00,156.25864801245257,
2021-11-15 12:00:00,180.7854227167254,
2021-11-15 13:30:00,182.04046420140094,
2021-11-15 15:00:00,197.91147111440227,
2021-11-15 15:30:30,197.91147111440227,
2021-11-15 23:59:59,194.8673654382169,c
2021-11-16 00:00:00,266.3368509084769,
2021-11-16 10:00:00,248.05762335147756,
2021-11-16 10:30:00,144.8560454198739,
2021-11-16 12:00:00,88.89316975302495,
2021-11-16 13:30:00,68.6235771536351,
2021-11-16 15:00:00,124.53796880825212,
2021-11-16 15:30:30,124.53796880825212,
2021-11-16 23:59:59,116.70384830355033,c
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
0,116.70384830355033,
2021-11-17 00:00:00,47.272034000571466,
2021-11-17 10:00:00,-54.85346575021538,
2021-11-17 10:30:00,-27.995825241377474,
2021-11-17 12:00:00,-2.798599859351498,
2021-11-17 13:30:00,18.487342973424347,
2021-11-17 15:00:00,-17.384293265623,
2021-11-17 15:30:30,-17.384293265623,
2021-11-17 23:59:59,-9.826758430566088,c
2021-11-18 00:00:00,-8.66935967894517,
2021-11-18 10:00:00,17.213755920011636,
2021-11-18 10:30:00,-7.424166570973966,
2021-11-18 12:00:00,-29.0444141128944,
2021-11-18 13:30:00,-37.13425941455034,
2021-11-18 15:00:00,-63.224348655760764,
2021-11-18 15:30:30,-63.224348655760764,
2021-11-18 23:59:59,-52.66387142311498,c
2021-11-19 00:00:00,-48.87872923243401,
