date,AS_MSCI_AS_EM_HK_STAY_2022_Q1,meta
2022-02-21 00:00:00,206.16789487232563,
2022-02-21 01:00:00,145.04394557904925,
2022-02-21 02:30:00,110.75503797588226,
2022-02-21 03:00:00,122.13108379855748,
2022-02-21 18:30:00,122.13108379855748,
2022-02-21 20:00:00,122.13108379855748,
2022-02-21 23:00:00,16.235093993679584,
2022-02-21 23:59:59,15.528770566489584,c
2022-02-22 00:00:00,-177.27232104430004,
2022-02-22 01:00:00,-142.9776306403919,
2022-02-22 02:30:00,-106.88013963441063,
2022-02-22 03:00:00,-99.09046406699963,
2022-02-22 18:30:00,-99.09046406699963,
2022-02-22 20:00:00,-99.09046406699963,
2022-02-22 23:00:00,-14.149428128943327,
2022-02-22 23:59:59,-13.19460394640555,c
2022-02-23 00:00:00,-17.437552889280596,
2022-02-23 01:00:00,-25.713370303939882,
2022-02-23 02:30:00,-66.48761977717004,
2022-02-23 03:00:00,-81.99678578763451,
2022-02-23 18:30:00,-81.99678578763451,
2022-02-23 20:00:00,-81.99678578763451,
2022-02-23 23:00:00,-334.4698037460121,
2022-02-23 23:59:59,-333.6022465847309,c
2022-02-24 00:00:00,-517.9921544166982,
2022-02-24 01:00:00,-451.6133519488285,
2022-02-24 02:30:00,-496.37642784636955,
2022-02-24 03:00:00,-444.51864202923025,
2022-02-24 18:30:00,-444.51864202923025,
2022-02-24 20:00:00,-444.51864202923025,
2022-02-24 23:00:00,-462.11721371081876,
2022-02-24 23:59:59,-457.9963640937185,c
2022-02-25 00:00:00,-304.7895461440912,
2022-02-25 01:00:00,-338.7010739782145,
2022-02-25 02:30:00,-333.55539336780475,
2022-02-25 03:00:00,-344.9130444806069,
2022-02-25 18:30:00,-344.9130444806069,
2022-02-25 20:00:00,-344.9130444806069,
2022-02-25 23:00:00,-344.9130444806069,
2022-02-25 23:59:59,-345.49018875518595,w
2022-02-28 00:00:00,-322.83562319398425,
2022-02-28 01:00:00,-311.87527193156257,
2022-02-28 02:30:00,-356.9786364683232,
2022-02-28 03:00:00,-326.3104788679975,
2022-02-28 18:30:00,-326.3104788679975,
2022-02-28 20:00:00,-326.3104788679975,
2022-02-28 23:00:00,-377.5339487960273,
2022-02-28 23:59:59,-377.24680161146534,e
2022-03-01 00:00:00,-348.76452225204594,
2022-03-01 01:00:00,-366.6295393765913,
2022-03-01 02:30:00,-268.1146681321288,
2022-03-01 03:00:00,-300.81812447885386,
2022-03-01 18:30:00,-300.81812447885386,
2022-03-01 20:00:00,-300.81812447885386,
2022-03-01 23:00:00,-416.98944241722165,
2022-03-01 23:59:59,-416.70399438913864,c
2022-03-02 00:00:00,-535.0651919627253,
2022-03-02 01:00:00,-600.8626631384177,
2022-03-02 02:30:00,-577.9244068045773,
2022-03-02 03:00:00,-574.5020819726451,
2022-03-02 18:30:00,-574.5020819726451,
2022-03-02 20:00:00,-574.5020819726451,
2022-03-02 23:00:00,-668.1250514761323,
2022-03-02 23:59:59,-668.0332274182783,c
2022-03-03 00:00:00,-632.5504244328977,
2022-03-03 01:00:00,-625.3318025753751,
2022-03-03 02:30:00,-644.8529643012516,
2022-03-03 03:00:00,-608.6063438995188,
2022-03-03 18:30:00,-608.6063438995188,
2022-03-03 20:00:00,-608.6063438995188,
2022-03-03 23:00:00,-558.0338142817254,
2022-03-03 23:59:59,-559.2944496856799,c
2022-03-04 00:00:00,-818.2816796462121,
2022-03-04 01:00:00,-812.8021278503093,
2022-03-04 02:30:00,-919.7182277349466,
2022-03-04 03:00:00,-908.4023781779542,
2022-03-04 18:30:00,-908.4023781779542,
2022-03-04 20:00:00,-908.4023781779542,
2022-03-04 23:00:00,-908.4023781779542,
2022-03-04 23:59:59,-907.2469409373844,w
2022-03-07 00:00:00,-1063.1053415530487,
2022-03-07 01:00:00,-993.5247840895199,
2022-03-07 02:30:00,-1021.0084172440747,
2022-03-07 03:00:00,-1027.4313001445216,
2022-03-07 18:30:00,-1027.4313001445216,
2022-03-07 20:00:00,-1027.4313001445216,
2022-03-07 23:00:00,-1027.4313001445216,
2022-03-07 23:59:59,-1029.0912158825922,c
2022-03-08 00:00:00,-1029.0912158825922,
2022-03-08 01:00:00,-1029.0912158825922,
2022-03-08 02:30:00,-1029.0912158825922,
2022-03-08 03:00:00,-1029.0912158825922,
2022-03-08 18:30:00,-1029.0912158825922,
2022-03-08 20:00:00,-1029.0912158825922,
2022-03-08 23:00:00,-1029.0912158825922,
2022-03-08 23:59:59,-1029.0912158825922,c
2022-03-09 00:00:00,-1029.0912158825922,
2022-03-09 01:00:00,-1029.0912158825922,
2022-03-09 02:30:00,-1029.0912158825922,
2022-03-09 03:00:00,-1029.0912158825922,
2022-03-09 18:30:00,-1029.0912158825922,
2022-03-09 20:00:00,-1029.0912158825922,
2022-03-09 23:00:00,-1029.0912158825922,
2022-03-09 23:59:59,-1029.0912158825922,c
2022-03-10 00:00:00,-1029.0912158825922,
2022-03-10 01:00:00,-1029.0912158825922,
2022-03-10 02:30:00,-1029.0912158825922,
2022-03-10 03:00:00,-1029.0912158825922,
2022-03-10 18:30:00,-1029.0912158825922,
2022-03-10 20:00:00,-1029.0912158825922,
2022-03-10 23:00:00,-1029.0912158825922,
2022-03-10 23:59:59,-1029.0912158825922,c
2022-03-11 00:00:00,-1029.0912158825922,
2022-03-11 01:00:00,-1029.0912158825922,
2022-03-11 02:30:00,-1029.0912158825922,
2022-03-11 03:00:00,-1029.0912158825922,
2022-03-11 18:30:00,-1029.0912158825922,
2022-03-11 20:00:00,-1029.0912158825922,
2022-03-11 23:00:00,-1029.0912158825922,
2022-03-11 23:59:59,-1029.0912158825922,w
2022-03-14 00:00:00,-1029.0912158825922,
2022-03-14 01:00:00,-1029.0912158825922,
2022-03-14 02:30:00,-1029.0912158825922,
2022-03-14 03:00:00,-1029.0912158825922,
2022-03-14 18:30:00,-1029.0912158825922,
2022-03-14 20:00:00,-1029.0912158825922,
2022-03-14 23:00:00,-1029.0912158825922,
2022-03-14 23:59:59,-1029.0912158825922,c
2022-03-15 00:00:00,-1029.0912158825922,
2022-03-15 01:00:00,-1029.0912158825922,
2022-03-15 02:30:00,-1029.0912158825922,
2022-03-15 03:00:00,-1029.0912158825922,
2022-03-15 18:30:00,-1029.0912158825922,
2022-03-15 20:00:00,-1029.0912158825922,
2022-03-15 23:00:00,-1029.0912158825922,
2022-03-15 23:59:59,-1029.0912158825922,c
2022-03-16 00:00:00,-1029.0912158825922,
2022-03-16 01:00:00,-1029.0912158825922,
2022-03-16 02:30:00,-1029.0912158825922,
2022-03-16 03:00:00,-1029.0912158825922,
2022-03-16 18:30:00,-1029.0912158825922,
2022-03-16 20:00:00,-1029.0912158825922,
2022-03-16 23:00:00,-1029.0912158825922,
2022-03-16 23:59:59,-1029.0912158825922,c
2022-03-17 00:00:00,-1029.0912158825922,
2022-03-17 01:00:00,-1029.0912158825922,
2022-03-17 02:30:00,-1029.0912158825922,
2022-03-17 03:00:00,-1029.0912158825922,
2022-03-17 18:30:00,-1029.0912158825922,
2022-03-17 20:00:00,-1029.0912158825922,
2022-03-17 23:00:00,-1029.0912158825922,
2022-03-17 23:59:59,-1029.0912158825922,c
2022-03-18 00:00:00,-1029.0912158825922,
2022-03-18 01:00:00,-1029.0912158825922,
2022-03-18 02:30:00,-1029.0912158825922,
2022-03-18 03:00:00,-1029.0912158825922,
2022-03-18 18:30:00,-1029.0912158825922,
2022-03-18 20:00:00,-1029.0912158825922,
2022-03-18 23:00:00,-1029.0912158825922,
2022-03-18 23:59:59,-1029.0912158825922,w
2022-03-21 00:00:00,-1029.0912158825922,
2022-03-21 01:00:00,-1029.0912158825922,
2022-03-21 02:30:00,-1029.0912158825922,
2022-03-21 03:00:00,-1029.0912158825922,
2022-03-21 18:30:00,-1029.0912158825922,
2022-03-21 20:00:00,-1029.0912158825922,
2022-03-21 23:00:00,-1029.0912158825922,
2022-03-21 23:59:59,-1029.0912158825922,c
