date,MSCI_FACT_VLUE_2020_Q4,meta
2020-11-23 10:30:00,14.277035418722022,
2020-11-23 12:00:00,5.499168598889952,
2020-11-23 13:30:00,-0.11597309510446507,
2020-11-23 15:00:00,-0.03482991667684132,
2020-11-23 15:30:30,-0.03482991667684132,
2020-11-23 23:59:59,-0.005129419649676947,c
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
0,-0.005129419649676947,
2020-11-24 00:00:00,0.20168156024885775,
2020-11-24 10:00:00,8.079419929124754,
2020-11-24 10:30:00,-0.5742130486614769,
2020-11-24 12:00:00,5.252653593484638,
2020-11-24 13:30:00,5.540708451914526,
2020-11-24 15:00:00,2.700254502053781,
2020-11-24 15:30:30,2.700254502053781,
2020-11-24 23:59:59,-1.5208522669839226,c
2020-11-25 00:00:00,22.361018435904043,
2020-11-25 10:00:00,34.46675193452302,
2020-11-25 10:30:00,37.59010382235189,
2020-11-25 12:00:00,21.245411752482028,
2020-11-25 13:30:00,28.171400919066542,
2020-11-25 15:00:00,23.835593223095884,
2020-11-25 15:30:30,23.835593223095884,
2020-11-25 23:59:59,30.440496395106607,c
2020-11-26 00:00:00,30.440496395106607,
2020-11-26 10:00:00,30.440496395106607,
2020-11-26 10:30:00,30.440496395106607,
2020-11-26 12:00:00,30.440496395106607,
2020-11-26 13:30:00,30.440496395106607,
2020-11-26 15:00:00,30.440496395106607,
2020-11-26 15:30:30,30.440496395106607,
2020-11-26 23:59:59,30.440496395106607,c
2020-11-27 00:00:00,33.18891637999204,
2020-11-27 10:00:00,44.3664239160872,
2020-11-27 10:30:00,44.69408369304867,
2020-11-27 12:00:00,42.14780061924429,
2020-11-27 13:30:00,42.14780061924429,
2020-11-27 15:00:00,42.14780061924429,
2020-11-27 15:30:30,42.14780061924429,
2020-11-27 23:59:59,43.98119507643767,w
2020-11-30 00:00:00,30.157294332607563,
2020-11-30 10:00:00,31.076841587745633,
2020-11-30 10:30:00,47.01585190408761,
2020-11-30 12:00:00,34.95442844710814,
2020-11-30 13:30:00,40.821585852724155,
2020-11-30 15:00:00,48.846168435565374,
2020-11-30 15:30:30,48.846168435565374,
2020-11-30 23:59:59,78.5007168095278,e
2020-12-01 00:00:00,36.68116346475361,
2020-12-01 10:00:00,34.52391694237161,
2020-12-01 10:30:00,55.57514031977601,
2020-12-01 12:00:00,46.68706486520941,
2020-12-01 13:30:00,55.217697136669045,
2020-12-01 15:00:00,60.44919067150519,
2020-12-01 15:30:30,60.44919067150519,
2020-12-01 23:59:59,59.87516021811675,c
2020-12-02 00:00:00,74.01135749220961,
2020-12-02 10:00:00,62.10322842770617,
2020-12-02 10:30:00,62.57209006929983,
2020-12-02 12:00:00,56.88614658993484,
2020-12-02 13:30:00,57.51416588806583,
2020-12-02 15:00:00,53.43729440614541,
2020-12-02 15:30:30,53.43729440614541,
2020-12-02 23:59:59,58.24041086474463,c
2020-12-03 00:00:00,46.80927305062849,
2020-12-03 10:00:00,51.83061978064487,
2020-12-03 10:30:00,43.76452084235066,
2020-12-03 12:00:00,32.7459883902188,
2020-12-03 13:30:00,38.50912398490411,
2020-12-03 15:00:00,56.74449207144559,
2020-12-03 15:30:30,56.74449207144559,
2020-12-03 23:59:59,66.96559713431233,c
2020-12-04 00:00:00,50.95938891325531,
2020-12-04 10:00:00,59.8744495132556,
2020-12-04 10:30:00,64.62743233281563,
2020-12-04 12:00:00,52.79522846578189,
2020-12-04 13:30:00,54.34510778688909,
2020-12-04 15:00:00,54.114596805877596,
2020-12-04 15:30:30,54.114596805877596,
2020-12-04 23:59:59,56.390732874717884,w
2020-12-07 00:00:00,54.185325060093845,
2020-12-07 10:00:00,74.21730700224865,
2020-12-07 10:30:00,59.333590226747475,
2020-12-07 12:00:00,58.33963151285852,
2020-12-07 13:30:00,58.20268668899175,
2020-12-07 15:00:00,44.60461599963574,
2020-12-07 15:30:30,44.60461599963574,
2020-12-07 23:59:59,46.7742518268802,c
2020-12-08 00:00:00,59.497942373154075,
2020-12-08 10:00:00,38.35581663912049,
2020-12-08 10:30:00,43.96920595569432,
2020-12-08 12:00:00,39.63902913657924,
2020-12-08 13:30:00,46.9172599097578,
2020-12-08 15:00:00,50.04898356408816,
2020-12-08 15:30:30,50.04898356408816,
2020-12-08 23:59:59,50.79295525015513,c
2020-12-09 00:00:00,29.149737729600247,
2020-12-09 10:00:00,27.88876302414363,
2020-12-09 10:30:00,22.13731318750081,
2020-12-09 12:00:00,33.99921456499746,
2020-12-09 13:30:00,48.966455631862715,
2020-12-09 15:00:00,41.93390399577359,
2020-12-09 15:30:30,41.93390399577359,
2020-12-09 23:59:59,48.746535518757554,c
2020-12-10 00:00:00,61.37005702284702,
2020-12-10 10:00:00,53.45052608810201,
2020-12-10 10:30:00,50.03211892982969,
2020-12-10 12:00:00,54.55707407541192,
2020-12-10 13:30:00,41.19843745255238,
2020-12-10 15:00:00,41.05744287023592,
2020-12-10 15:30:30,41.05744287023592,
2020-12-10 23:59:59,39.39606783968745,c
2020-12-11 00:00:00,40.95050339576946,
2020-12-11 10:00:00,51.71124091093711,
2020-12-11 10:30:00,55.34532584416169,
2020-12-11 12:00:00,56.17001663161349,
2020-12-11 13:30:00,67.13256025065292,
2020-12-11 15:00:00,69.2643853116762,
2020-12-11 15:30:30,69.2643853116762,
2020-12-11 23:59:59,81.15048187596503,w
2020-12-14 00:00:00,66.51681306973737,
2020-12-14 10:00:00,99.55215936917617,
2020-12-14 10:30:00,115.28270434750348,
2020-12-14 12:00:00,102.29907120025766,
2020-12-14 13:30:00,103.1741538375563,
2020-12-14 15:00:00,103.810428515219,
2020-12-14 15:30:30,103.810428515219,
2020-12-14 23:59:59,105.65390982831795,c
2020-12-15 00:00:00,102.71611400316428,
2020-12-15 10:00:00,98.76727297009384,
2020-12-15 10:30:00,99.7769352898969,
2020-12-15 12:00:00,89.28718955377107,
2020-12-15 13:30:00,90.0677493296723,
2020-12-15 15:00:00,77.98038454830626,
2020-12-15 15:30:30,77.98038454830626,
2020-12-15 23:59:59,77.09793631177851,c
2020-12-16 00:00:00,59.21554430663534,
2020-12-16 10:00:00,90.2045097625124,
2020-12-16 10:30:00,102.36933035657066,
2020-12-16 12:00:00,95.96534980327434,
2020-12-16 13:30:00,95.1173480823318,
2020-12-16 15:00:00,85.95878410797738,
2020-12-16 15:30:30,85.95878410797738,
2020-12-16 23:59:59,81.02934467547661,c
2020-12-17 00:00:00,85.15250647201546,
2020-12-17 10:00:00,90.96928039887817,
2020-12-17 10:30:00,91.15623379563229,
2020-12-17 12:00:00,89.89055610023982,
2020-12-17 13:30:00,93.88617923317938,
2020-12-17 15:00:00,87.49239832168033,
2020-12-17 15:30:30,87.49239832168033,
2020-12-17 23:59:59,81.0767940589358,c
2020-12-18 00:00:00,93.47165276729882,
2020-12-18 10:00:00,114.81201190947164,
2020-12-18 10:30:00,108.75334146585735,
2020-12-18 12:00:00,116.6164133347975,
2020-12-18 13:30:00,108.68896572090338,
2020-12-18 15:00:00,99.5456863259424,
2020-12-18 15:30:30,99.5456863259424,x
2020-12-18 23:59:59,93.80791103569751,w
2020-12-21 00:00:00,86.57492152928964,
2020-12-21 10:00:00,48.9078448684248,
2020-12-21 10:30:00,48.465937205157985,
2020-12-21 12:00:00,43.745739322615094,
2020-12-21 13:30:00,40.724153527281004,
2020-12-21 15:00:00,38.34497324734801,
2020-12-21 15:30:30,38.34497324734801,
2020-12-21 23:59:59,38.244967777793505,c
