date,AS_MSCI_FACTOR_UNTRADE_2021_Q4,meta
2021-11-30 00:00:00,86.01984408740762,
2021-11-30 01:00:00,90.01232852114727,
2021-11-30 02:30:00,81.5086759206251,
2021-11-30 03:00:00,103.60389513000979,
2021-11-30 18:30:00,41.142737333700836,
2021-11-30 20:00:00,42.01334789366146,
2021-11-30 23:00:00,69.49376943404364,
2021-11-30 23:59:59,49.10164523213044,e
2021-12-01 00:00:00,63.2699421817358,
2021-12-01 01:00:00,61.76987978748224,
2021-12-01 02:30:00,75.52777752200441,
2021-12-01 03:00:00,78.41325079444293,
2021-12-01 18:30:00,94.22194304933146,
2021-12-01 20:00:00,94.96467617124806,
2021-12-01 23:00:00,106.83226660474402,
2021-12-01 23:59:59,104.5941321730008,c
2021-12-02 00:00:00,96.74849420734884,
2021-12-02 01:00:00,83.11608453474464,
2021-12-02 02:30:00,84.23468780517642,
2021-12-02 03:00:00,91.11025630581096,
2021-12-02 18:30:00,94.53528150260743,
2021-12-02 20:00:00,96.66847211660222,
2021-12-02 23:00:00,87.49080268008989,
2021-12-02 23:59:59,99.87788527041019,c
2021-12-03 00:00:00,93.42431317956722,
2021-12-03 01:00:00,104.39710571329947,
2021-12-03 02:30:00,105.11988334037864,
2021-12-03 03:00:00,108.18254105079819,
2021-12-03 18:30:00,108.18254105079819,
2021-12-03 20:00:00,108.18254105079819,
2021-12-03 23:00:00,108.18254105079819,
2021-12-03 23:59:59,118.85261294968628,w
2021-12-06 00:00:00,127.69033514214782,
2021-12-06 01:00:00,117.19583626312331,
2021-12-06 02:30:00,122.14590176910671,
2021-12-06 03:00:00,118.54133487144843,
2021-12-06 18:30:00,116.77840105994657,
2021-12-06 20:00:00,118.77133920449961,
2021-12-06 23:00:00,115.43574435774062,
2021-12-06 23:59:59,105.88045979498129,c
2021-12-07 00:00:00,106.39232759928608,
2021-12-07 01:00:00,98.44625859733104,
2021-12-07 02:30:00,118.52813603161523,
2021-12-07 03:00:00,111.4198527279063,
2021-12-07 18:30:00,103.32424999480955,
2021-12-07 20:00:00,103.464670555993,
2021-12-07 23:00:00,97.14277877221599,
2021-12-07 23:59:59,103.67677657032064,c
2021-12-08 00:00:00,103.21799885882336,
2021-12-08 01:00:00,114.5790776534272,
2021-12-08 02:30:00,122.18283328868867,
2021-12-08 03:00:00,128.26230497816232,
2021-12-08 18:30:00,123.71356600051462,
2021-12-08 20:00:00,122.8770360679004,
2021-12-08 23:00:00,129.67324378470377,
2021-12-08 23:59:59,133.36016763827715,c
2021-12-09 00:00:00,133.88737391962047,
2021-12-09 01:00:00,132.11039183786522,
2021-12-09 02:30:00,126.83459303426756,
2021-12-09 03:00:00,118.63963582199536,
2021-12-09 18:30:00,117.03737052936432,
2021-12-09 20:00:00,118.85568491754222,
2021-12-09 23:00:00,122.23676421697655,
2021-12-09 23:59:59,121.72796174757471,c
2021-12-10 00:00:00,117.29077487128271,
2021-12-10 01:00:00,115.52988603609802,
2021-12-10 02:30:00,117.0937873356291,
2021-12-10 03:00:00,124.2608041351378,
2021-12-10 18:30:00,124.2608041351378,
2021-12-10 20:00:00,124.2608041351378,
2021-12-10 23:00:00,124.2608041351378,
2021-12-10 23:59:59,119.59369845920412,w
2021-12-13 00:00:00,128.72005139199337,
2021-12-13 01:00:00,136.43449470626928,
2021-12-13 02:30:00,140.52177696600933,
2021-12-13 03:00:00,138.4065901785802,
2021-12-13 18:30:00,128.0902288403728,
2021-12-13 20:00:00,128.91543111130179,
2021-12-13 23:00:00,130.93158035215322,
2021-12-13 23:59:59,111.83198170691976,c
2021-12-14 00:00:00,110.81054611506829,
2021-12-14 01:00:00,103.33689059781584,
2021-12-14 02:30:00,100.69310326381189,
2021-12-14 03:00:00,93.93085731693247,
2021-12-14 18:30:00,101.40466684634245,
2021-12-14 20:00:00,102.4460103404633,
2021-12-14 23:00:00,117.80633463895948,
2021-12-14 23:59:59,122.57820486556926,c
2021-12-15 00:00:00,125.19483262560793,
2021-12-15 01:00:00,120.93958431307196,
2021-12-15 02:30:00,107.94780607638509,
2021-12-15 03:00:00,113.56067821393889,
2021-12-15 18:30:00,114.80987255808589,
2021-12-15 20:00:00,116.00813657653292,
2021-12-15 23:00:00,124.41332628830584,
2021-12-15 23:59:59,118.05881624130913,c
2021-12-16 00:00:00,104.70470544362374,
2021-12-16 01:00:00,105.53194766754201,
2021-12-16 02:30:00,105.46503959092516,
2021-12-16 03:00:00,110.990814237122,
2021-12-16 18:30:00,108.17538449355084,
2021-12-16 20:00:00,108.13498855665738,
2021-12-16 23:00:00,89.71618788762594,
2021-12-16 23:59:59,72.78675717731704,c
2021-12-17 00:00:00,47.52289117768524,
2021-12-17 01:00:00,58.087109259239114,
2021-12-17 02:30:00,36.87733036732459,
2021-12-17 03:00:00,30.672467643804225,
2021-12-17 18:30:00,30.672467643804225,
2021-12-17 20:00:00,30.672467643804225,
2021-12-17 23:00:00,30.672467643804225,
2021-12-17 23:59:59,8.016573878576054,w
2021-12-20 00:00:00,-46.03250028592552,
2021-12-20 01:00:00,-42.963061656070835,
2021-12-20 02:30:00,-49.10398519544043,
2021-12-20 03:00:00,-50.72709404900627,
2021-12-20 18:30:00,-33.9626948883363,
2021-12-20 20:00:00,-33.934995687286715,
2021-12-20 23:00:00,-27.33049885034231,
2021-12-20 23:59:59,-24.240449567871167,c
2021-12-21 00:00:00,-23.860607761291988,
2021-12-21 01:00:00,-11.273517836407478,
2021-12-21 02:30:00,-20.758264293103508,
2021-12-21 03:00:00,-11.136984540520785,
2021-12-21 18:30:00,-11.136984540520785,
2021-12-21 20:00:00,-11.136984540520785,
2021-12-21 23:00:00,-11.136984540520785,
2021-12-21 23:59:59,5.249647362254024,c
