date,MSCI_FACT_INTL_2022_Q2,meta
2022-05-27 12:00:00,-9.293166820922863,
2022-05-27 13:30:00,-11.048333586529907,
2022-05-27 15:00:00,-18.085144574295526,
2022-05-27 15:30:30,-18.085144574295526,
2022-05-27 23:59:59,-14.45889295849139,w
2022-05-30 00:00:00,-14.45889295849139,
2022-05-30 10:00:00,-9.905249001818902,
2022-05-30 10:30:00,-11.046692027081633,
2022-05-30 12:00:00,-11.733653718062328,
2022-05-30 13:30:00,-11.835275033992048,
2022-05-30 15:00:00,-10.625042638194031,
2022-05-30 15:30:30,-10.625042638194031,
2022-05-30 23:59:59,-10.625042638194031,c
2022-05-31 00:00:00,-16.54194889059505,
2022-05-31 10:00:00,-28.598623701020614,
2022-05-31 10:30:00,-20.15879801307969,
2022-05-31 12:00:00,-30.45118189725426,
2022-05-31 13:30:00,-21.162880079567316,
2022-05-31 15:00:00,-17.137895227140376,
2022-05-31 15:30:30,-17.137895227140376,
2022-05-31 23:59:59,-25.41686517823325,e
2022-06-01 00:00:00,-53.9657492733549,
2022-06-01 10:00:00,-69.12872199219268,
2022-06-01 10:30:00,-51.291278405220424,
2022-06-01 12:00:00,-35.60128275454662,
2022-06-01 13:30:00,-25.57269660190596,
2022-06-01 15:00:00,-35.63925027084295,
2022-06-01 15:30:30,-35.63925027084295,
2022-06-01 23:59:59,-23.967911835140086,c
2022-06-02 00:00:00,-21.08521631163194,
2022-06-02 10:00:00,-63.24706727609862,
2022-06-02 10:30:00,-62.47478082160782,
2022-06-02 12:00:00,-71.23134837922333,
2022-06-02 13:30:00,-97.99649426905876,
2022-06-02 15:00:00,-94.92859940181478,
2022-06-02 15:30:30,-94.92859940181478,
2022-06-02 23:59:59,-90.14668390133613,c
2022-06-03 00:00:00,-68.0540550347433,
2022-06-03 10:00:00,-73.35364541176793,
2022-06-03 10:30:00,-61.3873257434646,
2022-06-03 12:00:00,-51.059767694560804,
2022-06-03 13:30:00,-52.199626069238946,
2022-06-03 15:00:00,-47.11012730545559,
2022-06-03 15:30:30,-47.11012730545559,
2022-06-03 23:59:59,-50.700845964766415,w
2022-06-06 00:00:00,-65.31661861193305,
2022-06-06 10:00:00,-74.81909360047464,
2022-06-06 10:30:00,-78.86746030067212,
2022-06-06 12:00:00,-66.09078629128209,
2022-06-06 13:30:00,-57.73172167772964,
2022-06-06 15:00:00,-60.40434198552194,
2022-06-06 15:30:30,-60.40434198552194,
2022-06-06 23:59:59,-55.96835082688767,c
2022-06-07 00:00:00,-46.39200137826671,
2022-06-07 10:00:00,-45.63982099584382,
2022-06-07 10:30:00,-57.319473099233875,
2022-06-07 12:00:00,-54.28383625527451,
2022-06-07 13:30:00,-49.21769299649725,
2022-06-07 15:00:00,-45.386229767820225,
2022-06-07 15:30:30,-45.386229767820225,u
2022-06-07 23:59:59,-46.26623463031257,c
2022-06-08 00:00:00,-44.31611505650153,
2022-06-08 10:00:00,-55.351035323694646,
2022-06-08 10:30:00,-48.078828261404226,
2022-06-08 12:00:00,-43.62652037225811,
