date,EU_MSCI_ESG_2021_Q4,meta
2021-12-10 00:00:00,-32.14582634378439,
2021-12-10 03:30:00,-108.29505812485422,
2021-12-10 04:00:00,-84.45165511036794,
2021-12-10 06:00:00,-49.255879263620045,
2021-12-10 08:00:00,-30.561742461824906,
2021-12-10 10:30:00,-225.6505972928544,
2021-12-10 11:00:00,-225.59264371624522,
2021-12-10 23:59:59,-226.32784328030448,w
2021-12-13 00:00:00,-288.70314738039633,
2021-12-13 03:30:00,-203.17893345871744,
2021-12-13 04:00:00,-209.08745199896293,
2021-12-13 06:00:00,-149.41113253532512,
2021-12-13 08:00:00,-123.8963161424972,
2021-12-13 10:30:00,-256.3301897293195,
2021-12-13 11:00:00,-255.42676142179516,
2021-12-13 23:59:59,-270.0952434860992,c
2021-12-14 00:00:00,-250.17325310211072,
2021-12-14 03:30:00,-155.5269530562382,
2021-12-14 04:00:00,-115.73786847144038,
2021-12-14 06:00:00,-66.5034599187602,
2021-12-14 08:00:00,-90.04868510784308,
2021-12-14 10:30:00,-221.9183684793852,
2021-12-14 11:00:00,-216.4765083136399,
2021-12-14 23:59:59,-209.2801588026332,c
2021-12-15 00:00:00,-157.29999791588125,
2021-12-15 03:30:00,-106.96319282811237,
2021-12-15 04:00:00,-133.22968430660967,
2021-12-15 06:00:00,-112.63954719827325,
2021-12-15 08:00:00,-100.5604707562552,
2021-12-15 10:30:00,-127.89509554844062,
2021-12-15 11:00:00,-128.6229790917887,
2021-12-15 23:59:59,-99.88131054197311,c
2021-12-16 00:00:00,-109.1410177591888,
2021-12-16 03:30:00,-112.2091657053752,
2021-12-16 04:00:00,-115.15488258182086,
2021-12-16 06:00:00,-114.42925422221106,
2021-12-16 08:00:00,-115.4518550292305,
2021-12-16 10:30:00,-115.15488258181904,
2021-12-16 11:00:00,-117.93728124858444,
2021-12-16 23:59:59,-116.37497019433977,c
2021-12-17 00:00:00,90.99132932625889,
2021-12-17 03:30:00,217.07444524877337,
2021-12-17 04:00:00,209.83325715266346,
2021-12-17 06:00:00,192.18223775597016,
2021-12-17 08:00:00,241.1297850546307,
2021-12-17 10:30:00,316.7741295666856,
2021-12-17 11:00:00,313.0095855765803,
2021-12-17 23:59:59,250.6851741358314,w
2021-12-20 00:00:00,239.97312878610956,
2021-12-20 03:30:00,97.56162102989401,
2021-12-20 04:00:00,74.21869151356259,
2021-12-20 06:00:00,120.2571859970185,
2021-12-20 08:00:00,44.711431858909236,
2021-12-20 10:30:00,25.82204992733932,
2021-12-20 11:00:00,30.301227638743512,
2021-12-20 23:59:59,-39.236843089484864,c
2021-12-21 00:00:00,38.7199482631313,
2021-12-21 03:30:00,148.99124524996387,
2021-12-21 04:00:00,161.08776651872358,
2021-12-21 06:00:00,170.73607165589328,
2021-12-21 08:00:00,177.38591709889624,
2021-12-21 10:30:00,106.008968216639,
2021-12-21 11:00:00,103.82340113990722,
2021-12-21 23:59:59,142.1691671085673,c
