date,MSCI_US_SC_STAY_HEDGED_2021_Q1,meta
2021-03-05 15:00:00,-116.79053186018609,
2021-03-05 15:30:30,-116.79053186018609,
2021-03-05 23:59:59,-154.50445363024028,w
2021-03-08 00:00:00,-192.39172786101335,
2021-03-08 10:00:00,-194.24166230101855,
2021-03-08 10:30:00,-202.16774303340844,
2021-03-08 12:00:00,-183.62686175779436,
2021-03-08 13:30:00,-202.38078717418193,
2021-03-08 15:00:00,-176.34625536486328,
2021-03-08 15:30:30,-176.34625536486328,
2021-03-08 23:59:59,-119.30550842743196,c
2021-03-09 00:00:00,-133.46983882027143,
2021-03-09 10:00:00,-206.12845159446897,
2021-03-09 10:30:00,-173.48287304352016,
2021-03-09 12:00:00,-140.68903534188212,
2021-03-09 13:30:00,-141.5380531839628,
2021-03-09 15:00:00,-173.55022574022405,
2021-03-09 15:30:30,-173.55022574022405,
2021-03-09 23:59:59,-143.35956713489577,c
2021-03-10 00:00:00,-155.08323153693618,
2021-03-10 10:00:00,-161.75287152587498,
2021-03-10 10:30:00,-162.36001105285504,
2021-03-10 12:00:00,-186.75499615134595,
2021-03-10 13:30:00,-197.50858504605458,
2021-03-10 15:00:00,-203.21143176305577,
2021-03-10 15:30:30,-203.21143176305577,
2021-03-10 23:59:59,-199.84734376736833,c
2021-03-11 00:00:00,-232.5026941746646,
2021-03-11 10:00:00,-244.57095239603132,
2021-03-11 10:30:00,-245.9673460535605,
2021-03-11 12:00:00,-232.53772413798015,
2021-03-11 13:30:00,-152.43075640672123,
2021-03-11 15:00:00,-133.00395267702606,
2021-03-11 15:30:30,-133.00395267702606,
2021-03-11 23:59:59,-130.22780522639096,c
2021-03-12 00:00:00,-162.79298176693464,
2021-03-12 10:00:00,-174.77926431322703,
2021-03-12 10:30:00,-174.47620720386658,
2021-03-12 12:00:00,-160.89067664095364,
2021-03-12 13:30:00,-140.31308036860173,
2021-03-12 15:00:00,-139.56370841816624,
2021-03-12 15:30:30,-139.56370841816624,
2021-03-12 23:59:59,-157.4385874859845,w
2021-03-15 00:00:00,-137.27439465019233,
2021-03-15 10:00:00,-125.10027866337532,
2021-03-15 10:30:00,-118.07022579751083,
2021-03-15 12:00:00,-88.28319044796808,
2021-03-15 13:30:00,-72.61239998876135,
2021-03-15 15:00:00,-84.29519095125579,
2021-03-15 15:30:30,-84.29519095125579,
2021-03-15 23:59:59,-99.75806776632635,c
2021-03-16 00:00:00,-94.68288052757453,
2021-03-16 10:00:00,-128.69555613955254,
2021-03-16 10:30:00,-108.26844993337,
2021-03-16 12:00:00,-125.73822707005638,
2021-03-16 13:30:00,-139.3805354821434,
2021-03-16 15:00:00,-111.96339774537955,
2021-03-16 15:30:30,-111.96339774537955,
2021-03-16 23:59:59,-126.35611023219371,c
2021-03-17 00:00:00,-156.47567848095787,
2021-03-17 10:00:00,-142.0963955939942,
2021-03-17 10:30:00,-166.10222121732932,
2021-03-17 12:00:00,-176.73058300973207,
2021-03-17 13:30:00,-134.4190906745498,
2021-03-17 15:00:00,-160.10956400059604,
2021-03-17 15:30:30,-160.10956400059604,
2021-03-17 23:59:59,-175.37529912620812,c
2021-03-18 00:00:00,-159.871660743167,
2021-03-18 10:00:00,-178.60241621758541,
2021-03-18 10:30:00,-182.3447609895884,
2021-03-18 12:00:00,-215.5566210611487,
2021-03-18 13:30:00,-208.83100118540824,
2021-03-18 15:00:00,-166.10699208442384,
2021-03-18 15:30:30,-166.10699208442384,
2021-03-18 23:59:59,-103.73331036408308,c
2021-03-19 00:00:00,-65.20962017687361,
2021-03-19 10:00:00,-144.6091857991978,
2021-03-19 10:30:00,-128.31734595228681,
2021-03-19 12:00:00,-155.41384548368205,
2021-03-19 13:30:00,-169.21823526792923,
2021-03-19 15:00:00,-156.22105063505842,
2021-03-19 15:30:30,-156.22105063505842,q
2021-03-19 23:59:59,-168.65278077937728,w
