date,MSCI_MXN_2023_Q1,meta
2023-03-03 12:00:00,-380.4426426274149,
2023-03-03 13:30:00,-359.8438810711559,
2023-03-03 15:00:00,-364.3515503962117,
2023-03-03 15:30:30,-364.3515503962117,
2023-03-03 23:59:59,-307.1902669307892,w
2023-03-06 00:00:00,-289.9546195788207,
2023-03-06 10:00:00,-325.3687262439853,
2023-03-06 10:30:00,-356.76286403784616,
2023-03-06 12:00:00,-356.79222673431286,
2023-03-06 13:30:00,-342.5807268864173,
2023-03-06 15:00:00,-291.4623880683339,
2023-03-06 15:30:30,-291.4623880683339,
2023-03-06 23:59:59,-285.49978724864377,c
2023-03-07 00:00:00,-297.9567807723088,
2023-03-07 10:00:00,-167.91065667434304,
2023-03-07 10:30:00,-142.59172343282626,
2023-03-07 12:00:00,-132.17373245993986,
2023-03-07 13:30:00,-128.18196309434643,
2023-03-07 15:00:00,-121.42098138833717,
2023-03-07 15:30:30,-121.42098138833717,
2023-03-07 23:59:59,-189.4290972370327,c
2023-03-08 00:00:00,-187.0726481698075,
2023-03-08 10:00:00,-216.62854929217974,
2023-03-08 10:30:00,-277.2412965885069,
2023-03-08 12:00:00,-291.26511536238104,
2023-03-08 13:30:00,-307.54737658626254,
2023-03-08 15:00:00,-291.75905942739337,
2023-03-08 15:30:30,-291.75905942739337,
2023-03-08 23:59:59,-327.24503312108027,c
2023-03-09 00:00:00,-326.4134161679067,
2023-03-09 10:00:00,-358.547815575992,
2023-03-09 10:30:00,-374.2734429409993,
2023-03-09 12:00:00,-400.52850657172166,
2023-03-09 13:30:00,-419.4313860010334,
2023-03-09 15:00:00,-371.5405616110238,
2023-03-09 15:30:30,-371.5405616110238,
2023-03-09 23:59:59,-436.5338355163367,c
2023-03-10 00:00:00,-436.5338355163367,
2023-03-10 10:00:00,-436.5338355163367,
2023-03-10 10:30:00,-436.5338355163367,
2023-03-10 12:00:00,-436.5338355163367,
2023-03-10 13:30:00,-436.5338355163367,
2023-03-10 15:00:00,-436.5338355163367,
2023-03-10 15:30:30,-436.5338355163367,
2023-03-10 23:59:59,-436.5338355163367,w
2023-03-13 00:00:00,-436.5338355163367,
2023-03-13 10:00:00,-436.5338355163367,
2023-03-13 10:30:00,-436.5338355163367,
2023-03-13 12:00:00,-436.5338355163367,
2023-03-13 13:30:00,-436.5338355163367,
2023-03-13 15:00:00,-436.5338355163367,
2023-03-13 15:30:30,-436.5338355163367,
2023-03-13 23:59:59,-436.5338355163367,c
2023-03-14 00:00:00,-436.5338355163367,
2023-03-14 10:00:00,-436.5338355163367,
2023-03-14 10:30:00,-436.5338355163367,
2023-03-14 12:00:00,-436.5338355163367,
2023-03-14 13:30:00,-436.5338355163367,
2023-03-14 15:00:00,-436.5338355163367,
2023-03-14 15:30:30,-436.5338355163367,
2023-03-14 23:59:59,-436.5338355163367,c
2023-03-15 00:00:00,-436.5338355163367,
2023-03-15 10:00:00,-436.5338355163367,
2023-03-15 10:30:00,-436.5338355163367,
2023-03-15 12:00:00,-436.5338355163367,
2023-03-15 13:30:00,-436.5338355163367,
2023-03-15 15:00:00,-436.5338355163367,
2023-03-15 15:30:30,-436.5338355163367,
2023-03-15 23:59:59,-436.5338355163367,c
2023-03-16 00:00:00,-436.5338355163367,
2023-03-16 10:00:00,-436.5338355163367,
2023-03-16 10:30:00,-436.5338355163367,
2023-03-16 12:00:00,-436.5338355163367,
2023-03-16 13:30:00,-436.5338355163367,
2023-03-16 15:00:00,-436.5338355163367,
2023-03-16 15:30:30,-436.5338355163367,
2023-03-16 23:59:59,-436.5338355163367,c
2023-03-17 00:00:00,-436.5338355163367,
2023-03-17 10:00:00,-436.5338355163367,
2023-03-17 10:30:00,-436.5338355163367,
2023-03-17 12:00:00,-436.5338355163367,
2023-03-17 13:30:00,-436.5338355163367,
