date,MSCI_US_SC_STAY_2022_Q1,meta
2022-03-02 00:00:00,-73.91030836149416,
2022-03-02 10:00:00,-137.37377454937118,
2022-03-02 10:30:00,-137.55665197520568,
2022-03-02 12:00:00,-157.8497697427509,
2022-03-02 13:30:00,-135.01077017963868,
2022-03-02 15:00:00,-121.75585971029348,
2022-03-02 15:30:30,-121.75585971029348,
2022-03-02 23:59:59,-122.56429081550384,c
2022-03-03 00:00:00,-126.03843114136178,
2022-03-03 10:00:00,-148.72150473362854,
2022-03-03 10:30:00,-158.28228612024438,
2022-03-03 12:00:00,-139.52896790354498,
2022-03-03 13:30:00,-136.700717431233,
2022-03-03 15:00:00,-149.95095851086072,
2022-03-03 15:30:30,-149.95095851086072,
2022-03-03 23:59:59,-156.42376143109817,c
2022-03-04 00:00:00,-136.05497589615592,
2022-03-04 10:00:00,-149.92369603624277,
2022-03-04 10:30:00,-159.61097794405845,
2022-03-04 12:00:00,-169.94425644346467,
2022-03-04 13:30:00,-168.7109570240517,
2022-03-04 15:00:00,-174.33171138399157,
2022-03-04 15:30:30,-174.33171138399157,
2022-03-04 23:59:59,-178.2530103953883,w
2022-03-07 00:00:00,-168.31583450181762,
2022-03-07 10:00:00,-159.56235996450178,
2022-03-07 10:30:00,-169.90930200500097,
2022-03-07 12:00:00,-125.29395509641007,
2022-03-07 13:30:00,-127.8439414100417,
2022-03-07 15:00:00,-129.3014636332538,
2022-03-07 15:30:30,-129.3014636332538,
2022-03-07 23:59:59,-135.51304759540412,c
2022-03-08 00:00:00,-159.24584631395123,
2022-03-08 10:00:00,-170.54273751233026,
2022-03-08 10:30:00,-158.74376877944957,
2022-03-08 12:00:00,-149.19522489254155,
2022-03-08 13:30:00,-143.9447044599202,
2022-03-08 15:00:00,-143.7250767757836,
2022-03-08 15:30:30,-143.7250767757836,
2022-03-08 23:59:59,-128.17911373213158,c
2022-03-09 00:00:00,-116.04656126628312,
2022-03-09 10:00:00,-125.47784297317999,
2022-03-09 10:30:00,-98.19372414602924,
2022-03-09 12:00:00,-118.91969275399344,
2022-03-09 13:30:00,-122.52002675639925,
2022-03-09 15:00:00,-124.49764731802073,
2022-03-09 15:30:30,-124.49764731802073,
2022-03-09 23:59:59,-118.80211400083212,c
2022-03-10 00:00:00,-119.60138795007504,
2022-03-10 10:00:00,-131.9840817776431,
2022-03-10 10:30:00,-132.96574816418232,
2022-03-10 12:00:00,-120.11642700792248,
2022-03-10 13:30:00,-124.55555547098392,
2022-03-10 15:00:00,-116.45977019047238,
2022-03-10 15:30:30,-116.45977019047238,
2022-03-10 23:59:59,-122.57865988142423,c
2022-03-11 00:00:00,-110.0037106302883,
2022-03-11 10:00:00,-152.3509714158222,
2022-03-11 10:30:00,-160.86670162075535,
2022-03-11 12:00:00,-175.85844600502446,
2022-03-11 13:30:00,-188.15035020181702,
2022-03-11 15:00:00,-200.4553986627096,
2022-03-11 15:30:30,-200.4553986627096,
2022-03-11 23:59:59,-196.46798708935148,w
2022-03-14 00:00:00,-219.80148661187926,
2022-03-14 10:00:00,-233.60124079752458,
2022-03-14 10:30:00,-246.86072533681883,
2022-03-14 12:00:00,-281.1420209729652,
2022-03-14 13:30:00,-303.668521901958,
2022-03-14 15:00:00,-296.97642288514163,
2022-03-14 15:30:30,-296.97642288514163,
2022-03-14 23:59:59,-308.5105946370603,c
2022-03-15 00:00:00,-315.6725944264509,
