date,AS_MSCI_EM_REST_SC_2022_Q4,meta
2022-11-18 23:59:59,112.65744612189121,w
2022-11-21 00:00:00,156.47482819573327,
2022-11-21 01:00:00,142.65057361763422,
2022-11-21 02:30:00,172.35141770095902,
2022-11-21 03:00:00,169.54086636198673,
2022-11-21 18:30:00,169.54086636198673,
2022-11-21 20:00:00,176.01413920293402,
2022-11-21 23:00:00,191.1098414069334,
2022-11-21 23:59:59,168.79656121255675,c
2022-11-22 00:00:00,174.7712481066731,
2022-11-22 01:00:00,176.17500060748245,
2022-11-22 02:30:00,194.2648359552416,
2022-11-22 03:00:00,188.29022170420063,
2022-11-22 18:30:00,188.29022170420063,
2022-11-22 20:00:00,204.39848158777994,
2022-11-22 23:00:00,210.30679716676303,
2022-11-22 23:59:59,227.67939669067306,c
2022-11-23 00:00:00,236.27146655181508,
2022-11-23 01:00:00,221.98626679824798,
2022-11-23 02:30:00,214.76661501794916,
2022-11-23 03:00:00,216.90945569529123,
2022-11-23 18:30:00,216.90945569529123,
2022-11-23 20:00:00,229.90792986508353,
2022-11-23 23:00:00,218.39395084306824,
2022-11-23 23:59:59,232.33817254315608,c
2022-11-24 00:00:00,234.91373126900697,
2022-11-24 01:00:00,235.3318431444696,
2022-11-24 02:30:00,213.48140858052983,
2022-11-24 03:00:00,206.63249614727823,
2022-11-24 18:30:00,206.63249614727823,
2022-11-24 20:00:00,221.07273091967323,
2022-11-24 23:00:00,235.15746801254676,
2022-11-24 23:59:59,214.94423651742562,c
2022-11-25 00:00:00,205.17808703187808,
2022-11-25 01:00:00,226.41612690903452,
2022-11-25 02:30:00,234.13076106588193,
2022-11-25 03:00:00,221.25133168879023,
2022-11-25 18:30:00,221.25133168879023,
2022-11-25 20:00:00,221.25133168879023,
2022-11-25 23:00:00,221.25133168879023,
2022-11-25 23:59:59,227.8304445569267,w
2022-11-28 00:00:00,194.02754533363333,
2022-11-28 01:00:00,204.77709877164165,
2022-11-28 02:30:00,205.84397007511228,
2022-11-28 03:00:00,211.40982151298334,
2022-11-28 18:30:00,211.40982151298334,
2022-11-28 20:00:00,209.40437579075075,
2022-11-28 23:00:00,166.54577166081754,
2022-11-28 23:59:59,143.29007862432638,c
2022-11-29 00:00:00,154.06880183511225,
2022-11-29 01:00:00,149.87831187531685,
2022-11-29 02:30:00,160.2078276047681,
2022-11-29 03:00:00,164.0844196605142,
2022-11-29 18:30:00,164.0844196605142,
2022-11-29 20:00:00,115.16820292282432,
2022-11-29 23:00:00,122.82136505630217,
2022-11-29 23:59:59,129.44778041159316,c
2022-11-30 00:00:00,153.0759045800949,
2022-11-30 01:00:00,144.13596260246032,
2022-11-30 02:30:00,167.30252773603019,
2022-11-30 03:00:00,190.02023281182852,
2022-11-30 18:30:00,190.02023281182852,
2022-11-30 20:00:00,173.34098064249542,
2022-11-30 23:00:00,217.8147601450858,
2022-11-30 23:59:59,229.13296947885345,e
2022-12-01 00:00:00,226.83955461864963,
2022-12-01 01:00:00,206.99259876266893,
2022-12-01 02:30:00,209.37847620222323,
2022-12-01 03:00:00,203.6311937887487,
2022-12-01 18:30:00,203.6311937887487,
2022-12-01 20:00:00,222.9851202005977,
2022-12-01 23:00:00,235.99912629017655,
2022-12-01 23:59:59,215.3499949671081,c
2022-12-02 00:00:00,229.2499686074912,
2022-12-02 01:00:00,246.16526400221102,
2022-12-02 02:30:00,251.13873304450527,
2022-12-02 03:00:00,249.72894104174537,
2022-12-02 18:30:00,249.72894104174537,
2022-12-02 20:00:00,249.72894104174537,
2022-12-02 23:00:00,249.72894104174537,
2022-12-02 23:59:59,243.88633497365169,w
2022-12-05 00:00:00,183.67869220559476,
2022-12-05 01:00:00,172.20829218583447,
2022-12-05 02:30:00,175.37721082120083,
2022-12-05 03:00:00,163.13163706145338,
2022-12-05 18:30:00,163.13163706145338,
2022-12-05 20:00:00,139.75624152327805,
2022-12-05 23:00:00,144.75491948999945,
2022-12-05 23:59:59,163.98632759618062,c
2022-12-06 00:00:00,168.82066326332438,
2022-12-06 01:00:00,171.9057576334946,
2022-12-06 02:30:00,188.64383611808,
2022-12-06 03:00:00,177.66593737217858,
2022-12-06 18:30:00,177.66593737217858,
2022-12-06 20:00:00,203.5809224446338,
2022-12-06 23:00:00,185.81059090012332,
2022-12-06 23:59:59,174.16609100223712,c
2022-12-07 00:00:00,168.6342853047737,
2022-12-07 01:00:00,172.59739099485648,
2022-12-07 02:30:00,184.75877102079647,
2022-12-07 03:00:00,179.13744659904688,
2022-12-07 18:30:00,179.13744659904688,
2022-12-07 20:00:00,207.39616756670574,
2022-12-07 23:00:00,210.10254477551808,
2022-12-07 23:59:59,237.978684215466,c
2022-12-08 00:00:00,237.70824933273826,
2022-12-08 01:00:00,206.05405532342007,
2022-12-08 02:30:00,210.01833496455123,
2022-12-08 03:00:00,216.01324870867046,
2022-12-08 18:30:00,216.01324870867046,
2022-12-08 20:00:00,209.21622406301873,
2022-12-08 23:00:00,162.303403576392,
2022-12-08 23:59:59,147.49596657296416,c
2022-12-09 00:00:00,156.60129775802085,
2022-12-09 01:00:00,154.6129044320354,
2022-12-09 02:30:00,152.54626698588396,
2022-12-09 03:00:00,149.9941541416992,
2022-12-09 18:30:00,149.9941541416992,
2022-12-09 20:00:00,149.9941541416992,
2022-12-09 23:00:00,149.9941541416992,
2022-12-09 23:59:59,183.14926585795524,w
2022-12-12 00:00:00,216.32911503662677,
2022-12-12 01:00:00,207.27417271238284,
2022-12-12 02:30:00,215.14607914493962,
2022-12-12 03:00:00,217.8943626583487,
2022-12-12 18:30:00,217.8943626583487,
2022-12-12 20:00:00,215.8795987589187,
2022-12-12 23:00:00,248.40715406890314,
2022-12-12 23:59:59,234.18349397736398,c
2022-12-13 00:00:00,225.41910246887932,
2022-12-13 01:00:00,208.73562387490398,
2022-12-13 02:30:00,195.03976311933314,
2022-12-13 03:00:00,193.42298496795826,
2022-12-13 18:30:00,193.42298496795826,
2022-12-13 20:00:00,195.6745622200404,
2022-12-13 23:00:00,191.94008485457283,
2022-12-13 23:59:59,210.9596892978089,c
2022-12-14 00:00:00,218.4583142977695,
2022-12-14 01:00:00,224.80286103657699,
2022-12-14 02:30:00,226.39743502896823,
2022-12-14 03:00:00,236.6424217100202,
2022-12-14 18:30:00,236.6424217100202,
2022-12-14 20:00:00,242.27513751207363,
2022-12-14 23:00:00,259.6829375423252,
2022-12-14 23:59:59,246.73030412582574,c
2022-12-15 00:00:00,249.97877594968992,
2022-12-15 01:00:00,259.9395134770056,
2022-12-15 02:30:00,240.05411149404534,
2022-12-15 03:00:00,251.1076458548236,
2022-12-15 18:30:00,251.1076458548236,
2022-12-15 20:00:00,238.68882374754781,
2022-12-15 23:00:00,206.45141627010509,
2022-12-15 23:59:59,202.84344296008595,c
2022-12-16 00:00:00,205.04371808447405,
2022-12-16 01:00:00,173.0051363265652,
2022-12-16 02:30:00,177.9316909073405,
2022-12-16 03:00:00,160.1338319704883,
2022-12-16 18:30:00,160.1338319704883,
2022-12-16 20:00:00,160.1338319704883,
2022-12-16 23:00:00,160.1338319704883,
2022-12-16 23:59:59,184.6668936791404,w
2022-12-19 00:00:00,154.6563835856586,
2022-12-19 01:00:00,139.09323991304416,
2022-12-19 02:30:00,149.36973641224193,
2022-12-19 03:00:00,141.96915225147308,
2022-12-19 18:30:00,141.96915225147308,
2022-12-19 20:00:00,138.32456050534677,
2022-12-19 23:00:00,92.89920751054188,
2022-12-19 23:59:59,77.41683215914139,c
2022-12-20 00:00:00,75.93587173695175,
2022-12-20 01:00:00,63.85139743389476,
2022-12-20 02:30:00,51.21914149822709,
2022-12-20 03:00:00,39.559776000613965,
2022-12-20 18:30:00,39.559776000613965,
2022-12-20 20:00:00,80.40612921344353,
2022-12-20 23:00:00,95.01354282473852,
2022-12-20 23:59:59,101.99554805532557,c
2022-12-21 00:00:00,101.17249021412402,
2022-12-21 01:00:00,106.03441876733632,
2022-12-21 02:30:00,99.65914088594889,
2022-12-21 03:00:00,95.86881521282567,
2022-12-21 18:30:00,95.86881521282567,
2022-12-21 20:00:00,99.76298507393511,
2022-12-21 23:00:00,76.7653162452786,
2022-12-21 23:59:59,71.58984853355372,c
2022-12-22 00:00:00,78.97220823013299,
2022-12-22 01:00:00,73.25957301834796,
2022-12-22 02:30:00,65.01466473574493,
2022-12-22 03:00:00,64.67364792516389,
2022-12-22 18:30:00,64.67364792516389,
2022-12-22 20:00:00,49.06042518064055,
2022-12-22 23:00:00,60.20488003607102,
2022-12-22 23:59:59,78.24033724459912,c
2022-12-23 00:00:00,79.0613854398166,
2022-12-23 01:00:00,77.50290894950336,
2022-12-23 02:30:00,83.24787705519901,
2022-12-23 03:00:00,78.02977970287651,
2022-12-23 18:30:00,78.02977970287651,
2022-12-23 20:00:00,78.02977970287651,
2022-12-23 23:00:00,78.02977970287651,
2022-12-23 23:59:59,105.49051378760475,w
2022-12-26 00:00:00,54.805288113225004,
2022-12-26 01:00:00,53.79249584814312,
2022-12-26 02:30:00,70.81231866215165,
2022-12-26 03:00:00,69.58993146976303,
2022-12-26 18:30:00,69.58993146976303,
2022-12-26 20:00:00,78.7633448261106,
2022-12-26 23:00:00,64.36232809074039,
2022-12-26 23:59:59,81.19452440461293,c
2022-12-27 00:00:00,80.01370177764727,
2022-12-27 01:00:00,71.01299591621722,
2022-12-27 02:30:00,69.75404193231981,
2022-12-27 03:00:00,77.51896720239205,
2022-12-27 18:30:00,77.51896720239205,
2022-12-27 20:00:00,119.5936470186823,
