date,MORN_2022_Q2,meta
2022-06-20 13:30:00,-141.82481200991856,
2022-06-20 15:00:00,-141.82481200991856,
2022-06-20 15:30:30,-141.82481200991856,
2022-06-20 23:59:59,-141.82481200991856,c
2022-06-21 00:00:00,-99.31727115257377,
2022-06-21 10:00:00,-57.69426825490768,
2022-06-21 10:30:00,-74.26740060905195,
2022-06-21 12:00:00,-91.9974919946867,
2022-06-21 13:30:00,-91.39795920894653,
2022-06-21 15:00:00,-113.67243160000885,
2022-06-21 15:30:30,-113.67243160000885,
2022-06-21 23:59:59,-121.40939907822212,c
2022-06-22 00:00:00,-158.4674936598342,
2022-06-22 10:00:00,-73.55938622437134,
2022-06-22 10:30:00,-57.97359536146996,
2022-06-22 12:00:00,-94.08564035452537,
2022-06-22 13:30:00,-79.72100204643812,
2022-06-22 15:00:00,-83.84827420588408,
2022-06-22 15:30:30,-83.84827420588408,
2022-06-22 23:59:59,-93.19289165663281,c
2022-06-23 00:00:00,-83.78667847719316,
2022-06-23 10:00:00,-55.46429849748961,
2022-06-23 10:30:00,-25.027769265157076,
2022-06-23 12:00:00,17.521735786742283,
2022-06-23 13:30:00,-17.520058736575947,
2022-06-23 15:00:00,32.76821262895987,
2022-06-23 15:30:30,32.76821262895987,
2022-06-23 23:59:59,53.186697636869894,c
2022-06-24 00:00:00,76.17543654377346,
2022-06-24 10:00:00,110.27529715310061,
2022-06-24 10:30:00,99.76559083489178,
2022-06-24 12:00:00,77.66459497315441,
2022-06-24 13:30:00,106.55701776524961,
2022-06-24 15:00:00,117.90183509225267,
2022-06-24 15:30:30,117.90183509225267,
2022-06-24 23:59:59,119.1556927254403,w
2022-06-27 00:00:00,123.69784537018336,
2022-06-27 10:00:00,57.76495126467785,
2022-06-27 10:30:00,19.603953661798414,
2022-06-27 12:00:00,70.2322141638108,
2022-06-27 13:30:00,82.12456052731136,
2022-06-27 15:00:00,80.24776106767013,
2022-06-27 15:30:30,80.24776106767013,
2022-06-27 23:59:59,66.75314753101588,c
2022-06-28 00:00:00,60.06379341420484,
2022-06-28 10:00:00,73.55763359485786,
2022-06-28 10:30:00,55.62851485323222,
2022-06-28 12:00:00,8.3429153504419,
2022-06-28 13:30:00,3.8225419533043805,
2022-06-28 15:00:00,-16.791120215417322,
2022-06-28 15:30:30,-16.791120215417322,
2022-06-28 23:59:59,-16.362340815837342,c
2022-06-29 00:00:00,-34.013330415549945,
2022-06-29 10:00:00,-80.52215956601435,
2022-06-29 10:30:00,-79.80033923316319,
2022-06-29 12:00:00,-71.89211832308706,
2022-06-29 13:30:00,-81.39369944180248,
2022-06-29 15:00:00,-83.1359799704851,
2022-06-29 15:30:30,-83.1359799704851,
2022-06-29 23:59:59,-68.88906163549495,c
2022-06-30 00:00:00,-111.22039260039378,
