date,FTSE_EM_ADR_2022_Q3,meta
2022-08-29 10:30:00,581.772877449846,
2022-08-29 12:00:00,458.055464016908,
2022-08-29 13:30:00,460.7615801498009,
2022-08-29 15:00:00,466.8405835678045,
2022-08-29 15:30:30,466.8405835678045,
2022-08-29 23:59:59,369.3540824218321,c
2022-08-30 00:00:00,441.483476468115,
2022-08-30 10:00:00,505.27386547537253,
2022-08-30 10:30:00,471.75157735325456,
2022-08-30 12:00:00,410.04189456890026,
2022-08-30 13:30:00,326.5577873287443,
2022-08-30 15:00:00,302.8814865316094,
2022-08-30 15:30:30,302.8814865316094,
2022-08-30 23:59:59,339.34873083007597,c
2022-08-31 00:00:00,396.52103229316936,
2022-08-31 10:00:00,507.4516395415053,
2022-08-31 10:30:00,423.6584866570515,
2022-08-31 12:00:00,424.92172747306677,
2022-08-31 13:30:00,475.8372864911703,
2022-08-31 15:00:00,449.32940291844307,
2022-08-31 15:30:30,449.32940291844307,m
2022-08-31 23:59:59,441.69679931640667,c
2022-09-01 00:00:00,306.2454661788702,
2022-09-01 10:00:00,375.44931092409706,
2022-09-01 10:30:00,379.4551021827888,
2022-09-01 12:00:00,303.23623420353715,
2022-09-01 13:30:00,421.22507587233986,
2022-09-01 15:00:00,436.90275155520476,
2022-09-01 15:30:30,436.90275155520476,
2022-09-01 23:59:59,495.30414145663826,c
2022-09-02 00:00:00,580.105212463573,
2022-09-02 10:00:00,512.5828064214252,
2022-09-02 10:30:00,495.94812085575677,
2022-09-02 12:00:00,400.88650950712463,
2022-09-02 13:30:00,279.1667252050197,
2022-09-02 15:00:00,312.06924835509244,
2022-09-02 15:30:30,312.06924835509244,
2022-09-02 23:59:59,259.82701818098894,w
2022-09-05 00:00:00,259.82701818098894,
2022-09-05 10:00:00,259.82701818098894,
2022-09-05 10:30:00,259.82701818098894,
2022-09-05 12:00:00,259.82701818098894,
2022-09-05 13:30:00,259.82701818098894,
2022-09-05 15:00:00,259.82701818098894,
2022-09-05 15:30:30,259.82701818098894,
2022-09-05 23:59:59,259.82701818098894,c
2022-09-06 00:00:00,291.9336472011878,
2022-09-06 10:00:00,410.3851962786671,
2022-09-06 10:30:00,396.38213423647403,
2022-09-06 12:00:00,531.8686441074819,
2022-09-06 13:30:00,506.073648940926,
2022-09-06 15:00:00,562.3485500268448,
2022-09-06 15:30:30,562.3485500268448,
2022-09-06 23:59:59,532.6892658466982,c
2022-09-07 00:00:00,592.6928758941954,
2022-09-07 10:00:00,554.3143424102414,
2022-09-07 10:30:00,589.9928900490081,
2022-09-07 12:00:00,555.0210459778641,
2022-09-07 13:30:00,509.3714975978205,
2022-09-07 15:00:00,546.9103876129052,
2022-09-07 15:30:30,546.9103876129052,
2022-09-07 23:59:59,553.0174276585572,c
2022-09-08 00:00:00,336.8376360347306,
2022-09-08 10:00:00,371.9624731688905,
2022-09-08 10:30:00,245.7936089474374,
2022-09-08 12:00:00,236.30066600804776,
2022-09-08 13:30:00,197.60377992727126,
2022-09-08 15:00:00,222.9318819935047,
2022-09-08 15:30:30,222.9318819935047,
2022-09-08 23:59:59,229.7264599205041,c
2022-09-09 00:00:00,436.61299726672905,
2022-09-09 10:00:00,696.4754176051424,
2022-09-09 10:30:00,681.595066189921,
2022-09-09 12:00:00,749.3475246534367,
2022-09-09 13:30:00,684.9477865479062,
2022-09-09 15:00:00,605.4917925019922,
2022-09-09 15:30:30,605.4917925019922,
2022-09-09 23:59:59,608.6200673113276,w
2022-09-12 00:00:00,625.6524629429073,
2022-09-12 10:00:00,645.975592104975,
2022-09-12 10:30:00,626.3435203279791,
2022-09-12 12:00:00,690.5318083762927,
2022-09-12 13:30:00,650.5348764340492,
2022-09-12 15:00:00,687.0490875676364,
2022-09-12 15:30:30,687.0490875676364,
2022-09-12 23:59:59,646.345778737737,c
2022-09-13 00:00:00,525.243278333483,
2022-09-13 10:00:00,652.1834870209855,
2022-09-13 10:30:00,668.6724735975381,
2022-09-13 12:00:00,616.9266128903541,
2022-09-13 13:30:00,642.2097842451954,
2022-09-13 15:00:00,576.566693593049,
2022-09-13 15:30:30,576.566693593049,
2022-09-13 23:59:59,572.8794736668983,c
2022-09-14 00:00:00,623.4285687770266,
2022-09-14 10:00:00,544.8073867686467,
2022-09-14 10:30:00,521.0170499637447,
2022-09-14 12:00:00,590.9986974838989,
2022-09-14 13:30:00,589.5121240243475,
2022-09-14 15:00:00,613.002769146266,
2022-09-14 15:30:30,613.002769146266,
2022-09-14 23:59:59,581.4711823452549,c
2022-09-15 00:00:00,544.2665084041832,
2022-09-15 10:00:00,611.292810155504,
2022-09-15 10:30:00,525.1809776753466,
2022-09-15 12:00:00,474.80084584107726,
2022-09-15 13:30:00,456.3130244698891,
2022-09-15 15:00:00,472.0163794792729,
2022-09-15 15:30:30,472.0163794792729,
2022-09-15 23:59:59,432.25800641426076,c
2022-09-16 00:00:00,323.4862282922363,
2022-09-16 10:00:00,334.65593809368465,
2022-09-16 10:30:00,343.58965725850294,
2022-09-16 12:00:00,316.7106147213058,
2022-09-16 13:30:00,363.805768578512,
2022-09-16 15:00:00,334.0735755946048,
2022-09-16 15:30:30,334.0735755946048,
2022-09-16 23:59:59,384.6923173339551,e
2022-09-19 00:00:00,354.6704526382541,
2022-09-19 10:00:00,271.51874098356575,
2022-09-19 10:30:00,250.93151611296662,
2022-09-19 12:00:00,239.8047397015721,
2022-09-19 13:30:00,293.12468855414636,
2022-09-19 15:00:00,266.3176247852375,
2022-09-19 15:30:30,266.3176247852375,
2022-09-19 23:59:59,267.66173506140467,c
2022-09-20 00:00:00,301.0504558587668,
2022-09-20 10:00:00,268.3849573083403,
2022-09-20 10:30:00,326.1763314212171,
2022-09-20 12:00:00,377.5862382452474,
2022-09-20 13:30:00,348.2776619632036,
2022-09-20 15:00:00,368.26897913806033,
2022-09-20 15:30:30,368.26897913806033,
2022-09-20 23:59:59,390.513341088626,c
2022-09-21 00:00:00,474.4730392983579,
2022-09-21 10:00:00,275.09248284401974,
2022-09-21 10:30:00,198.0099876531326,
2022-09-21 12:00:00,148.1460981090404,
2022-09-21 13:30:00,157.9242455181825,
2022-09-21 15:00:00,192.24755214624793,
2022-09-21 15:30:30,192.24755214624793,
2022-09-21 23:59:59,94.73433747317085,c
2022-09-22 00:00:00,51.51294152414266,
2022-09-22 10:00:00,23.3185555350874,
2022-09-22 10:30:00,2.6623520015068607,
2022-09-22 12:00:00,-200.7198981890292,
2022-09-22 13:30:00,-281.476616943291,
2022-09-22 15:00:00,-385.23990306072665,
2022-09-22 15:30:30,-385.23990306072665,
2022-09-22 23:59:59,-351.99966459009374,c
2022-09-23 00:00:00,-398.0890952727741,
2022-09-23 10:00:00,-509.58812320772995,
2022-09-23 10:30:00,-488.7684852114294,
2022-09-23 12:00:00,-499.8844335825579,
2022-09-23 13:30:00,-477.50048287304344,
2022-09-23 15:00:00,-399.5270149659141,
2022-09-23 15:30:30,-399.5270149659141,
2022-09-23 23:59:59,-348.49104243915554,w
2022-09-26 00:00:00,-299.7091407607263,
2022-09-26 10:00:00,-288.73711799067496,
2022-09-26 10:30:00,-247.63062555085935,
2022-09-26 12:00:00,-304.09797644551554,
2022-09-26 13:30:00,-300.61620922365546,
2022-09-26 15:00:00,-261.0322759283936,
2022-09-26 15:30:30,-261.0322759283936,
2022-09-26 23:59:59,-338.65438022261515,c
2022-09-27 00:00:00,-221.98122186514502,
2022-09-27 10:00:00,-229.3377203544287,
2022-09-27 10:30:00,-251.4732505675447,
2022-09-27 12:00:00,-270.44302583893796,
2022-09-27 13:30:00,-264.32446763168764,
2022-09-27 15:00:00,-258.8739620494257,
2022-09-27 15:30:30,-258.8739620494257,
2022-09-27 23:59:59,-274.1035463864182,c
2022-09-28 00:00:00,-290.9073476566841,
2022-09-28 10:00:00,-357.23370034154595,
2022-09-28 10:30:00,-325.6361185755959,
2022-09-28 12:00:00,-265.76384348559577,
2022-09-28 13:30:00,-266.0487359601716,
2022-09-28 15:00:00,-238.62287000635524,
2022-09-28 15:30:30,-238.62287000635524,
2022-09-28 23:59:59,-284.19403112007376,c
2022-09-29 00:00:00,-378.2931188864618,
