date,EU_MSCI_FACTOR_2021_Q4,meta
2021-12-01 00:00:00,100.42032699245938,
2021-12-01 03:30:00,85.10730238692591,
2021-12-01 04:00:00,80.2680724224858,
2021-12-01 06:00:00,81.43088156473986,
2021-12-01 08:00:00,80.29641565885898,
2021-12-01 10:30:00,70.09964483480475,
2021-12-01 11:00:00,70.2562095207459,
2021-12-01 23:59:59,69.39534275485656,c
2021-12-02 00:00:00,83.87173621778656,
2021-12-02 03:30:00,84.17961319754542,
2021-12-02 04:00:00,85.79520949643813,
2021-12-02 06:00:00,93.66755817879121,
2021-12-02 08:00:00,102.46161495954834,
2021-12-02 10:30:00,98.48666776845955,
2021-12-02 11:00:00,104.10221151059841,
2021-12-02 23:59:59,107.90667662523073,c
2021-12-03 00:00:00,106.62160135146237,
2021-12-03 03:30:00,110.55795599006504,
2021-12-03 04:00:00,111.46784904607293,
2021-12-03 06:00:00,128.05005726988836,
2021-12-03 08:00:00,130.42874886866827,
2021-12-03 10:30:00,121.80065758280759,
2021-12-03 11:00:00,126.94324234423172,
2021-12-03 23:59:59,124.62057769105965,w
2021-12-06 00:00:00,120.51279272826389,
2021-12-06 03:30:00,129.6966450325155,
2021-12-06 04:00:00,134.88648200271035,
2021-12-06 06:00:00,149.96404239001575,
2021-12-06 08:00:00,149.92461359270777,
2021-12-06 10:30:00,137.00353248748166,
2021-12-06 11:00:00,135.61671016311138,
2021-12-06 23:59:59,131.59564712939815,c
2021-12-07 00:00:00,131.59564712939815,
2021-12-07 03:30:00,133.35697180205025,
2021-12-07 04:00:00,135.1275728337986,
2021-12-07 06:00:00,131.66380859670113,
2021-12-07 08:00:00,134.0403508812793,
2021-12-07 10:30:00,131.97968339277804,
2021-12-07 11:00:00,133.97451794119658,
2021-12-07 23:59:59,142.08156335588458,c
2021-12-08 00:00:00,147.317495213765,
2021-12-08 03:30:00,140.8237333914629,
2021-12-08 04:00:00,146.26236204095068,
2021-12-08 06:00:00,159.88222097350007,
2021-12-08 08:00:00,150.11446563803176,
2021-12-08 10:30:00,144.87545973593262,
2021-12-08 11:00:00,139.14458016502226,
2021-12-08 23:59:59,141.45814924677413,c
2021-12-09 00:00:00,141.226318380876,
2021-12-09 03:30:00,144.88731303174174,
2021-12-09 04:00:00,149.66636758534497,
2021-12-09 06:00:00,154.93682487032893,
2021-12-09 08:00:00,151.7390079128335,
2021-12-09 10:30:00,151.75144081793675,
2021-12-09 11:00:00,155.7320673393025,
2021-12-09 23:59:59,156.34455141891922,c
2021-12-10 00:00:00,153.54934283767167,
2021-12-10 03:30:00,158.7035182193635,
2021-12-10 04:00:00,154.6791230492949,
2021-12-10 06:00:00,153.99421051300865,
2021-12-10 08:00:00,152.06382483448945,
2021-12-10 10:30:00,154.23993751149106,
2021-12-10 11:00:00,157.00307702960725,
2021-12-10 23:59:59,159.74068163890473,w
2021-12-13 00:00:00,153.48785425558293,
2021-12-13 03:30:00,146.24593427249405,
2021-12-13 04:00:00,150.80926384092518,
2021-12-13 06:00:00,151.4470463118373,
2021-12-13 08:00:00,148.2295509185222,
2021-12-13 10:30:00,159.95699623175776,
2021-12-13 11:00:00,162.3398215591677,
2021-12-13 23:59:59,164.64018873153856,c
2021-12-14 00:00:00,162.40075016105513,
2021-12-14 03:30:00,163.71701385799625,
2021-12-14 04:00:00,165.0529613800593,
2021-12-14 06:00:00,162.0365937326126,
2021-12-14 08:00:00,159.2957674793337,
2021-12-14 10:30:00,153.94926332606457,
2021-12-14 11:00:00,157.36498869717727,
2021-12-14 23:59:59,162.6043508063215,c
2021-12-15 00:00:00,151.1836655618013,
2021-12-15 03:30:00,154.39900937050822,
2021-12-15 04:00:00,154.38774978131383,
2021-12-15 06:00:00,140.56980193330355,
2021-12-15 08:00:00,147.5754150409986,
2021-12-15 10:30:00,157.42103231889953,
2021-12-15 11:00:00,161.29903127344386,
2021-12-15 23:59:59,160.16575060623413,c
2021-12-16 00:00:00,150.39867765648668,
2021-12-16 03:30:00,140.54525582665752,
2021-12-16 04:00:00,135.15904379332503,
2021-12-16 06:00:00,130.78971106150237,
2021-12-16 08:00:00,125.99219789003183,
2021-12-16 10:30:00,141.5172111987462,
2021-12-16 11:00:00,141.2565047563189,
2021-12-16 23:59:59,148.25057405616556,c
2021-12-17 00:00:00,148.27649837375114,
2021-12-17 03:30:00,146.3287414338811,
2021-12-17 04:00:00,147.32633680521772,
2021-12-17 06:00:00,138.27235093222015,
2021-12-17 08:00:00,146.8640606476092,
2021-12-17 10:30:00,153.82901586373123,
2021-12-17 11:00:00,150.32714364093107,
2021-12-17 23:59:59,152.72908565444874,w
2021-12-20 00:00:00,129.78499349900386,
2021-12-20 03:30:00,143.59465593849146,
2021-12-20 04:00:00,155.72924458834171,
2021-12-20 06:00:00,151.37850940766782,
2021-12-20 08:00:00,147.73296312132805,
2021-12-20 10:30:00,140.75396472210969,
2021-12-20 11:00:00,145.70504224811563,
2021-12-20 23:59:59,152.1422152780651,c
2021-12-21 00:00:00,145.14033358476283,
2021-12-21 03:30:00,150.57255479638235,
2021-12-21 04:00:00,147.47928156554605,
2021-12-21 06:00:00,130.483245464645,
2021-12-21 08:00:00,132.3666509866926,
2021-12-21 10:30:00,134.72527424961166,
2021-12-21 11:00:00,133.8405773716982,
2021-12-21 23:59:59,135.56086504091982,c
