date,AS_HSI_2022_Q4,meta
2022-12-19 03:00:00,1073.5106092871956,
2022-12-19 18:30:00,1073.5106092871956,
2022-12-19 20:00:00,1073.5106092871956,
2022-12-19 23:00:00,977.3957586845845,
2022-12-19 23:59:59,976.5969591816265,c
2022-12-20 00:00:00,890.1193709699874,
2022-12-20 01:00:00,767.9528411338069,
2022-12-20 02:30:00,795.1125822114791,
2022-12-20 03:00:00,795.2781775711737,
2022-12-20 18:30:00,795.2781775711737,
2022-12-20 20:00:00,795.2781775711737,
2022-12-20 23:00:00,914.6019461208998,
2022-12-20 23:59:59,918.3074245608586,c
2022-12-21 00:00:00,924.5097036804218,
2022-12-21 01:00:00,883.781550357502,
2022-12-21 02:30:00,902.1212622162111,
2022-12-21 03:00:00,958.2819342724433,
2022-12-21 18:30:00,958.2819342724433,
2022-12-21 20:00:00,958.2819342724433,
2022-12-21 23:00:00,950.2253171839311,
2022-12-21 23:59:59,955.4650309611334,c
2022-12-22 00:00:00,1242.1475208272823,
2022-12-22 01:00:00,1179.6844961456682,
2022-12-22 02:30:00,1196.3914499885868,
2022-12-22 03:00:00,1239.2487055872043,
2022-12-22 18:30:00,1239.2487055872043,
2022-12-22 20:00:00,1239.2487055872043,
2022-12-22 23:00:00,1220.4307492099706,
2022-12-22 23:59:59,1227.4431589090636,c
2022-12-23 00:00:00,1082.7550968277646,
2022-12-23 01:00:00,1099.4999539129894,
2022-12-23 02:30:00,1086.5306532886643,
2022-12-23 03:00:00,1041.538169631025,
2022-12-23 18:30:00,1041.538169631025,
2022-12-23 20:00:00,1041.538169631025,
2022-12-23 23:00:00,1041.538169631025,
2022-12-23 23:59:59,1045.147803530197,w
2022-12-26 00:00:00,1045.147803530197,
2022-12-26 01:00:00,1045.147803530197,
2022-12-26 02:30:00,1045.147803530197,
2022-12-26 03:00:00,1045.147803530197,
2022-12-26 18:30:00,1045.147803530197,
2022-12-26 20:00:00,1045.147803530197,
2022-12-26 23:00:00,1045.147803530197,
2022-12-26 23:59:59,1045.147803530197,c
2022-12-27 00:00:00,1045.147803530197,
2022-12-27 01:00:00,1045.147803530197,
2022-12-27 02:30:00,1045.147803530197,
2022-12-27 03:00:00,1045.147803530197,
2022-12-27 18:30:00,1045.147803530197,
2022-12-27 20:00:00,1045.147803530197,
2022-12-27 23:00:00,1212.7084114368208,
2022-12-27 23:59:59,1212.7084114368208,c
2022-12-28 00:00:00,1236.802318058164,
2022-12-28 01:00:00,1195.4592996975443,
2022-12-28 02:30:00,1177.683332003413,
2022-12-28 03:00:00,1205.6579958729744,
2022-12-28 18:30:00,1205.6579958729744,
2022-12-28 20:00:00,1205.6579958729744,
2022-12-28 23:00:00,1161.181434741713,
2022-12-28 23:59:59,1144.6184798587983,c
2022-12-29 00:00:00,1066.640272212564,
2022-12-29 01:00:00,1105.1510199857385,
2022-12-29 02:30:00,1135.5374739003819,
2022-12-29 03:00:00,1170.041021936766,
2022-12-29 18:30:00,1170.041021936766,
2022-12-29 20:00:00,1170.041021936766,
2022-12-29 23:00:00,1187.2148535536635,
2022-12-29 23:59:59,1189.2498949839464,c
2022-12-30 00:00:00,1260.430441182736,
2022-12-30 01:00:00,1165.1011812157649,
2022-12-30 02:30:00,1183.2801440972198,
2022-12-30 03:00:00,1154.1883031154139,
2022-12-30 18:30:00,1154.1883031154139,
2022-12-30 20:00:00,1154.1883031154139,
2022-12-30 23:00:00,1154.1883031154139,
2022-12-30 23:59:59,1154.0532014760247,w
