date,SCHWAB_2022_Q2,meta
2022-06-07 23:59:59,-43.90592193548173,c
2022-06-08 00:00:00,-50.04324964004627,
2022-06-08 10:00:00,14.386147062544751,
2022-06-08 10:30:00,-1.5464359119209803,
2022-06-08 12:00:00,15.757164490125433,
2022-06-08 13:30:00,-24.58714759214672,
2022-06-08 15:00:00,-45.56608770647745,
2022-06-08 15:30:30,-45.56608770647745,
2022-06-08 23:59:59,-43.93363993453249,c
2022-06-09 00:00:00,-93.93950555337551,
2022-06-09 10:00:00,-113.40693302401542,
2022-06-09 10:30:00,-76.84939533855368,
2022-06-09 12:00:00,-179.84840515615406,
2022-06-09 13:30:00,-193.019887832907,
2022-06-09 15:00:00,-217.68772294806286,
2022-06-09 15:30:30,-217.68772294806286,
2022-06-09 23:59:59,-250.9293623363278,c
2022-06-10 00:00:00,-312.417789303051,
2022-06-10 10:00:00,-316.13381461092786,
2022-06-10 10:30:00,-377.94027390291103,
2022-06-10 12:00:00,-396.02507159318566,
2022-06-10 13:30:00,-412.1405878421997,
2022-06-10 15:00:00,-369.0047349287761,
2022-06-10 15:30:30,-369.0047349287761,
2022-06-10 23:59:59,-368.75907503095686,w
2022-06-13 00:00:00,-469.76509743069846,
2022-06-13 10:00:00,-584.4026279616701,
2022-06-13 10:30:00,-590.5375363735488,
2022-06-13 12:00:00,-577.6177473222351,
2022-06-13 13:30:00,-581.3694301419337,
2022-06-13 15:00:00,-570.2088064891805,
2022-06-13 15:30:30,-570.2088064891805,
2022-06-13 23:59:59,-580.53917486308,c
2022-06-14 00:00:00,-547.621285448824,
2022-06-14 10:00:00,-597.0801242115367,
2022-06-14 10:30:00,-621.7706700831413,
2022-06-14 12:00:00,-541.2637271750673,
2022-06-14 13:30:00,-538.9357020535153,
2022-06-14 15:00:00,-588.242501932506,
2022-06-14 15:30:30,-588.242501932506,
2022-06-14 23:59:59,-579.4209589094626,c
2022-06-15 00:00:00,-553.0474819034853,
2022-06-15 10:00:00,-488.2441511360953,
2022-06-15 10:30:00,-463.71110776162186,
2022-06-15 12:00:00,-460.7726819631539,
2022-06-15 13:30:00,-480.01357280363754,
2022-06-15 15:00:00,-458.9717294776824,
2022-06-15 15:30:30,-458.9717294776824,
2022-06-15 23:59:59,-440.11892724459176,c
2022-06-16 00:00:00,-536.8726391808518,
2022-06-16 10:00:00,-518.8187585794726,
2022-06-16 10:30:00,-484.8388987346325,
2022-06-16 12:00:00,-474.89737143538105,
2022-06-16 13:30:00,-459.0600771168515,
2022-06-16 15:00:00,-460.24926773210245,
2022-06-16 15:30:30,-460.24926773210245,
2022-06-16 23:59:59,-449.6940601607944,c
2022-06-17 00:00:00,-426.9158397607789,
2022-06-17 10:00:00,-350.06579703320176,
2022-06-17 10:30:00,-444.36314611180705,
2022-06-17 12:00:00,-413.09651533922715,
2022-06-17 13:30:00,-396.08976829914945,
2022-06-17 15:00:00,-391.6741379268087,
2022-06-17 15:30:30,-391.6741379268087,
2022-06-17 23:59:59,-404.3773759447481,e
2022-06-20 00:00:00,-404.3773759447481,
2022-06-20 10:00:00,-404.3773759447481,
2022-06-20 10:30:00,-404.3773759447481,
2022-06-20 12:00:00,-404.3773759447481,
2022-06-20 13:30:00,-404.3773759447481,
2022-06-20 15:00:00,-404.3773759447481,
2022-06-20 15:30:30,-404.3773759447481,
2022-06-20 23:59:59,-404.3773759447481,c
2022-06-21 00:00:00,-375.30348668850047,
2022-06-21 10:00:00,-256.0828511153445,
2022-06-21 10:30:00,-247.70056292441132,
2022-06-21 12:00:00,-247.5786485451872,
2022-06-21 13:30:00,-246.57695349730466,
2022-06-21 15:00:00,-289.1826169144838,
2022-06-21 15:30:30,-289.1826169144838,
2022-06-21 23:59:59,-311.1760508722691,c
2022-06-22 00:00:00,-376.31851190913903,
2022-06-22 10:00:00,-305.171967050635,
2022-06-22 10:30:00,-312.35888460154047,
2022-06-22 12:00:00,-332.806045242713,
2022-06-22 13:30:00,-291.3655463948885,
2022-06-22 15:00:00,-320.12503187159155,
2022-06-22 15:30:30,-320.12503187159155,
2022-06-22 23:59:59,-358.1486219690155,c
2022-06-23 00:00:00,-331.5658298025769,
2022-06-23 10:00:00,-332.6940682350073,
2022-06-23 10:30:00,-307.44909279768035,
2022-06-23 12:00:00,-313.29870375152177,
2022-06-23 13:30:00,-374.5644493430377,
2022-06-23 15:00:00,-325.1773153932377,
2022-06-23 15:30:30,-325.1773153932377,
2022-06-23 23:59:59,-298.5236781553531,c
2022-06-24 00:00:00,-268.96887024284797,
2022-06-24 10:00:00,-247.36865982030122,
2022-06-24 10:30:00,-266.2372417083466,
2022-06-24 12:00:00,-269.30824892970077,
2022-06-24 13:30:00,-223.1962513846861,
2022-06-24 15:00:00,-193.99242191114809,
2022-06-24 15:30:30,-193.99242191114809,
2022-06-24 23:59:59,-250.3076887284892,w
2022-06-27 00:00:00,-235.5973537429345,
2022-06-27 10:00:00,-291.86904558159495,
2022-06-27 10:30:00,-324.20963860605525,
2022-06-27 12:00:00,-297.33518582897386,
2022-06-27 13:30:00,-291.0355261512318,
2022-06-27 15:00:00,-296.7827742932586,
2022-06-27 15:30:30,-296.7827742932586,
2022-06-27 23:59:59,-281.28462801849673,c
2022-06-28 00:00:00,-247.56836975611668,
2022-06-28 10:00:00,-232.99174633671737,
2022-06-28 10:30:00,-252.99176362021308,
2022-06-28 12:00:00,-322.09996249455435,
2022-06-28 13:30:00,-331.41177109119326,
2022-06-28 15:00:00,-342.9179548801512,
2022-06-28 15:30:30,-342.9179548801512,
2022-06-28 23:59:59,-340.8294876328123,c
2022-06-29 00:00:00,-355.35462453545324,
2022-06-29 10:00:00,-430.0028946240068,
2022-06-29 10:30:00,-438.1109416729423,
2022-06-29 12:00:00,-457.3368496429098,
2022-06-29 13:30:00,-470.42239936234364,
2022-06-29 15:00:00,-474.51062140387694,
2022-06-29 15:30:30,-474.51062140387694,
2022-06-29 23:59:59,-449.3736572536013,c
2022-06-30 00:00:00,-480.49051579335264,
2022-06-30 10:00:00,-522.8834150560638,
2022-06-30 10:30:00,-528.9901370046782,
2022-06-30 12:00:00,-478.05781900889224,
2022-06-30 13:30:00,-478.67543115124226,
2022-06-30 15:00:00,-511.07534750307013,
2022-06-30 15:30:30,-511.07534750307013,
2022-06-30 23:59:59,-503.1005495516665,c
2022-07-01 00:00:00,-498.133347006908,
2022-07-01 10:00:00,-482.0083764622209,
2022-07-01 10:30:00,-500.5564277102517,
2022-07-01 12:00:00,-496.8188800818921,
2022-07-01 13:30:00,-474.12629936126405,
2022-07-01 15:00:00,-449.7967033509467,
2022-07-01 15:30:30,-449.7967033509467,
2022-07-01 23:59:59,-431.5057662187528,w
2022-07-04 00:00:00,-431.5057662187528,
2022-07-04 10:00:00,-431.5057662187528,
2022-07-04 10:30:00,-431.5057662187528,
2022-07-04 12:00:00,-431.5057662187528,
2022-07-04 13:30:00,-431.5057662187528,
2022-07-04 15:00:00,-431.5057662187528,
2022-07-04 15:30:30,-431.5057662187528,
2022-07-04 23:59:59,-431.5057662187528,c
2022-07-05 00:00:00,-479.5891514804043,
2022-07-05 10:00:00,-520.0074597976445,
2022-07-05 10:30:00,-443.3629406810919,
2022-07-05 12:00:00,-427.7911115514594,
2022-07-05 13:30:00,-420.97472815293304,
2022-07-05 15:00:00,-402.7747043724394,
2022-07-05 15:30:30,-402.7747043724394,
2022-07-05 23:59:59,-358.46662615652167,c
2022-07-06 00:00:00,-354.0929813439925,
