date,COMP_STAY_HEDGED_2021_Q4,meta
2021-12-28 15:00:00,102.16148417277464,
2021-12-28 15:30:30,102.16148417277464,
2021-12-28 23:59:59,99.81844269730664,c
2021-12-29 00:00:00,94.43267036544194,
2021-12-29 10:00:00,80.42797941942263,
2021-12-29 10:30:00,86.04014964915905,
2021-12-29 12:00:00,110.13223591708038,
2021-12-29 13:30:00,124.4398043298088,
2021-12-29 15:00:00,118.97124311619791,
2021-12-29 15:30:30,118.97124311619791,
2021-12-29 23:59:59,108.12994894074018,c
2021-12-30 00:00:00,133.08922919731094,
2021-12-30 10:00:00,161.39259695645433,
2021-12-30 10:30:00,143.44032973891672,
2021-12-30 12:00:00,178.06355987798725,
2021-12-30 13:30:00,183.73826288272903,
2021-12-30 15:00:00,169.737524020848,
2021-12-30 15:30:30,169.737524020848,
2021-12-30 23:59:59,143.564499153842,c
2021-12-31 00:00:00,177.69190259804964,
2021-12-31 10:00:00,168.09349066030018,
2021-12-31 10:30:00,179.3484775069428,
2021-12-31 12:00:00,192.082515996246,
2021-12-31 13:30:00,184.8848424593757,
2021-12-31 15:00:00,172.31379931391757,
2021-12-31 15:30:30,172.31379931391757,
2021-12-31 23:59:59,151.9211454438423,w
2022-01-03 00:00:00,180.41379791430018,
2022-01-03 10:00:00,56.60387952201336,
2022-01-03 10:30:00,62.87599504453601,
2022-01-03 12:00:00,12.256903680189225,
2022-01-03 13:30:00,10.35430148396108,
2022-01-03 15:00:00,2.5991687600421756,
2022-01-03 15:30:30,2.5991687600421756,
2022-01-03 23:59:59,13.073791437314412,c
2022-01-04 00:00:00,21.970918821520627,
2022-01-04 10:00:00,-88.80717462750044,
2022-01-04 10:30:00,-126.52801065087169,
2022-01-04 12:00:00,-109.53880668187685,
2022-01-04 13:30:00,-120.45688005043803,
2022-01-04 15:00:00,-95.08167572529283,
2022-01-04 15:30:30,-95.08167572529283,
2022-01-04 23:59:59,-89.7032037443796,c
2022-01-05 00:00:00,-156.05734968638308,
2022-01-05 10:00:00,-166.77036957789278,
2022-01-05 10:30:00,-174.38432550770904,
2022-01-05 12:00:00,-183.21525824473474,
2022-01-05 13:30:00,-169.4675035374862,
2022-01-05 15:00:00,-202.21548057555856,
2022-01-05 15:30:30,-202.21548057555856,
2022-01-05 23:59:59,-216.25848314006953,c
2022-01-06 00:00:00,-237.73253709158507,
2022-01-06 10:00:00,-240.650343504406,
2022-01-06 10:30:00,-207.05282910378446,
2022-01-06 12:00:00,-162.22917639096977,
2022-01-06 13:30:00,-168.05072933734164,
2022-01-06 15:00:00,-178.94846137171317,
2022-01-06 15:30:30,-178.94846137171317,
2022-01-06 23:59:59,-191.76231611774347,c
2022-01-07 00:00:00,-221.19545721227541,
2022-01-07 10:00:00,-176.28639110087352,
2022-01-07 10:30:00,-207.72927110829232,
2022-01-07 12:00:00,-211.15260480969982,
2022-01-07 13:30:00,-215.42893839609724,
2022-01-07 15:00:00,-213.82731481211204,
2022-01-07 15:30:30,-213.82731481211204,
2022-01-07 23:59:59,-225.22808088207557,w
2022-01-10 00:00:00,-280.7496304773008,
2022-01-10 10:00:00,-350.0327861803214,
2022-01-10 10:30:00,-360.8118917400618,
2022-01-10 12:00:00,-339.1568584687725,
2022-01-10 13:30:00,-302.12789878771764,
2022-01-10 15:00:00,-256.85762920038724,
2022-01-10 15:30:30,-256.85762920038724,
2022-01-10 23:59:59,-240.27718145705649,c
2022-01-11 00:00:00,-226.5934062551014,
2022-01-11 10:00:00,-175.94210882919378,
2022-01-11 10:30:00,-176.55081558110714,
2022-01-11 12:00:00,-133.17433492511418,
2022-01-11 13:30:00,-137.60858599159383,
2022-01-11 15:00:00,-129.14111048908035,
2022-01-11 15:30:30,-129.14111048908035,
2022-01-11 23:59:59,-129.30061513438295,c
2022-01-12 00:00:00,-92.80216454338643,
2022-01-12 10:00:00,-116.87428601805959,
2022-01-12 10:30:00,-113.19548469039455,
2022-01-12 12:00:00,-143.2989509677859,
2022-01-12 13:30:00,-132.76134832202342,
2022-01-12 15:00:00,-158.6628689323179,
2022-01-12 15:30:30,-158.6628689323179,
2022-01-12 23:59:59,-167.0060779130522,c
2022-01-13 00:00:00,-160.4632810963417,
2022-01-13 10:00:00,-193.507988513702,
2022-01-13 10:30:00,-227.80596993486097,
2022-01-13 12:00:00,-232.8991757121912,
2022-01-13 13:30:00,-244.52297383646328,
2022-01-13 15:00:00,-272.43140046845383,
2022-01-13 15:30:30,-272.43140046845383,
2022-01-13 23:59:59,-292.48322024656363,c
2022-01-14 00:00:00,-328.0329109075003,
2022-01-14 10:00:00,-294.25690301041095,
2022-01-14 10:30:00,-313.6463507348483,
2022-01-14 12:00:00,-358.6707409279784,
2022-01-14 13:30:00,-386.31514834584095,
2022-01-14 15:00:00,-379.8137666060045,
2022-01-14 15:30:30,-379.8137666060045,
2022-01-14 23:59:59,-353.7848988774581,w
