date,AS_FTSE_DM_SC_2022_Q1,meta
2022-02-09 18:30:00,129.59772986588098,
2022-02-09 20:00:00,107.90257120161439,
2022-02-09 23:00:00,107.17487827657536,
2022-02-09 23:59:59,99.9670132864702,c
2022-02-10 00:00:00,120.05115978072308,
2022-02-10 01:00:00,112.63864462213843,
2022-02-10 02:30:00,114.78275108122062,
2022-02-10 03:00:00,115.41806980310506,
2022-02-10 18:30:00,96.78020478243013,
2022-02-10 20:00:00,124.40934357848576,
2022-02-10 23:00:00,116.4423030274383,
2022-02-10 23:59:59,130.66074522045272,c
2022-02-11 00:00:00,113.06867526668259,
2022-02-11 01:00:00,110.74738867200355,
2022-02-11 02:30:00,107.12850075700888,
2022-02-11 03:00:00,106.37504805100002,
2022-02-11 18:30:00,106.37504805100002,
2022-02-11 20:00:00,106.37504805100002,
2022-02-11 23:00:00,106.37504805100002,
2022-02-11 23:59:59,104.47343496215615,w
2022-02-14 00:00:00,-6.13272543605575,
2022-02-14 01:00:00,-13.339754872374783,
2022-02-14 02:30:00,-12.153091233222028,
2022-02-14 03:00:00,-11.455987879136387,
2022-02-14 18:30:00,-13.096173356307759,
2022-02-14 20:00:00,-54.17268124377415,
2022-02-14 23:00:00,-50.2799438709273,
2022-02-14 23:59:59,-43.965982100711074,c
2022-02-15 00:00:00,-45.0842316859671,
2022-02-15 01:00:00,-46.17870209402821,
2022-02-15 02:30:00,-44.28598546701147,
2022-02-15 03:00:00,-45.13538598641992,
2022-02-15 18:30:00,-51.55978393939927,
2022-02-15 20:00:00,-45.55277558861121,
2022-02-15 23:00:00,-63.71322348023671,
2022-02-15 23:59:59,-60.470360449395685,c
2022-02-16 00:00:00,-22.944568000503637,
2022-02-16 01:00:00,-19.739789038770482,
2022-02-16 02:30:00,-19.47340486845451,
2022-02-16 03:00:00,-20.679902887018102,
2022-02-16 18:30:00,-34.73015583426593,
2022-02-16 20:00:00,-63.5613661024513,
2022-02-16 23:00:00,-46.24866522872071,
2022-02-16 23:59:59,-60.67675371085795,c
2022-02-17 00:00:00,-61.86768737280971,
2022-02-17 01:00:00,-64.09071573633292,
2022-02-17 02:30:00,-67.70054722580574,
2022-02-17 03:00:00,-64.71566649158098,
2022-02-17 18:30:00,-30.85752026974552,
2022-02-17 20:00:00,0.9359772760560645,
2022-02-17 23:00:00,27.507127297076295,
2022-02-17 23:59:59,18.71547756059931,c
2022-02-18 00:00:00,4.035313937308047,
2022-02-18 01:00:00,2.9240403691093206,
2022-02-18 02:30:00,1.7037820357951432,
2022-02-18 03:00:00,3.2404643130605564,
2022-02-18 18:30:00,3.2404643130605564,
2022-02-18 20:00:00,3.2404643130605564,
2022-02-18 23:00:00,3.2404643130605564,
2022-02-18 23:59:59,0.0,a
2022-02-21 00:00:00,-20.604386433990726,
2022-02-21 01:00:00,-19.69538597611586,
2022-02-21 02:30:00,-15.82732698836486,
2022-02-21 03:00:00,-16.912767991634666,
2022-02-21 18:30:00,-39.932796081972754,
2022-02-21 20:00:00,-42.725695335275134,
2022-02-21 23:00:00,-61.09767817199821,
2022-02-21 23:59:59,-57.753654003156385,c
2022-02-22 00:00:00,-43.00113349038509,
2022-02-22 01:00:00,-41.7245699543131,
2022-02-22 02:30:00,-37.919089734872216,
2022-02-22 03:00:00,-41.153951293765374,
2022-02-22 18:30:00,12.188604468538927,
2022-02-22 20:00:00,64.21377538470537,
2022-02-22 23:00:00,108.509705072012,
2022-02-22 23:59:59,106.75978479064446,c
2022-02-23 00:00:00,96.92379607551973,
2022-02-23 01:00:00,96.79591867358414,
2022-02-23 02:30:00,101.06940778316962,
2022-02-23 03:00:00,105.40305065953177,
2022-02-23 18:30:00,84.1805785659486,
2022-02-23 20:00:00,96.88790239223917,
2022-02-23 23:00:00,72.64520371474757,
2022-02-23 23:59:59,36.14231228482589,c
2022-02-24 00:00:00,28.41509784455434,
2022-02-24 01:00:00,23.13988242566046,
2022-02-24 02:30:00,21.66147596410343,
2022-02-24 03:00:00,20.298268489172756,
2022-02-24 18:30:00,49.70377978830419,
2022-02-24 20:00:00,65.16445258869368,
2022-02-24 23:00:00,86.41983036400089,
2022-02-24 23:59:59,96.91155261823161,c
2022-02-25 00:00:00,120.00882356289395,
2022-02-25 01:00:00,122.19232703310047,
2022-02-25 02:30:00,123.91809484999123,
2022-02-25 03:00:00,122.25701697097318,
2022-02-25 18:30:00,122.25701697097318,
2022-02-25 20:00:00,122.25701697097318,
2022-02-25 23:00:00,122.25701697097318,
2022-02-25 23:59:59,126.43396186147407,w
2022-02-28 00:00:00,157.7323582622259,
2022-02-28 01:00:00,152.21331108744297,
2022-02-28 02:30:00,154.7158760762853,
2022-02-28 03:00:00,154.24328720133212,
2022-02-28 18:30:00,214.92836520255736,
2022-02-28 20:00:00,226.21886979798643,
2022-02-28 23:00:00,249.50637288429462,
2022-02-28 23:59:59,261.1277756540551,c
2022-03-01 00:00:00,263.3236158663775,
2022-03-01 01:00:00,263.7286224904298,
2022-03-01 02:30:00,267.1668097760794,
2022-03-01 03:00:00,266.82770800832145,
2022-03-01 18:30:00,317.71638446465556,
2022-03-01 20:00:00,337.597320829046,
2022-03-01 23:00:00,347.8521631168536,
2022-03-01 23:59:59,349.7420574413386,c
2022-03-02 00:00:00,361.1979887303314,
2022-03-02 01:00:00,362.1826737791147,
2022-03-02 02:30:00,363.7994667140533,
2022-03-02 03:00:00,363.1045309490171,
2022-03-02 18:30:00,415.9244606821803,
2022-03-02 20:00:00,394.23172788428946,
2022-03-02 23:00:00,436.5297044018107,
2022-03-02 23:59:59,445.57827997454103,c
2022-03-03 00:00:00,438.53348284146523,
2022-03-03 01:00:00,437.53705858041013,
2022-03-03 02:30:00,439.1519469457684,
2022-03-03 03:00:00,441.1791141956401,
2022-03-03 18:30:00,428.89888576594007,
2022-03-03 20:00:00,371.3405463317239,
2022-03-03 23:00:00,372.6490586913506,
2022-03-03 23:59:59,365.8974547050098,c
2022-03-04 00:00:00,352.26281411167497,
2022-03-04 01:00:00,349.31176299246755,
2022-03-04 02:30:00,347.6464671947774,
2022-03-04 03:00:00,345.77447140799313,
2022-03-04 18:30:00,345.77447140799313,
2022-03-04 20:00:00,345.77447140799313,
2022-03-04 23:00:00,345.77447140799313,
2022-03-04 23:59:59,346.12368159544997,w
2022-03-07 00:00:00,329.4005721425449,
2022-03-07 01:00:00,326.9034890835627,
2022-03-07 02:30:00,330.0144955652725,
2022-03-07 03:00:00,328.77908906778146,
2022-03-07 18:30:00,313.4311674874342,
2022-03-07 20:00:00,299.5203883248994,
2022-03-07 23:00:00,260.10561390992524,
2022-03-07 23:59:59,261.8316805050056,c
2022-03-08 00:00:00,259.80750347208186,
2022-03-08 01:00:00,265.77771609633044,
2022-03-08 02:30:00,263.4946306237305,
2022-03-08 03:00:00,262.67412307311196,
2022-03-08 18:30:00,285.38362574404846,
2022-03-08 20:00:00,280.8212972748111,
2022-03-08 23:00:00,293.19405836333635,
2022-03-08 23:59:59,296.2058602067817,c
2022-03-09 00:00:00,321.98008053161993,
2022-03-09 01:00:00,327.12609192240984,
2022-03-09 02:30:00,329.64437754572384,
2022-03-09 03:00:00,330.25770110329944,
2022-03-09 18:30:00,332.39957109583617,
2022-03-09 20:00:00,304.3977650876993,
2022-03-09 23:00:00,304.6475604625056,
2022-03-09 23:59:59,281.34693447406016,c
2022-03-10 00:00:00,303.0534973758441,
2022-03-10 01:00:00,308.14781485445263,
2022-03-10 02:30:00,306.1450848257635,
2022-03-10 03:00:00,306.8589330415344,
2022-03-10 18:30:00,377.8879462651637,
2022-03-10 20:00:00,406.8557608677594,
2022-03-10 23:00:00,383.52421144489017,
2022-03-10 23:59:59,388.3160832994676,c
2022-03-11 00:00:00,393.4875931284541,
2022-03-11 01:00:00,398.45313765004084,
2022-03-11 02:30:00,395.32609686473677,
2022-03-11 03:00:00,395.24033729617383,
2022-03-11 18:30:00,395.24033729617383,
2022-03-11 20:00:00,395.24033729617383,
2022-03-11 23:00:00,395.24033729617383,
2022-03-11 23:59:59,391.24757709224207,w
2022-03-14 00:00:00,335.04151846616605,
2022-03-14 01:00:00,328.3419407370134,
2022-03-14 02:30:00,331.806975711398,
2022-03-14 03:00:00,328.57784392218997,
2022-03-14 18:30:00,322.1642952387404,
2022-03-14 20:00:00,287.89903298254546,
2022-03-14 23:00:00,278.3867420592331,
2022-03-14 23:59:59,271.42537016093866,c
2022-03-15 00:00:00,261.8681129264487,
2022-03-15 01:00:00,297.200772645804,
2022-03-15 02:30:00,292.51227840730536,
2022-03-15 03:00:00,290.91767524742863,
2022-03-15 18:30:00,290.37536323674226,
