date,EWJSPY_2020_Q1,meta
2020-04-10 10:00:00,19.638497652562855,
2020-04-10 10:30:00,19.638497652562855,
2020-04-10 12:00:00,19.638497652562855,
2020-04-10 13:30:00,19.638497652562855,
2020-04-10 15:00:00,19.638497652562855,
2020-04-10 15:30:30,19.638497652562855,
2020-04-10 23:59:59,19.638497652562855,w
2020-04-13 00:00:00,9.855706959443092,
2020-04-13 10:00:00,61.63711939413786,
2020-04-13 10:30:00,68.3356601196754,
2020-04-13 12:00:00,74.43078348908543,
2020-04-13 13:30:00,96.78998151351215,
2020-04-13 15:00:00,71.77770880272627,
2020-04-13 15:30:30,71.77770880272627,
2020-04-13 23:59:59,47.02710881517053,c
2020-04-14 00:00:00,38.20514021427393,
2020-04-14 10:00:00,34.075638245280985,
2020-04-14 10:30:00,32.898206535726786,
2020-04-14 12:00:00,40.97118283255934,
2020-04-14 13:30:00,21.858822613461015,
2020-04-14 15:00:00,-13.982560258083343,
2020-04-14 15:30:30,-13.982560258083343,
2020-04-14 23:59:59,-13.302627580673695,c
