date,EU_SXXEP6_AD_2023_Q1,meta
2023-03-27 03:30:00,218.76399909195285,
2023-03-27 04:00:00,218.76399909195285,
2023-03-27 06:00:00,218.76399909195285,
2023-03-27 08:00:00,218.76399909195285,
2023-03-27 10:30:00,218.76399909195285,
2023-03-27 11:00:00,218.76399909195285,
2023-03-27 23:59:59,218.76399909195285,c
2023-03-28 00:00:00,218.76399909195285,
2023-03-28 03:30:00,218.76399909195285,
2023-03-28 04:00:00,218.76399909195285,
2023-03-28 06:00:00,218.76399909195285,
2023-03-28 08:00:00,218.76399909195285,
2023-03-28 10:30:00,218.76399909195285,
2023-03-28 11:00:00,218.76399909195285,
2023-03-28 23:59:59,218.76399909195285,c
2023-03-29 00:00:00,218.76399909195285,
2023-03-29 03:30:00,218.76399909195285,
2023-03-29 04:00:00,218.76399909195285,
2023-03-29 06:00:00,218.76399909195285,
2023-03-29 08:00:00,218.76399909195285,
2023-03-29 10:30:00,218.76399909195285,
2023-03-29 11:00:00,218.76399909195285,
2023-03-29 23:59:59,218.76399909195285,c
2023-03-30 00:00:00,218.76399909195285,
2023-03-30 03:30:00,218.76399909195285,
2023-03-30 04:00:00,218.76399909195285,
2023-03-30 06:00:00,218.76399909195285,
2023-03-30 08:00:00,218.76399909195285,
2023-03-30 10:30:00,218.76399909195285,
2023-03-30 11:00:00,218.76399909195285,
2023-03-30 23:59:59,218.76399909195285,c
2023-03-31 00:00:00,218.76399909195285,
2023-03-31 03:30:00,218.76399909195285,
2023-03-31 04:00:00,218.76399909195285,
2023-03-31 06:00:00,218.76399909195285,
2023-03-31 08:00:00,218.76399909195285,
2023-03-31 10:30:00,218.76399909195285,
2023-03-31 11:00:00,218.76399909195285,
2023-03-31 23:59:59,218.76399909195285,w
