date,HDV_HEDGED_2022_Q1,meta
2022-03-28 23:59:59,-50.57935797457799,c
2022-03-29 00:00:00,-45.3346884934125,
2022-03-29 10:00:00,-55.66237230549598,
2022-03-29 10:30:00,-53.86132302405497,
2022-03-29 12:00:00,-54.90846100816157,
2022-03-29 13:30:00,-59.195860325551166,
2022-03-29 15:00:00,-57.0505390205974,
2022-03-29 15:30:30,-57.0505390205974,
2022-03-29 23:59:59,-57.90320177214869,c
2022-03-30 00:00:00,-40.98077408778795,
2022-03-30 10:00:00,-44.00178758677782,
2022-03-30 10:30:00,-44.45364382911612,
2022-03-30 12:00:00,-51.00993565667886,
2022-03-30 13:30:00,-49.4696613783434,
2022-03-30 15:00:00,-50.84365418800098,
2022-03-30 15:30:30,-50.84365418800098,
2022-03-30 23:59:59,-55.6015850430349,c
2022-03-31 00:00:00,-53.99235554500956,
2022-03-31 10:00:00,-54.55311787934784,
2022-03-31 10:30:00,-48.56151307610105,
2022-03-31 12:00:00,-57.47810233369819,
2022-03-31 13:30:00,-57.57481595761544,
2022-03-31 15:00:00,-57.118982460668576,
2022-03-31 15:30:30,-57.118982460668576,
2022-03-31 23:59:59,-48.57348104906714,c
2022-04-01 00:00:00,-39.72315095097633,
2022-04-01 10:00:00,-56.2824546730767,
2022-04-01 10:30:00,-65.00825987483643,
2022-04-01 12:00:00,-67.0264091159687,
2022-04-01 13:30:00,-72.45097774583508,
2022-04-01 15:00:00,-75.30136195845364,
2022-04-01 15:30:30,-75.30136195845364,
2022-04-01 23:59:59,-73.06536008181013,w
2022-04-04 00:00:00,-62.46441459425989,
2022-04-04 10:00:00,-42.51669505149721,
2022-04-04 10:30:00,-38.43425175540574,
2022-04-04 12:00:00,-52.06414192702823,
2022-04-04 13:30:00,-53.68141230976198,
2022-04-04 15:00:00,-57.986582413480164,
2022-04-04 15:30:30,-57.986582413480164,
2022-04-04 23:59:59,-58.4968241651261,c
2022-04-05 00:00:00,-63.35683483604839,
2022-04-05 10:00:00,-81.51341199634726,
2022-04-05 10:30:00,-83.73510377297714,
2022-04-05 12:00:00,-85.02422665151516,
2022-04-05 13:30:00,-86.46951238329632,
2022-04-05 15:00:00,-81.82067868640763,
2022-04-05 15:30:30,-81.82067868640763,
2022-04-05 23:59:59,-80.36005160626814,c
