date,MID_HEDGED_2021_Q3,meta
2021-09-24 10:00:00,61.8607594980831,
2021-09-24 10:30:00,68.42447380559906,
2021-09-24 12:00:00,62.34138339759306,
2021-09-24 13:30:00,64.19200328541365,
2021-09-24 15:00:00,59.35732404579062,
2021-09-24 15:30:30,59.35732404579062,
2021-09-24 23:59:59,57.19872065089112,w
2021-09-27 00:00:00,60.72787601008531,
2021-09-27 10:00:00,68.88599692388516,
2021-09-27 10:30:00,75.86094069161209,
2021-09-27 12:00:00,94.69502817674902,
2021-09-27 13:30:00,85.06474248430959,
2021-09-27 15:00:00,91.30760824373942,
2021-09-27 15:30:30,91.30760824373942,
2021-09-27 23:59:59,91.23113182198108,c
2021-09-28 00:00:00,88.58152180132606,
2021-09-28 10:00:00,82.18235075709913,
2021-09-28 10:30:00,76.25744634598891,
2021-09-28 12:00:00,64.94624501122007,
2021-09-28 13:30:00,67.57903859066323,
2021-09-28 15:00:00,69.11005191611139,
2021-09-28 15:30:30,69.11005191611139,
2021-09-28 23:59:59,62.254433742277115,c
2021-09-29 00:00:00,61.18675736239834,
2021-09-29 10:00:00,58.30261387379255,
2021-09-29 10:30:00,60.74107987555362,
2021-09-29 12:00:00,53.48075411334776,
2021-09-29 13:30:00,53.000932095060534,
2021-09-29 15:00:00,56.42043258234503,
2021-09-29 15:30:30,56.42043258234503,
2021-09-29 23:59:59,54.621325633203014,c
2021-09-30 00:00:00,73.13754870929779,
2021-09-30 10:00:00,60.948522786618014,
2021-09-30 10:30:00,61.82618970604267,
2021-09-30 12:00:00,60.60630837816052,
2021-09-30 13:30:00,58.31268386219813,
2021-09-30 15:00:00,66.87804435578073,
2021-09-30 15:30:30,66.87804435578073,
2021-09-30 23:59:59,52.800697661816685,c
2021-10-01 00:00:00,67.49605158026111,
2021-10-01 10:00:00,72.86735004976981,
2021-10-01 10:30:00,72.1408941889556,
2021-10-01 12:00:00,78.03309890321611,
2021-10-01 13:30:00,84.28741715669003,
2021-10-01 15:00:00,90.92513888195799,
2021-10-01 15:30:30,90.92513888195799,
2021-10-01 23:59:59,89.59776536633262,w
2021-10-04 00:00:00,85.50526807547385,
2021-10-04 10:00:00,86.76322217869688,
2021-10-04 10:30:00,76.91528728862181,
2021-10-04 12:00:00,70.48780944126406,
2021-10-04 13:30:00,65.46234798969022,
2021-10-04 15:00:00,66.36567576470225,
2021-10-04 15:30:30,66.36567576470225,
2021-10-04 23:59:59,67.12187223224532,c
2021-10-05 00:00:00,74.32629957533436,
2021-10-05 10:00:00,75.4830679536501,
2021-10-05 10:30:00,81.73373682991746,
2021-10-05 12:00:00,76.70868549612533,
2021-10-05 13:30:00,75.49339432073202,
2021-10-05 15:00:00,76.09808262754314,
2021-10-05 15:30:30,76.09808262754314,
2021-10-05 23:59:59,72.62041663376704,c
2021-10-06 00:00:00,56.12007676374833,
2021-10-06 10:00:00,44.513113010346615,
2021-10-06 10:30:00,50.451354151992064,
2021-10-06 12:00:00,73.62703606925379,
2021-10-06 13:30:00,70.48889884083587,
2021-10-06 15:00:00,81.82610965296885,
2021-10-06 15:30:30,81.82610965296885,
2021-10-06 23:59:59,88.87681221505363,c
2021-10-07 00:00:00,97.82913228836537,
2021-10-07 10:00:00,110.5091056170088,
2021-10-07 10:30:00,116.77091187464976,
2021-10-07 12:00:00,124.27528817113034,
2021-10-07 13:30:00,123.6544519072645,
2021-10-07 15:00:00,111.84752570766591,
2021-10-07 15:30:30,111.84752570766591,
2021-10-07 23:59:59,112.0174279480093,c
2021-10-08 00:00:00,104.66739444375958,
2021-10-08 10:00:00,109.26106390391737,
2021-10-08 10:30:00,114.56461405201412,
2021-10-08 12:00:00,96.38026699626084,
2021-10-08 13:30:00,98.13694734612955,
2021-10-08 15:00:00,107.71734036083672,
2021-10-08 15:30:30,107.71734036083672,
2021-10-08 23:59:59,108.70423962842233,w
