date,PAR_MIGRATION_20210607,meta
2021-06-23 12:00:00,124.41837954496677,
2021-06-23 13:30:00,107.02409379195696,
2021-06-23 15:00:00,92.44991198661252,
2021-06-23 15:30:30,92.44991198661252,
2021-06-23 23:59:59,90.35981451647929,c
2021-06-24 00:00:00,73.29550113842068,
2021-06-24 10:00:00,109.5343626642494,
2021-06-24 10:30:00,115.96572127114334,
2021-06-24 12:00:00,125.0688014418672,
2021-06-24 13:30:00,114.78266090022855,
2021-06-24 15:00:00,112.02059293422053,
2021-06-24 15:30:30,112.02059293422053,
2021-06-24 23:59:59,113.3317471956328,c
2021-06-25 00:00:00,98.51190150431182,
2021-06-25 10:00:00,83.1713842856222,
2021-06-25 10:30:00,79.2459053165699,
2021-06-25 12:00:00,93.27606061153628,
2021-06-25 13:30:00,118.08580719675933,
2021-06-25 15:00:00,111.89270216975501,
2021-06-25 15:30:30,111.89270216975501,
2021-06-25 23:59:59,77.42671116642187,e
2021-06-28 00:00:00,56.73806707462596,
2021-06-28 10:00:00,33.62755298309078,
2021-06-28 10:30:00,33.81750721149321,
2021-06-28 12:00:00,32.75569534931877,
2021-06-28 13:30:00,43.3014236203103,
2021-06-28 15:00:00,35.33790336198409,
2021-06-28 15:30:30,35.33790336198409,
2021-06-28 23:59:59,49.29674760847364,c
2021-06-29 00:00:00,40.56979543261476,
2021-06-29 10:00:00,26.558177833525022,
2021-06-29 10:30:00,16.260411557504867,
2021-06-29 12:00:00,36.082451107761514,
2021-06-29 13:30:00,22.62675235989188,
2021-06-29 15:00:00,17.632396569701044,
2021-06-29 15:30:30,17.632396569701044,
2021-06-29 23:59:59,17.78312015121641,c
2021-06-30 00:00:00,2.930090862271655,
2021-06-30 10:00:00,-2.1537311766585834,
2021-06-30 10:30:00,7.471466954549371,
2021-06-30 12:00:00,13.29502735283701,
2021-06-30 13:30:00,17.9808315184534,
2021-06-30 15:00:00,9.996839846134279,
2021-06-30 15:30:30,9.996839846134279,
2021-06-30 23:59:59,6.765826262201998,c
2021-07-01 00:00:00,-0.5352503189344162,
2021-07-01 10:00:00,2.0936601911019608,
2021-07-01 10:30:00,-4.913781970632087,
2021-07-01 12:00:00,3.9633329742899406,
2021-07-01 13:30:00,4.791396017040895,
2021-07-01 15:00:00,-0.3826195549673779,
2021-07-01 15:30:30,-0.3826195549673779,
2021-07-01 23:59:59,2.1234547740189518,c
2021-07-02 00:00:00,5.265807710329611,
2021-07-02 10:00:00,11.01213084394773,
2021-07-02 10:30:00,8.733480304518409,
2021-07-02 12:00:00,2.5370646749633607,
2021-07-02 13:30:00,-6.336019291273725,
2021-07-02 15:00:00,-1.5271203952703587,
2021-07-02 15:30:30,-1.5271203952703587,
2021-07-02 23:59:59,-6.637787135719988,w
2021-07-05 00:00:00,-6.637787135719988,
2021-07-05 10:00:00,-6.637787135719988,
2021-07-05 10:30:00,-6.637787135719988,
2021-07-05 12:00:00,-6.637787135719988,
2021-07-05 13:30:00,-6.637787135719988,
2021-07-05 15:00:00,-6.637787135719988,
2021-07-05 15:30:30,-6.637787135719988,
2021-07-05 23:59:59,-6.637787135719988,c
2021-07-06 00:00:00,1.3753318348532417,
2021-07-06 10:00:00,2.59443558998477,
2021-07-06 10:30:00,23.021762664215927,
2021-07-06 12:00:00,29.303811995777735,
2021-07-06 13:30:00,30.923591554089015,
2021-07-06 15:00:00,29.211582648536975,
2021-07-06 15:30:30,29.211582648536975,
2021-07-06 23:59:59,48.35745412131647,c
2021-07-07 00:00:00,50.88034994172681,
2021-07-07 10:00:00,39.51499490191936,
2021-07-07 10:30:00,76.04695284832668,
2021-07-07 12:00:00,69.47488353973579,
2021-07-07 13:30:00,80.01491044386407,
2021-07-07 15:00:00,83.57108979184495,
2021-07-07 15:30:30,83.57108979184495,
2021-07-07 23:59:59,83.18314794757862,c
2021-07-08 00:00:00,112.33344154546194,
2021-07-08 10:00:00,86.4025836984777,
2021-07-08 10:30:00,74.12955870158667,
2021-07-08 12:00:00,56.2444291815268,
2021-07-08 13:30:00,66.69715445472285,
2021-07-08 15:00:00,70.47980783957568,
2021-07-08 15:30:30,70.47980783957568,
2021-07-08 23:59:59,70.4685160753752,c
2021-07-09 00:00:00,68.7751078206128,
2021-07-09 10:00:00,63.21223989929824,
2021-07-09 10:30:00,61.82240501319304,
2021-07-09 12:00:00,67.61510027521307,
2021-07-09 13:30:00,56.56175736001357,
2021-07-09 15:00:00,58.07265758129575,
2021-07-09 15:30:30,58.07265758129575,
2021-07-09 23:59:59,62.13091029676061,w
2021-07-12 00:00:00,43.73171428077306,
2021-07-12 10:00:00,29.88244806757071,
2021-07-12 10:30:00,21.23879746078289,
2021-07-12 12:00:00,6.29829289076811,
2021-07-12 13:30:00,4.628630025374363,
2021-07-12 15:00:00,2.903275084807362,
2021-07-12 15:30:30,2.903275084807362,
2021-07-12 23:59:59,15.283325395123441,c
2021-07-13 00:00:00,32.56738270536199,
2021-07-13 10:00:00,42.49527856205769,
2021-07-13 10:30:00,38.32953396178591,
2021-07-13 12:00:00,22.238199465946238,
2021-07-13 13:30:00,25.49367086607556,
2021-07-13 15:00:00,24.546959303647366,
2021-07-13 15:30:30,24.546959303647366,
2021-07-13 23:59:59,28.70784506770717,c
2021-07-14 00:00:00,26.39212302317167,
2021-07-14 10:00:00,20.04488219831093,
2021-07-14 10:30:00,31.132248964178032,
2021-07-14 12:00:00,40.51781836764535,
2021-07-14 13:30:00,38.54740226339082,
2021-07-14 15:00:00,59.37130855128776,
2021-07-14 15:30:30,59.37130855128776,
2021-07-14 23:59:59,63.24653154685965,c
2021-07-15 00:00:00,65.0801930732667,
2021-07-15 10:00:00,45.47093118253669,
2021-07-15 10:30:00,35.24004626386649,
2021-07-15 12:00:00,46.98333840922004,
2021-07-15 13:30:00,52.852378686905936,
2021-07-15 15:00:00,53.092091808316034,
2021-07-15 15:30:30,53.092091808316034,
2021-07-15 23:59:59,46.70958799803241,c
2021-07-16 00:00:00,50.24833327820598,
2021-07-16 10:00:00,60.8406965023594,
2021-07-16 10:30:00,69.80959256509394,
2021-07-16 12:00:00,51.147827503617314,
2021-07-16 13:30:00,53.65201418268073,
2021-07-16 15:00:00,61.49670024258659,
2021-07-16 15:30:30,61.49670024258659,
2021-07-16 23:59:59,71.83089587011276,w
2021-07-19 00:00:00,83.09787437469414,
2021-07-19 10:00:00,78.92667362726473,
2021-07-19 10:30:00,74.90606851123175,
