date,MSCI_US_MIG_HEDGED_2020_Q4,meta
2020-12-04 15:00:00,-149.64954363729555,
2020-12-04 15:30:30,-149.64954363729555,
2020-12-04 23:59:59,-154.21668748576712,w
2020-12-07 00:00:00,-139.11010827039632,
2020-12-07 10:00:00,-123.29655986720707,
2020-12-07 10:30:00,-97.6723455749904,
2020-12-07 12:00:00,-124.21499705397787,
2020-12-07 13:30:00,-123.40631367412544,
2020-12-07 15:00:00,-121.7394414073816,
2020-12-07 15:30:30,-121.7394414073816,
2020-12-07 23:59:59,-107.66482419489631,c
2020-12-08 00:00:00,-82.34653268098532,
2020-12-08 10:00:00,-94.22603528213313,
2020-12-08 10:30:00,-103.33644588476983,
2020-12-08 12:00:00,-67.35856232620824,
2020-12-08 13:30:00,-72.56250273810224,
2020-12-08 15:00:00,-51.365763213787545,
2020-12-08 15:30:30,-51.365763213787545,
2020-12-08 23:59:59,-56.79078631533588,c
2020-12-09 00:00:00,-41.051316590687065,
2020-12-09 10:00:00,-66.28456851264991,
2020-12-09 10:30:00,-58.49679879281149,
2020-12-09 12:00:00,-36.281063412492756,
2020-12-09 13:30:00,-87.08063185134193,
2020-12-09 15:00:00,-90.58769705430086,
2020-12-09 15:30:30,-90.58769705430086,
2020-12-09 23:59:59,-96.6444822597843,c
2020-12-10 00:00:00,-101.26683517343992,
2020-12-10 10:00:00,-55.04552277521316,
2020-12-10 10:30:00,-46.96812013025158,
2020-12-10 12:00:00,-75.6707299747639,
2020-12-10 13:30:00,-89.10062495789322,
2020-12-10 15:00:00,-100.76983584571133,
2020-12-10 15:30:30,-100.76983584571133,
2020-12-10 23:59:59,-87.22836489675575,c
2020-12-11 00:00:00,-48.27961819488468,
2020-12-11 10:00:00,29.1257309695024,
2020-12-11 10:30:00,61.06925271120707,
2020-12-11 12:00:00,33.09557469399584,
2020-12-11 13:30:00,18.829303795677447,
2020-12-11 15:00:00,25.440205164050724,
2020-12-11 15:30:30,25.440205164050724,
2020-12-11 23:59:59,39.72803825939144,w
2020-12-14 00:00:00,38.58076518297008,
2020-12-14 10:00:00,25.105106740920235,
2020-12-14 10:30:00,20.742964081335003,
2020-12-14 12:00:00,51.71081054505004,
2020-12-14 13:30:00,34.342530548920934,
2020-12-14 15:00:00,64.52869773229628,
2020-12-14 15:30:30,64.52869773229628,
2020-12-14 23:59:59,67.56605469312473,c
2020-12-15 00:00:00,72.22335582131888,
2020-12-15 10:00:00,134.74451563774556,
2020-12-15 10:30:00,153.72492953392185,
2020-12-15 12:00:00,155.4708660803147,
2020-12-15 13:30:00,127.49443703390097,
2020-12-15 15:00:00,111.32553868489202,
2020-12-15 15:30:30,111.32553868489202,
2020-12-15 23:59:59,96.34573307284728,c
2020-12-16 00:00:00,102.55431735083681,
2020-12-16 10:00:00,59.08421200116976,
2020-12-16 10:30:00,49.72482695337493,
2020-12-16 12:00:00,81.49905972011658,
2020-12-16 13:30:00,108.54175254950059,
2020-12-16 15:00:00,94.87052686382032,
2020-12-16 15:30:30,94.87052686382032,
2020-12-16 23:59:59,104.46261022109871,c
2020-12-17 00:00:00,82.19597951963527,
2020-12-17 10:00:00,90.15196852188473,
2020-12-17 10:30:00,101.35726565252281,
2020-12-17 12:00:00,92.47874127710287,
2020-12-17 13:30:00,59.890482244567295,
2020-12-17 15:00:00,70.88411098727835,
2020-12-17 15:30:30,70.88411098727835,
2020-12-17 23:59:59,86.14880891136244,c
2020-12-18 00:00:00,113.37787245794374,
2020-12-18 10:00:00,109.05233888391973,
2020-12-18 10:30:00,91.99331142927093,
2020-12-18 12:00:00,74.11981088904093,
2020-12-18 13:30:00,81.85588762959941,
2020-12-18 15:00:00,87.55258756585926,
2020-12-18 15:30:30,87.55258756585926,x
2020-12-18 23:59:59,110.33877461803314,w
2020-12-21 00:00:00,102.69307036915126,
2020-12-21 10:00:00,150.7228608282524,
2020-12-21 10:30:00,151.71095535930505,
2020-12-21 12:00:00,188.25325629362027,
2020-12-21 13:30:00,185.70679417726313,
2020-12-21 15:00:00,188.8461976001028,
2020-12-21 15:30:30,188.8461976001028,
2020-12-21 23:59:59,184.1105622959987,c
