date,EU_ICLN_2023_Q1,meta
2023-02-03 08:00:00,362.2682694210962,
2023-02-03 10:30:00,449.88323789373135,
2023-02-03 11:00:00,442.4814892191216,
2023-02-03 23:59:59,409.7993543349403,w
2023-02-06 00:00:00,452.3937168754046,
2023-02-06 03:30:00,437.62827213574474,
2023-02-06 04:00:00,462.3838480109498,
2023-02-06 06:00:00,527.228297936339,
2023-02-06 08:00:00,487.04572015131635,
2023-02-06 10:30:00,485.0244957857076,
2023-02-06 11:00:00,449.99439337733656,
2023-02-06 23:59:59,420.5963950558871,c
2023-02-07 00:00:00,377.24677450042236,
2023-02-07 03:30:00,378.6034217599017,
2023-02-07 04:00:00,420.3923419923867,
2023-02-07 06:00:00,411.8387686449414,
2023-02-07 08:00:00,416.5606557015544,
2023-02-07 10:30:00,522.7052102387661,
2023-02-07 11:00:00,510.18819290460215,
2023-02-07 23:59:59,488.52303598029175,c
2023-02-08 00:00:00,568.3557988747434,
2023-02-08 03:30:00,435.0127933189897,
2023-02-08 04:00:00,396.3368865349412,
2023-02-08 06:00:00,181.55715686919757,
2023-02-08 08:00:00,211.48707298539466,
2023-02-08 10:30:00,288.63684753569214,
2023-02-08 11:00:00,309.1184790933139,
2023-02-08 23:59:59,285.947747046308,c
2023-02-09 00:00:00,277.05651453067003,
2023-02-09 03:30:00,205.16160349739675,
2023-02-09 04:00:00,246.1492871846076,
2023-02-09 06:00:00,178.71033671887653,
2023-02-09 08:00:00,159.01445206545395,
2023-02-09 10:30:00,128.83269033876059,
2023-02-09 11:00:00,104.80989122647497,
2023-02-09 23:59:59,126.88793590721434,c
2023-02-10 00:00:00,151.6258958927101,
2023-02-10 03:30:00,141.55207013038944,
2023-02-10 04:00:00,188.85860312583372,
2023-02-10 06:00:00,226.9055838557233,
2023-02-10 08:00:00,300.42052308518305,
2023-02-10 10:30:00,232.6370649923956,
2023-02-10 11:00:00,239.6207327677621,
2023-02-10 23:59:59,192.70095178541033,w
