date,MSCI_FACT_QUAL_HEDGED_2021_Q4,meta
2021-11-19 23:59:59,30.15168888888755,w
2021-11-22 00:00:00,29.012993253519795,
2021-11-22 10:00:00,34.66962161648206,
2021-11-22 10:30:00,45.8639443823172,
2021-11-22 12:00:00,36.84619685604241,
2021-11-22 13:30:00,45.08157103135254,
2021-11-22 15:00:00,40.94178365347251,
2021-11-22 15:30:30,40.94178365347251,u
2021-11-22 23:59:59,31.738839930411174,c
2021-11-23 00:00:00,30.498308055357796,
2021-11-23 10:00:00,21.17680147264599,
2021-11-23 10:30:00,22.375945963881406,
2021-11-23 12:00:00,29.796839429699048,
2021-11-23 13:30:00,30.795238682758793,
2021-11-23 15:00:00,29.92695750263465,
2021-11-23 15:30:30,29.92695750263465,
2021-11-23 23:59:59,25.62554122929903,c
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
0,25.62554122929903,
2021-11-24 00:00:00,19.01899470321537,
2021-11-24 10:00:00,24.018724555459954,
2021-11-24 10:30:00,18.86175702609684,
2021-11-24 12:00:00,22.735339563351204,
2021-11-24 13:30:00,18.132560593471922,
2021-11-24 15:00:00,20.55983356597092,
2021-11-24 15:30:30,20.55983356597092,
2021-11-24 23:59:59,22.566203721439166,c
2021-11-25 00:00:00,22.566203721439166,
2021-11-25 10:00:00,22.566203721439166,
2021-11-25 10:30:00,22.566203721439166,
2021-11-25 12:00:00,22.566203721439166,
2021-11-25 13:30:00,22.566203721439166,
2021-11-25 15:00:00,22.566203721439166,
2021-11-25 15:30:30,22.566203721439166,
2021-11-25 23:59:59,22.566203721439166,c
2021-11-26 00:00:00,63.06961261220839,
2021-11-26 10:00:00,94.12277699860466,
2021-11-26 10:30:00,87.7727217175702,
2021-11-26 12:00:00,79.35343220739561,
2021-11-26 13:30:00,79.35343220739561,
2021-11-26 15:00:00,79.35343220739561,
2021-11-26 15:30:30,79.35343220739561,
2021-11-26 23:59:59,70.74287522126899,w
2021-11-29 00:00:00,115.74147599433924,
2021-11-29 10:00:00,135.67786460441818,
2021-11-29 10:30:00,122.72325284448861,
2021-11-29 12:00:00,132.85833772620822,
2021-11-29 13:30:00,147.234535238111,
2021-11-29 15:00:00,138.33088148699335,
2021-11-29 15:30:30,138.33088148699335,
2021-11-29 23:59:59,133.6179765881002,c
2021-11-30 00:00:00,124.06150946467851,
2021-11-30 10:00:00,100.71445223682854,
2021-11-30 10:30:00,105.81861124781766,
2021-11-30 12:00:00,96.46926245768334,
2021-11-30 13:30:00,112.46631619803641,
2021-11-30 15:00:00,121.8615274864422,
2021-11-30 15:30:30,121.8615274864422,
2021-11-30 23:59:59,58.48333186613057,e
2021-12-01 00:00:00,36.91650309972697,
2021-12-01 10:00:00,37.266762900759105,
2021-12-01 10:30:00,38.96933609141706,
2021-12-01 12:00:00,30.120708316734095,
2021-12-01 13:30:00,38.38345192349088,
2021-12-01 15:00:00,34.691738289685375,
2021-12-01 15:30:30,34.691738289685375,
2021-12-01 23:59:59,20.439215253508095,c
2021-12-02 00:00:00,6.1589983559429555,
2021-12-02 10:00:00,15.575884872110677,
2021-12-02 10:30:00,10.275560656792592,
2021-12-02 12:00:00,9.85939729246364,
2021-12-02 13:30:00,24.0696142488559,
2021-12-02 15:00:00,23.195325609700546,
2021-12-02 15:30:30,23.195325609700546,
2021-12-02 23:59:59,22.138009180642484,c
2021-12-03 00:00:00,47.68544839498003,
2021-12-03 10:00:00,28.705346790932936,
2021-12-03 10:30:00,17.63422940165269,
2021-12-03 12:00:00,6.574334062486884,
2021-12-03 13:30:00,10.539766448781876,
2021-12-03 15:00:00,17.15459995308649,
2021-12-03 15:30:30,17.15459995308649,
2021-12-03 23:59:59,19.02156022009916,w
2021-12-06 00:00:00,10.823997259589035,
2021-12-06 10:00:00,0.8994383607208647,
2021-12-06 10:30:00,7.410939210269177,
2021-12-06 12:00:00,-8.880731453053158,
2021-12-06 13:30:00,-13.76633734917774,
2021-12-06 15:00:00,-9.49529696328905,
2021-12-06 15:30:30,-9.49529696328905,
2021-12-06 23:59:59,-13.113629666003916,c
2021-12-07 00:00:00,2.969779669451057,
2021-12-07 10:00:00,32.59071503573854,
2021-12-07 10:30:00,27.456239492750157,
2021-12-07 12:00:00,29.927001114463792,
2021-12-07 13:30:00,25.448182791943665,
2021-12-07 15:00:00,30.889450658849213,
2021-12-07 15:30:30,30.889450658849213,
