date,AS_MSCI_EM_REST_AD_2022_Q3,meta
2022-08-05 03:00:00,-191.63253819483714,
2022-08-05 18:30:00,-191.63253819483714,
2022-08-05 20:00:00,-191.63253819483714,
2022-08-05 23:00:00,-191.63253819483714,
2022-08-05 23:59:59,-191.15764031833083,w
2022-08-08 00:00:00,-181.61860397315272,
2022-08-08 01:00:00,-176.2064819034231,
2022-08-08 02:30:00,-176.2064819034231,
2022-08-08 03:00:00,-176.2064819034231,
2022-08-08 18:30:00,-176.2064819034231,
2022-08-08 20:00:00,-176.2064819034231,
2022-08-08 23:00:00,-167.29552718004007,
2022-08-08 23:59:59,-162.04366097289838,c
2022-08-09 00:00:00,-175.43215364537775,
2022-08-09 01:00:00,-165.0768877959019,
2022-08-09 02:30:00,-165.0768877959019,
2022-08-09 03:00:00,-165.0768877959019,
2022-08-09 18:30:00,-165.0768877959019,
2022-08-09 20:00:00,-165.0768877959019,
2022-08-09 23:00:00,-94.54834474777857,
2022-08-09 23:59:59,-101.67185691064745,c
2022-08-10 00:00:00,-133.86025237194903,
2022-08-10 01:00:00,-134.44580522602112,
2022-08-10 02:30:00,-134.44580522602112,
2022-08-10 03:00:00,-134.44580522602112,
2022-08-10 18:30:00,-134.44580522602112,
2022-08-10 20:00:00,-134.44580522602112,
2022-08-10 23:00:00,-37.80337814886719,
2022-08-10 23:59:59,-30.149399126647303,c
2022-08-11 00:00:00,-45.164511051456664,
2022-08-11 01:00:00,-54.65548721585906,
2022-08-11 02:30:00,-54.65548721585906,
2022-08-11 03:00:00,-54.65548721585906,
2022-08-11 18:30:00,-54.65548721585906,
2022-08-11 20:00:00,-54.65548721585906,
2022-08-11 23:00:00,1.1201953135486988,
2022-08-11 23:59:59,0.0,a
2022-08-12 00:00:00,13.950420052829863,
2022-08-12 01:00:00,-2.4746300691708214,
2022-08-12 02:30:00,-2.4746300691708214,
2022-08-12 03:00:00,-2.4746300691708214,
2022-08-12 18:30:00,-2.4746300691708214,
2022-08-12 20:00:00,-2.4746300691708214,
2022-08-12 23:00:00,-2.4746300691708214,
2022-08-12 23:59:59,22.219553207869673,w
2022-08-15 00:00:00,22.219553207869673,
2022-08-15 01:00:00,22.219553207869673,
2022-08-15 02:30:00,22.219553207869673,
2022-08-15 03:00:00,22.219553207869673,
2022-08-15 18:30:00,22.219553207869673,
2022-08-15 20:00:00,22.219553207869673,
2022-08-15 23:00:00,24.26896830181753,
2022-08-15 23:59:59,24.26896830181753,c
2022-08-16 00:00:00,34.080196079612264,
2022-08-16 01:00:00,37.720105519234934,
2022-08-16 02:30:00,37.720105519234934,
2022-08-16 03:00:00,37.720105519234934,
2022-08-16 18:30:00,37.720105519234934,
2022-08-16 20:00:00,37.720105519234934,
2022-08-16 23:00:00,25.636767078610845,
2022-08-16 23:59:59,22.79954105702741,c
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
0,22.79954105702741,
2022-08-17 00:00:00,27.60531728185289,
2022-08-17 01:00:00,29.72829390108205,
2022-08-17 02:30:00,29.72829390108205,
2022-08-17 03:00:00,29.72829390108205,
2022-08-17 18:30:00,29.72829390108205,
2022-08-17 20:00:00,29.72829390108205,
2022-08-17 23:00:00,84.48514111921243,
