date,EU_FTSE_DM_SC_2022_Q2,meta
2022-06-09 10:30:00,-1.6976134081376983,
2022-06-09 11:00:00,16.97125565048492,
2022-06-09 23:59:59,2.533808430322196,c
2022-06-10 00:00:00,3.7016454640653222,
2022-06-10 03:30:00,33.969831676078016,
2022-06-10 04:00:00,11.37815097439703,
2022-06-10 06:00:00,19.22565709536306,
2022-06-10 08:00:00,23.695325438742913,
2022-06-10 10:30:00,-62.37226446971121,
2022-06-10 11:00:00,-71.65565698649868,
2022-06-10 23:59:59,-53.93737587715191,w
2022-06-13 00:00:00,-78.74832128399444,
2022-06-13 03:30:00,-80.51905483989461,
2022-06-13 04:00:00,-84.53684519442132,
2022-06-13 06:00:00,-102.06252575062706,
2022-06-13 08:00:00,-96.82979385256968,
2022-06-13 10:30:00,-79.78765881868293,
2022-06-13 11:00:00,-89.12911576059759,
2022-06-13 23:59:59,-78.77178628706326,c
2022-06-14 00:00:00,-75.5922440538493,
2022-06-14 03:30:00,-118.09710050016892,
2022-06-14 04:00:00,-146.8808686749978,
2022-06-14 06:00:00,-91.36323504367186,
2022-06-14 08:00:00,-104.95657727683616,
2022-06-14 10:30:00,-108.61222690083366,
2022-06-14 11:00:00,-107.88539559463595,
2022-06-14 23:59:59,-75.48319494129373,c
2022-06-15 00:00:00,-122.67789696570694,
2022-06-15 03:30:00,-184.8836190827346,
2022-06-15 04:00:00,-165.03586285901113,
2022-06-15 06:00:00,-113.93904514736886,
2022-06-15 08:00:00,-65.90103870850425,
2022-06-15 10:30:00,-69.7330143547407,
2022-06-15 11:00:00,-49.747488809670585,
2022-06-15 23:59:59,-45.55488418111128,c
2022-06-16 00:00:00,-42.80505724669459,
2022-06-16 03:30:00,-38.59919459155836,
2022-06-16 04:00:00,5.581017470273778,
2022-06-16 06:00:00,-21.54060695343685,
2022-06-16 08:00:00,-45.38203501566153,
2022-06-16 10:30:00,-55.13518836578521,
2022-06-16 11:00:00,-58.60244790127453,
2022-06-16 23:59:59,-63.76916985108713,c
2022-06-17 00:00:00,-61.62326930282563,
2022-06-17 03:30:00,-51.61999867092615,
2022-06-17 04:00:00,-31.582953098837862,
2022-06-17 06:00:00,-15.910581338351676,
2022-06-17 08:00:00,3.4964455272199615,
2022-06-17 10:30:00,41.44555056504994,
2022-06-17 11:00:00,48.18974606680217,
2022-06-17 23:59:59,65.22272996365064,e
2022-06-20 00:00:00,44.692302241545846,
2022-06-20 03:30:00,34.00951177107572,
2022-06-20 04:00:00,18.791462971189176,
2022-06-20 06:00:00,47.28374039905039,
2022-06-20 08:00:00,36.11854701348692,
2022-06-20 10:30:00,-12.71183755757852,
2022-06-20 11:00:00,-18.81915948870048,
2022-06-20 23:59:59,-25.50743518398403,c
2022-06-21 00:00:00,-80.99652945339093,
2022-06-21 03:30:00,-35.060200181992144,
2022-06-21 04:00:00,-24.937905450349348,
2022-06-21 06:00:00,-27.130775445923575,
2022-06-21 08:00:00,-24.65143315617999,
2022-06-21 10:30:00,-41.028824153471334,
2022-06-21 11:00:00,-43.19565802264722,
2022-06-21 23:59:59,-35.30524161692438,c
2022-06-22 00:00:00,20.922253677481805,
2022-06-22 03:30:00,-121.46278216353105,
2022-06-22 04:00:00,-153.36530843478297,
2022-06-22 06:00:00,-141.8369161607503,
2022-06-22 08:00:00,-164.90434806205107,
2022-06-22 10:30:00,-114.45621935527046,
2022-06-22 11:00:00,-127.78649370617123,
2022-06-22 23:59:59,-107.13262914855292,c
2022-06-23 00:00:00,-75.72620305106932,
2022-06-23 03:30:00,-109.37341758986784,
2022-06-23 04:00:00,-127.59430569047902,
2022-06-23 06:00:00,-104.12588819691095,
2022-06-23 08:00:00,-139.94954135507473,
2022-06-23 10:30:00,-132.5349719661257,
2022-06-23 11:00:00,-131.33410356509435,
2022-06-23 23:59:59,-129.74920564457824,c
2022-06-24 00:00:00,-130.0825316101011,
2022-06-24 03:30:00,-147.52625315684398,
2022-06-24 04:00:00,-144.56028007006952,
2022-06-24 06:00:00,-160.42845187169078,
2022-06-24 08:00:00,-144.63639850379204,
2022-06-24 10:30:00,-177.16339725554397,
2022-06-24 11:00:00,-168.42324446545538,
2022-06-24 23:59:59,-178.82351124069785,w
2022-06-27 00:00:00,-180.18845593207985,
2022-06-27 03:30:00,-157.234967735256,
2022-06-27 04:00:00,-132.0799978596442,
2022-06-27 06:00:00,-151.6327477019765,
2022-06-27 08:00:00,-162.34089483214197,
2022-06-27 10:30:00,-146.09542771598714,
2022-06-27 11:00:00,-134.34056767911537,
2022-06-27 23:59:59,-119.70299133374678,c
2022-06-28 00:00:00,-147.0433404024764,
2022-06-28 03:30:00,-177.0951409578826,
2022-06-28 04:00:00,-167.74667865064995,
2022-06-28 06:00:00,-172.5244338940873,
2022-06-28 08:00:00,-192.2435055072588,
2022-06-28 10:30:00,-206.2740023629748,
2022-06-28 11:00:00,-212.34893168804118,
2022-06-28 23:59:59,-201.0340716230024,c
2022-06-29 00:00:00,-190.89279307927725,
2022-06-29 03:30:00,-201.0267619573078,
2022-06-29 04:00:00,-200.56292085385664,
2022-06-29 06:00:00,-212.91312431616458,
2022-06-29 08:00:00,-199.55834025818106,
2022-06-29 10:30:00,-228.61627898182385,
2022-06-29 11:00:00,-215.59892384996843,
2022-06-29 23:59:59,-241.41908315496946,c
2022-06-30 00:00:00,-208.68375203670266,
2022-06-30 03:30:00,-232.20317628843625,
2022-06-30 04:00:00,-250.9557833206775,
2022-06-30 06:00:00,-310.4781032972562,
2022-06-30 08:00:00,-318.3219022295093,
2022-06-30 10:30:00,-342.0947307114103,
2022-06-30 11:00:00,-322.94977172003894,
2022-06-30 23:59:59,-314.96721177785446,c
2022-07-01 00:00:00,-279.4809471689812,
2022-07-01 03:30:00,-319.3576917302006,
2022-07-01 04:00:00,-331.30202138936943,
2022-07-01 06:00:00,-348.3993563690651,
2022-07-01 08:00:00,-363.04626480637376,
2022-07-01 10:30:00,-342.2956614951047,
2022-07-01 11:00:00,-347.29292610845937,
2022-07-01 23:59:59,-350.45303839563724,w
2022-07-04 00:00:00,-344.5041026907992,
2022-07-04 03:30:00,-351.0015031008263,
2022-07-04 04:00:00,-343.35103721581936,
2022-07-04 06:00:00,-374.52919180688593,
2022-07-04 08:00:00,-386.9025911041381,
2022-07-04 10:30:00,-398.35928827470127,
2022-07-04 11:00:00,-387.40761762281124,
2022-07-04 23:59:59,-403.1216378898323,c
2022-07-05 00:00:00,-385.0179590823691,
2022-07-05 03:30:00,-349.4384413223851,
2022-07-05 04:00:00,-339.8848027136953,
2022-07-05 06:00:00,-339.0050816151419,
2022-07-05 08:00:00,-329.5240652032571,
2022-07-05 10:30:00,-254.5943838592968,
2022-07-05 11:00:00,-268.8626869024863,
2022-07-05 23:59:59,-270.50455066754,c
2022-07-06 00:00:00,-259.14127268698473,
2022-07-06 03:30:00,-260.1919857189878,
2022-07-06 04:00:00,-213.53982322776986,
2022-07-06 06:00:00,-195.55875010790223,
2022-07-06 08:00:00,-159.79440133782114,
2022-07-06 10:30:00,-155.89838831784854,
2022-07-06 11:00:00,-140.08727741345714,
2022-07-06 23:59:59,-144.98538060367932,c
2022-07-07 00:00:00,-212.05378455998877,
2022-07-07 03:30:00,-176.7197994500037,
2022-07-07 04:00:00,-174.2444345905508,
2022-07-07 06:00:00,-175.40804543738935,
2022-07-07 08:00:00,-151.81005351832314,
2022-07-07 10:30:00,-110.42950243423408,
2022-07-07 11:00:00,-91.11393049855045,
2022-07-07 23:59:59,-89.39761132394776,c
2022-07-08 00:00:00,-82.43896416468903,
2022-07-08 03:30:00,-118.55454309202148,
2022-07-08 04:00:00,-114.41106150037638,
2022-07-08 06:00:00,-79.38693826021466,
2022-07-08 08:00:00,-83.90387890570338,
2022-07-08 10:30:00,-33.93655456999841,
2022-07-08 11:00:00,-59.952057817813994,
2022-07-08 23:59:59,-46.93504823592028,w
