date,AS_URA_2022_Q1,meta
2022-02-03 23:59:59,379.19261582178115,c
2022-02-04 00:00:00,377.0414915689885,
2022-02-04 01:00:00,375.84520417878275,
2022-02-04 02:30:00,398.55271099866104,
2022-02-04 03:00:00,399.8313074376206,
2022-02-04 18:30:00,399.8313074376206,
2022-02-04 20:00:00,399.8313074376206,
2022-02-04 23:00:00,399.8313074376206,
2022-02-04 23:59:59,390.86141751194145,e
2022-02-07 00:00:00,227.80571187757823,
2022-02-07 01:00:00,229.69448873155443,
2022-02-07 02:30:00,218.09397324846714,
2022-02-07 03:00:00,216.09008019375187,
2022-02-07 18:30:00,126.69277699955728,
2022-02-07 20:00:00,121.78807692542841,
2022-02-07 23:00:00,181.77925065760655,
2022-02-07 23:59:59,172.50425154530558,c
2022-02-08 00:00:00,208.8878338674981,
2022-02-08 01:00:00,180.12003089616337,
2022-02-08 02:30:00,194.14168824229455,
2022-02-08 03:00:00,192.1157947326874,
2022-02-08 18:30:00,202.40938545580548,
2022-02-08 20:00:00,243.81318164240474,
2022-02-08 23:00:00,208.68561893626293,
2022-02-08 23:59:59,239.93870762482265,c
2022-02-09 00:00:00,220.31033511273654,
2022-02-09 01:00:00,212.6399544109181,
2022-02-09 02:30:00,223.21182588895363,
2022-02-09 03:00:00,220.95959382268302,
2022-02-09 18:30:00,207.90159804289578,
2022-02-09 20:00:00,239.65647742290867,
2022-02-09 23:00:00,222.877954335504,
2022-02-09 23:59:59,230.16707889103964,c
2022-02-10 00:00:00,120.77398794744158,
2022-02-10 01:00:00,130.00805606137283,
2022-02-10 02:30:00,112.28574452810653,
2022-02-10 03:00:00,110.79924716750611,
2022-02-10 18:30:00,162.06301693185742,
2022-02-10 20:00:00,164.52678958856677,
2022-02-10 23:00:00,255.88117843050122,
2022-02-10 23:59:59,269.36686761062583,c
2022-02-11 00:00:00,277.2801965726371,
2022-02-11 01:00:00,269.80222989890444,
2022-02-11 02:30:00,264.7478346850976,
2022-02-11 03:00:00,264.001091281782,
2022-02-11 18:30:00,264.001091281782,
2022-02-11 20:00:00,264.001091281782,
2022-02-11 23:00:00,264.001091281782,
2022-02-11 23:59:59,243.52303165831972,w
2022-02-14 00:00:00,240.02063362170793,
2022-02-14 01:00:00,228.07777548269496,
2022-02-14 02:30:00,238.02523063247963,
2022-02-14 03:00:00,236.77717240436232,
2022-02-14 18:30:00,219.8940425333799,
2022-02-14 20:00:00,301.7876454609109,
2022-02-14 23:00:00,323.96375074334037,
2022-02-14 23:59:59,203.4977011932292,c
2022-02-15 00:00:00,216.0891097521694,
2022-02-15 01:00:00,200.82805183969413,
2022-02-15 02:30:00,209.84198336055442,
2022-02-15 03:00:00,207.2722949544259,
2022-02-15 18:30:00,206.14877060669323,
2022-02-15 20:00:00,226.69537606965878,
2022-02-15 23:00:00,227.2848252529002,
2022-02-15 23:59:59,182.15129298586953,c
2022-02-16 00:00:00,169.21965873649697,
2022-02-16 01:00:00,173.75787706435221,
2022-02-16 02:30:00,170.4822076734349,
2022-02-16 03:00:00,172.5056900956597,
2022-02-16 18:30:00,186.4794371066896,
2022-02-16 20:00:00,291.98457062006764,
2022-02-16 23:00:00,278.302006342602,
2022-02-16 23:59:59,290.4071729087668,c
2022-02-17 00:00:00,303.76207642758936,
2022-02-17 01:00:00,326.1594542649391,
2022-02-17 02:30:00,298.7860742188295,
2022-02-17 03:00:00,297.2934755155602,
2022-02-17 18:30:00,236.0744234879635,
2022-02-17 20:00:00,302.36713283064046,
2022-02-17 23:00:00,381.13223483175034,
2022-02-17 23:59:59,356.94363049912954,c
2022-02-18 00:00:00,359.50477341007445,
2022-02-18 01:00:00,367.37715168737395,
2022-02-18 02:30:00,373.58588295466916,
2022-02-18 03:00:00,372.81265488108875,
2022-02-18 18:30:00,372.81265488108875,
2022-02-18 20:00:00,372.81265488108875,
2022-02-18 23:00:00,372.81265488108875,
2022-02-18 23:59:59,376.6565711021585,w
