date,AS_FTSE_DM_AD_2023_Q1,meta
2023-02-16 01:00:00,38.78372675879814,
2023-02-16 02:30:00,38.78372675879814,
2023-02-16 03:00:00,38.78372675879814,
2023-02-16 18:30:00,30.436058951280728,
2023-02-16 20:00:00,18.83012982468844,
2023-02-16 23:00:00,3.3733804055051024,
2023-02-16 23:59:59,-2.6147759724053117,c
2023-02-17 00:00:00,0.17135257350781785,
2023-02-17 01:00:00,-0.6766345755330718,
2023-02-17 02:30:00,-0.6766345755330718,
2023-02-17 03:00:00,-0.6766345755330718,
2023-02-17 18:30:00,-0.6766345755330718,
2023-02-17 20:00:00,-0.6766345755330718,
2023-02-17 23:00:00,-0.6766345755330718,
2023-02-17 23:59:59,0.0,a
2023-02-20 00:00:00,8.953326500897461,
2023-02-20 01:00:00,-1.3571283156112202,
2023-02-20 02:30:00,-1.3571283156112202,
2023-02-20 03:00:00,-1.3571283156112202,
2023-02-20 18:30:00,1.9344288561461127,
2023-02-20 20:00:00,-37.05969418832683,
2023-02-20 23:00:00,-71.79543549049782,
2023-02-20 23:59:59,-65.88650662735193,c
2023-02-21 00:00:00,-78.62098752881336,
2023-02-21 01:00:00,-63.383389181428726,
2023-02-21 02:30:00,-63.383389181428726,
2023-02-21 03:00:00,-63.383389181428726,
2023-02-21 18:30:00,-57.299858240930476,
2023-02-21 20:00:00,10.607468138600524,
2023-02-21 23:00:00,-5.5650845166491365,
2023-02-21 23:59:59,14.341017071190265,c
2023-02-22 00:00:00,4.592703463550947,
2023-02-22 01:00:00,-10.653550905287943,
2023-02-22 02:30:00,-10.653550905287943,
2023-02-22 03:00:00,-10.653550905287943,
2023-02-22 18:30:00,-8.832921562063362,
2023-02-22 20:00:00,-4.773690496219899,
2023-02-22 23:00:00,0.38536863616451456,
2023-02-22 23:59:59,0.4789584730777676,c
2023-02-23 00:00:00,1.1666281125780387,
2023-02-23 01:00:00,1.1666281125780387,
2023-02-23 02:30:00,1.1666281125780387,
2023-02-23 03:00:00,1.1666281125780387,
2023-02-23 18:30:00,2.7957799314896192,
2023-02-23 20:00:00,-12.735564881416934,
2023-02-23 23:00:00,-32.82519271322397,
2023-02-23 23:59:59,-33.79353324650589,c
