date,MSCI_FACT_USMV_HEDGED_2020_Q4,meta
2020-11-16 00:00:00,-20.91094804149799,
2020-11-16 10:00:00,17.868114719046588,
2020-11-16 10:30:00,16.393269046362178,
2020-11-16 12:00:00,5.090886576726803,
2020-11-16 13:30:00,13.135252876514073,
2020-11-16 15:00:00,-2.8580044822767263,
2020-11-16 15:30:30,-2.8580044822767263,
2020-11-16 23:59:59,-7.960749473886608,c
2020-11-17 00:00:00,4.513201940503109,
2020-11-17 10:00:00,23.829749571165053,
2020-11-17 10:30:00,26.036334470168782,
2020-11-17 12:00:00,7.633973555647373,
2020-11-17 13:30:00,-2.3120703348185145,
2020-11-17 15:00:00,-19.357906850260235,
2020-11-17 15:30:30,-19.357906850260235,
2020-11-17 23:59:59,-13.710598584489674,c
2020-11-18 00:00:00,-25.43450510626326,
2020-11-18 10:00:00,-29.393199391969603,
2020-11-18 10:30:00,-24.326844109076546,
2020-11-18 12:00:00,-14.201212151080995,
2020-11-18 13:30:00,-10.444404379462839,
2020-11-18 15:00:00,5.453345365838942,
2020-11-18 15:30:30,5.453345365838942,
2020-11-18 23:59:59,0.0,a
2020-11-19 00:00:00,-2.6253057509630935,
2020-11-19 10:00:00,23.914686361607465,
2020-11-19 10:30:00,22.232706497167385,
2020-11-19 12:00:00,23.421028157011165,
2020-11-19 13:30:00,29.422883258211414,
2020-11-19 15:00:00,24.218298670006334,
2020-11-19 15:30:30,24.218298670006334,
2020-11-19 23:59:59,12.904339138381516,c
2020-11-20 00:00:00,-9.215555316572761,
2020-11-20 10:00:00,6.815124331883624,
2020-11-20 10:30:00,15.484497602018337,
2020-11-20 12:00:00,10.890116676894479,
2020-11-20 13:30:00,13.875818186496844,
2020-11-20 15:00:00,21.858961310788004,
2020-11-20 15:30:30,21.858961310788004,
2020-11-20 23:59:59,17.891349618360096,w
2020-11-23 00:00:00,9.76892090686988,
2020-11-23 10:00:00,14.146684102978611,
2020-11-23 10:30:00,25.483461972238047,
2020-11-23 12:00:00,26.45198886261113,
2020-11-23 13:30:00,16.33619217410768,
2020-11-23 15:00:00,24.26393963806754,
2020-11-23 15:30:30,24.26393963806754,
2020-11-23 23:59:59,29.557238762295867,c
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
0,29.557238762295867,
2020-11-24 00:00:00,-3.9902149782222693,
2020-11-24 10:00:00,5.8632347913263345,
2020-11-24 10:30:00,-5.536697201855475,
2020-11-24 12:00:00,-13.133448869968674,
2020-11-24 13:30:00,-3.017242469098335,
2020-11-24 15:00:00,-5.53852218327674,
2020-11-24 15:30:30,-5.53852218327674,
2020-11-24 23:59:59,-16.551896640357427,c
2020-11-25 00:00:00,-4.055306371814083,
2020-11-25 10:00:00,9.812008672573654,
2020-11-25 10:30:00,5.855613003914556,
2020-11-25 12:00:00,-17.94481973090899,
2020-11-25 13:30:00,-14.170961016468425,
2020-11-25 15:00:00,-18.128421756783013,
2020-11-25 15:30:30,-18.128421756783013,
2020-11-25 23:59:59,-24.766925023971936,c
2020-11-26 00:00:00,-24.766925023971936,
