date,AS_FTSE_AS_EM_AW_STAYS_2021_Q4,meta
2021-12-08 03:00:00,-116.85045221318069,
2021-12-08 18:30:00,-116.85045221318069,
2021-12-08 20:00:00,-116.85045221318069,
2021-12-08 23:00:00,-75.7239715218684,
2021-12-08 23:59:59,-76.69003289452985,c
2021-12-09 00:00:00,-54.62119172478015,
2021-12-09 01:00:00,-62.15454475302431,
2021-12-09 02:30:00,-75.46314487007885,
2021-12-09 03:00:00,-78.71573737319886,
2021-12-09 18:30:00,-78.71573737319886,
2021-12-09 20:00:00,-78.71573737319886,
2021-12-09 23:00:00,-72.33354053841458,
2021-12-09 23:59:59,-85.61335154764993,c
2021-12-10 00:00:00,-75.18350128694874,
2021-12-10 01:00:00,-76.3824783379182,
2021-12-10 02:30:00,-81.6385274131926,
2021-12-10 03:00:00,-72.46171299864454,
2021-12-10 18:30:00,-72.46171299864454,
2021-12-10 20:00:00,-72.46171299864454,
2021-12-10 23:00:00,-72.46171299864454,
2021-12-10 23:59:59,-70.99026675454888,w
2021-12-13 00:00:00,-34.194796001527266,
2021-12-13 01:00:00,-38.343821521054,
2021-12-13 02:30:00,-53.79191030303582,
2021-12-13 03:00:00,-61.32862238906182,
2021-12-13 18:30:00,-61.32862238906182,
2021-12-13 20:00:00,-61.32862238906182,
2021-12-13 23:00:00,-89.81483744057869,
2021-12-13 23:59:59,-83.94522655012497,c
2021-12-14 00:00:00,-88.23835496852325,
2021-12-14 01:00:00,-86.35567300063667,
2021-12-14 02:30:00,-90.55633619292348,
2021-12-14 03:00:00,-96.6781867020768,
2021-12-14 18:30:00,-96.6781867020768,
2021-12-14 20:00:00,-96.6781867020768,
2021-12-14 23:00:00,-78.98946212420196,
2021-12-14 23:59:59,-88.10378559350238,c
2021-12-15 00:00:00,-91.3842474633484,
2021-12-15 01:00:00,-103.7018984402871,
2021-12-15 02:30:00,-127.24852214457496,
2021-12-15 03:00:00,-126.70190334954168,
2021-12-15 18:30:00,-126.70190334954168,
2021-12-15 20:00:00,-126.70190334954168,
2021-12-15 23:00:00,-103.51067896812856,
2021-12-15 23:59:59,-103.60291563160581,c
2021-12-16 00:00:00,-118.35918022390752,
2021-12-16 01:00:00,-113.37208380789343,
2021-12-16 02:30:00,-105.74371466820776,
2021-12-16 03:00:00,-111.5883762431099,
2021-12-16 18:30:00,-111.5883762431099,
2021-12-16 20:00:00,-111.5883762431099,
2021-12-16 23:00:00,-93.79784269812899,
2021-12-16 23:59:59,-110.47933160477533,c
2021-12-17 00:00:00,-33.57860529023628,
2021-12-17 01:00:00,-12.180841020296612,
2021-12-17 02:30:00,-9.143596040560624,
2021-12-17 03:00:00,-11.996393298471958,
2021-12-17 18:30:00,-11.996393298471958,
2021-12-17 20:00:00,-11.996393298471958,
2021-12-17 23:00:00,-11.996393298471958,
2021-12-17 23:59:59,-15.013629271213176,e
2021-12-20 00:00:00,-88.42181030587244,
2021-12-20 01:00:00,-99.14340929727314,
2021-12-20 02:30:00,-98.7472653991872,
2021-12-20 03:00:00,-99.5292302339999,
2021-12-20 18:30:00,-99.5292302339999,
2021-12-20 20:00:00,-99.5292302339999,
2021-12-20 23:00:00,-162.45915687976412,
2021-12-20 23:59:59,-169.56066777274418,c
2021-12-21 00:00:00,-156.9996229408348,
2021-12-21 01:00:00,-138.10743358422542,
2021-12-21 02:30:00,-94.96924668734573,
2021-12-21 03:00:00,-92.80380443865943,
2021-12-21 18:30:00,-92.80380443865943,
2021-12-21 20:00:00,-92.80380443865943,
2021-12-21 23:00:00,-66.98235760821353,
2021-12-21 23:59:59,-51.109833498245735,c
2021-12-22 00:00:00,-40.48215572881145,
2021-12-22 01:00:00,-28.31250781640574,
2021-12-22 02:30:00,-35.88177696024468,
2021-12-22 03:00:00,-35.80690888380013,
2021-12-22 18:30:00,-35.80690888380013,
2021-12-22 20:00:00,-35.80690888380013,
2021-12-22 23:00:00,-76.59735790049126,
2021-12-22 23:59:59,-66.88939016836503,c
2021-12-23 00:00:00,-71.17976149408969,
2021-12-23 01:00:00,-94.8202390609822,
2021-12-23 02:30:00,-83.61878344815432,
2021-12-23 03:00:00,-82.05394900185411,
