date,AS_MSCI_AS_DM_SC_2022_Q1,meta
2022-03-04 20:00:00,16.925378836339405,
2022-03-04 23:00:00,16.925378836339405,
2022-03-04 23:59:59,11.679782488977253,w
2022-03-07 00:00:00,-69.93531528753829,
2022-03-07 01:00:00,-76.70869959970969,
2022-03-07 02:30:00,-81.066926549026,
2022-03-07 03:00:00,-79.0808734664115,
2022-03-07 18:30:00,-79.0808734664115,
2022-03-07 20:00:00,-79.0808734664115,
2022-03-07 23:00:00,-79.0808734664115,
2022-03-07 23:59:59,-93.77951779213981,c
2022-03-08 00:00:00,-93.77951779213981,
2022-03-08 01:00:00,-93.77951779213981,
2022-03-08 02:30:00,-93.77951779213981,
2022-03-08 03:00:00,-93.77951779213981,
2022-03-08 18:30:00,-93.77951779213981,
2022-03-08 20:00:00,-93.77951779213981,
2022-03-08 23:00:00,-93.77951779213981,
2022-03-08 23:59:59,-93.77951779213981,c
2022-03-09 00:00:00,-93.77951779213981,
2022-03-09 01:00:00,-93.77951779213981,
2022-03-09 02:30:00,-93.77951779213981,
2022-03-09 03:00:00,-93.77951779213981,
2022-03-09 18:30:00,-93.77951779213981,
2022-03-09 20:00:00,-93.77951779213981,
2022-03-09 23:00:00,-93.77951779213981,
2022-03-09 23:59:59,-93.77951779213981,c
2022-03-10 00:00:00,-93.77951779213981,
2022-03-10 01:00:00,-93.77951779213981,
2022-03-10 02:30:00,-93.77951779213981,
2022-03-10 03:00:00,-93.77951779213981,
2022-03-10 18:30:00,-93.77951779213981,
2022-03-10 20:00:00,-93.77951779213981,
2022-03-10 23:00:00,-93.77951779213981,
2022-03-10 23:59:59,-93.77951779213981,c
2022-03-11 00:00:00,-93.77951779213981,
2022-03-11 01:00:00,-93.77951779213981,
2022-03-11 02:30:00,-93.77951779213981,
2022-03-11 03:00:00,-93.77951779213981,
2022-03-11 18:30:00,-93.77951779213981,
2022-03-11 20:00:00,-93.77951779213981,
2022-03-11 23:00:00,-93.77951779213981,
2022-03-11 23:59:59,-93.77951779213981,w
2022-03-14 00:00:00,-93.77951779213981,
2022-03-14 01:00:00,-93.77951779213981,
2022-03-14 02:30:00,-93.77951779213981,
2022-03-14 03:00:00,-93.77951779213981,
2022-03-14 18:30:00,-93.77951779213981,
2022-03-14 20:00:00,-93.77951779213981,
2022-03-14 23:00:00,-93.77951779213981,
2022-03-14 23:59:59,-93.77951779213981,c
2022-03-15 00:00:00,-93.77951779213981,
2022-03-15 01:00:00,-93.77951779213981,
2022-03-15 02:30:00,-93.77951779213981,
2022-03-15 03:00:00,-93.77951779213981,
2022-03-15 18:30:00,-93.77951779213981,
2022-03-15 20:00:00,-93.77951779213981,
2022-03-15 23:00:00,-93.77951779213981,
2022-03-15 23:59:59,-93.77951779213981,c
2022-03-16 00:00:00,-93.77951779213981,
2022-03-16 01:00:00,-93.77951779213981,
2022-03-16 02:30:00,-93.77951779213981,
2022-03-16 03:00:00,-93.77951779213981,
2022-03-16 18:30:00,-93.77951779213981,
2022-03-16 20:00:00,-93.77951779213981,
2022-03-16 23:00:00,-93.77951779213981,
2022-03-16 23:59:59,-93.77951779213981,c
2022-03-17 00:00:00,-93.77951779213981,
2022-03-17 01:00:00,-93.77951779213981,
2022-03-17 02:30:00,-93.77951779213981,
2022-03-17 03:00:00,-93.77951779213981,
2022-03-17 18:30:00,-93.77951779213981,
2022-03-17 20:00:00,-93.77951779213981,
2022-03-17 23:00:00,-93.77951779213981,
2022-03-17 23:59:59,-93.77951779213981,c
2022-03-18 00:00:00,-93.77951779213981,
2022-03-18 01:00:00,-93.77951779213981,
2022-03-18 02:30:00,-93.77951779213981,
2022-03-18 03:00:00,-93.77951779213981,
2022-03-18 18:30:00,-93.77951779213981,
2022-03-18 20:00:00,-93.77951779213981,
2022-03-18 23:00:00,-93.77951779213981,
2022-03-18 23:59:59,-93.77951779213981,w
2022-03-21 00:00:00,-93.77951779213981,
2022-03-21 01:00:00,-93.77951779213981,
2022-03-21 02:30:00,-93.77951779213981,
2022-03-21 03:00:00,-93.77951779213981,
2022-03-21 18:30:00,-93.77951779213981,
2022-03-21 20:00:00,-93.77951779213981,
2022-03-21 23:00:00,-93.77951779213981,
2022-03-21 23:59:59,-93.77951779213981,c
