date,EU_BEL20_2023_Q1,meta
2023-04-05 10:30:00,98.9508956586003,
2023-04-05 11:00:00,98.9508956586003,
2023-04-05 23:59:59,98.9508956586003,c
2023-04-06 00:00:00,98.9508956586003,
2023-04-06 03:30:00,98.9508956586003,
2023-04-06 04:00:00,98.9508956586003,
2023-04-06 06:00:00,98.9508956586003,
2023-04-06 08:00:00,98.9508956586003,
2023-04-06 10:30:00,98.9508956586003,
2023-04-06 11:00:00,98.9508956586003,
2023-04-06 23:59:59,98.9508956586003,c
2023-04-07 00:00:00,98.9508956586003,
2023-04-07 03:30:00,98.9508956586003,
2023-04-07 04:00:00,98.9508956586003,
2023-04-07 06:00:00,98.9508956586003,
2023-04-07 08:00:00,98.9508956586003,
2023-04-07 10:30:00,98.9508956586003,
2023-04-07 11:00:00,98.9508956586003,
2023-04-07 23:59:59,98.9508956586003,w
