date,EU_MSCI_DM_SC_2022_Q2,meta
2022-05-04 04:00:00,129.9657801022638,
2022-05-04 06:00:00,114.03364925036345,
2022-05-04 08:00:00,122.40682358708219,
2022-05-04 10:30:00,112.10380002406191,
2022-05-04 11:00:00,107.93237521908546,
2022-05-04 23:59:59,121.02452396376296,c
2022-05-05 00:00:00,102.30920548538217,
2022-05-05 03:30:00,128.51840690100175,
2022-05-05 04:00:00,141.1227338604675,
2022-05-05 06:00:00,158.62376395901006,
2022-05-05 08:00:00,137.164597050477,
2022-05-05 10:30:00,118.14930511575841,
2022-05-05 11:00:00,122.28876644062836,
2022-05-05 23:59:59,130.21422877795007,c
2022-05-06 00:00:00,129.43942690475018,
2022-05-06 03:30:00,116.99458783402969,
2022-05-06 04:00:00,105.69812867918878,
2022-05-06 06:00:00,89.11644573246696,
2022-05-06 08:00:00,82.22694615977912,
2022-05-06 10:30:00,77.71170514238406,
2022-05-06 11:00:00,83.29273615389602,
2022-05-06 23:59:59,92.24556323450886,w
2022-05-09 00:00:00,99.86905551782806,
2022-05-09 03:30:00,60.1575268905323,
2022-05-09 04:00:00,53.58431587252283,
2022-05-09 06:00:00,43.96807549787446,
2022-05-09 08:00:00,31.480103410730344,
2022-05-09 10:30:00,-1.5153307473711664,
2022-05-09 11:00:00,6.539134349168897,
2022-05-09 23:59:59,12.660698047245305,c
2022-05-10 00:00:00,-5.549972387230781,
2022-05-10 03:30:00,5.935958397782869,
2022-05-10 04:00:00,6.496892154864128,
2022-05-10 06:00:00,3.171282406607858,
2022-05-10 08:00:00,4.709649227239531,
2022-05-10 10:30:00,-3.7751983448651956,
2022-05-10 11:00:00,-2.598976776392874,
2022-05-10 23:59:59,-7.4369459188915314,c
2022-05-11 00:00:00,-12.590596653436059,
2022-05-11 03:30:00,6.125760477599016,
2022-05-11 04:00:00,1.9025820336605364,
2022-05-11 06:00:00,13.572424412486406,
2022-05-11 08:00:00,8.173719409663072,
2022-05-11 10:30:00,-2.0309701288522106,
2022-05-11 11:00:00,0.49066748234019286,
2022-05-11 23:59:59,-16.286955021355464,c
2022-05-12 00:00:00,10.046669078649252,
2022-05-12 03:30:00,-12.91395952723051,
2022-05-12 04:00:00,-10.721592130424902,
2022-05-12 06:00:00,-19.939418009717105,
2022-05-12 08:00:00,-18.966966090910606,
2022-05-12 10:30:00,-6.746056488185154,
2022-05-12 11:00:00,7.7315140009060315,
2022-05-12 23:59:59,0.0,a
2022-05-13 00:00:00,53.912110700166004,
2022-05-13 03:30:00,141.55058246290378,
2022-05-13 04:00:00,158.0097198462874,
2022-05-13 06:00:00,167.1322229313898,
2022-05-13 08:00:00,163.83233627962497,
2022-05-13 10:30:00,163.89776113191294,
2022-05-13 11:00:00,168.97413540123995,
2022-05-13 23:59:59,159.4328368037037,w
2022-05-16 00:00:00,166.5351434051958,
2022-05-16 03:30:00,168.48516829370953,
2022-05-16 04:00:00,202.9685827066505,
2022-05-16 06:00:00,218.46195325606357,
2022-05-16 08:00:00,233.0025187436142,
2022-05-16 10:30:00,240.39944386463736,
2022-05-16 11:00:00,230.23542739376,
2022-05-16 23:59:59,225.54717746448677,c
2022-05-17 00:00:00,198.48841634769374,
2022-05-17 03:30:00,182.8017654587434,
2022-05-17 04:00:00,186.22469286745653,
2022-05-17 06:00:00,201.34937517879138,
2022-05-17 08:00:00,198.33771701774822,
2022-05-17 10:30:00,161.40504568770035,
2022-05-17 11:00:00,162.36432137867266,
2022-05-17 23:59:59,157.35368319546592,c
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
