date,AS_NAREIT_2022_Q1,meta
2022-03-28 00:00:00,-66.32441482148897,
2022-03-28 01:00:00,-63.86008042968206,
2022-03-28 02:30:00,-59.31350323250035,
2022-03-28 03:00:00,-63.12253649102877,
2022-03-28 18:30:00,-68.97645350714447,
2022-03-28 20:00:00,-75.26380181355535,
2022-03-28 23:00:00,-73.86977599049987,
2022-03-28 23:59:59,-61.72278273080201,c
2022-03-29 00:00:00,-68.44622321518409,
2022-03-29 01:00:00,-69.4296631668235,
2022-03-29 02:30:00,-56.527228112049215,
2022-03-29 03:00:00,-59.53203930055679,
2022-03-29 18:30:00,-62.33813106633579,
2022-03-29 20:00:00,-56.38542373708651,
2022-03-29 23:00:00,-68.62975353302772,
2022-03-29 23:59:59,-67.65776329198252,c
2022-03-30 00:00:00,-92.48344714926452,
2022-03-30 01:00:00,-87.31026557959012,
2022-03-30 02:30:00,-86.50284647420494,
2022-03-30 03:00:00,-85.71777489745546,
2022-03-30 18:30:00,-85.43160798312147,
2022-03-30 20:00:00,-77.64579580806958,
2022-03-30 23:00:00,-60.935951194057,
2022-03-30 23:59:59,-68.03240260167877,c
2022-03-31 00:00:00,-71.77574113686615,
2022-03-31 01:00:00,-59.89665427745376,
2022-03-31 02:30:00,-60.735065002917054,
2022-03-31 03:00:00,-62.290740156457105,
2022-03-31 18:30:00,-49.7543280079135,
2022-03-31 20:00:00,-54.61626331997286,
2022-03-31 23:00:00,-54.495448572083205,
2022-03-31 23:59:59,-69.89254261417909,c
2022-04-01 00:00:00,-75.55857812662634,
2022-04-01 01:00:00,-71.19984896786173,
2022-04-01 02:30:00,-88.91554060523868,
2022-04-01 03:00:00,-88.91274236814206,
2022-04-01 18:30:00,-88.91274236814206,
2022-04-01 20:00:00,-88.91274236814206,
2022-04-01 23:00:00,-88.91274236814206,
2022-04-01 23:59:59,-92.53981534748573,w
