date,CRSP_AD_HEDGED_2021_Q4,meta
2021-12-09 15:30:30,201.9629642179815,
2021-12-09 23:59:59,184.40718144336194,c
2021-12-10 00:00:00,190.6365372004609,
2021-12-10 10:00:00,216.02717774775476,
2021-12-10 10:30:00,225.84799302325507,
2021-12-10 12:00:00,234.6304619549412,
2021-12-10 13:30:00,229.12676474652847,
2021-12-10 15:00:00,224.60197570910367,
2021-12-10 15:30:30,224.60197570910367,
2021-12-10 23:59:59,219.4334089386174,w
2021-12-13 00:00:00,237.6739044807158,
2021-12-13 10:00:00,272.3172922465069,
2021-12-13 10:30:00,247.65760900970315,
2021-12-13 12:00:00,190.5411989837578,
2021-12-13 13:30:00,171.52428986267762,
2021-12-13 15:00:00,152.0473516825644,
2021-12-13 15:30:30,152.0473516825644,
2021-12-13 23:59:59,148.67800330449683,c
2021-12-14 00:00:00,139.6759229484212,
2021-12-14 10:00:00,178.6847573547534,
2021-12-14 10:30:00,187.85942959301303,
2021-12-14 12:00:00,171.39950052944977,
2021-12-14 13:30:00,159.35766193656343,
2021-12-14 15:00:00,132.20581363833833,
2021-12-14 15:30:30,132.20581363833833,
2021-12-14 23:59:59,123.67867149670998,c
2021-12-15 00:00:00,120.19776593973849,
2021-12-15 10:00:00,145.96670599801234,
2021-12-15 10:30:00,136.00738931372024,
2021-12-15 12:00:00,172.91394211041927,
2021-12-15 13:30:00,152.98652689447204,
2021-12-15 15:00:00,175.01807516153082,
2021-12-15 15:30:30,175.01807516153082,
2021-12-15 23:59:59,142.20900040881997,c
2021-12-16 00:00:00,166.0821518118812,
2021-12-16 10:00:00,204.04125402401633,
2021-12-16 10:30:00,196.75755415350318,
2021-12-16 12:00:00,168.74400522229462,
2021-12-16 13:30:00,124.73389303859919,
2021-12-16 15:00:00,84.39952892530202,
2021-12-16 15:30:30,84.39952892530202,
2021-12-16 23:59:59,71.59560591972463,c
2021-12-17 00:00:00,51.92336646842308,
2021-12-17 10:00:00,2.5721351769696383,
2021-12-17 10:30:00,36.90552687642126,
2021-12-17 12:00:00,44.50926120487297,
2021-12-17 13:30:00,54.311734065029285,
2021-12-17 15:00:00,53.488657776164544,
2021-12-17 15:30:30,53.488657776164544,
2021-12-17 23:59:59,-7.7213198323456425,e
