date,SP46_AD_2022_Q3,meta
2022-09-21 12:00:00,14.381485886439123,
2022-09-21 13:30:00,30.6804291727874,
2022-09-21 15:00:00,48.69669909845129,
2022-09-21 15:30:30,48.69669909845129,
2022-09-21 23:59:59,-30.980122559760275,c
2022-09-22 00:00:00,-22.98564213740815,
2022-09-22 10:00:00,-138.3507592303713,
2022-09-22 10:30:00,-149.61140522253027,
2022-09-22 12:00:00,-186.0055507416762,
2022-09-22 13:30:00,-204.92210191897107,
2022-09-22 15:00:00,-198.92595058636653,
2022-09-22 15:30:30,-198.92595058636653,
2022-09-22 23:59:59,-187.41840480016526,c
2022-09-23 00:00:00,-230.69172586449622,
2022-09-23 10:00:00,-277.10720268620025,
2022-09-23 10:30:00,-303.57163223796124,
2022-09-23 12:00:00,-292.72783648176346,
2022-09-23 13:30:00,-300.5472836133463,
2022-09-23 15:00:00,-311.65208922802526,
2022-09-23 15:30:30,-311.65208922802526,
2022-09-23 23:59:59,-277.80076143039946,w
2022-09-26 00:00:00,-269.65192707661663,
2022-09-26 10:00:00,-264.1602776734592,
2022-09-26 10:30:00,-309.26359850861763,
2022-09-26 12:00:00,-429.7927740046621,
2022-09-26 13:30:00,-475.4827314766653,
2022-09-26 15:00:00,-449.291599616912,
2022-09-26 15:30:30,-449.291599616912,
2022-09-26 23:59:59,-459.9182736367877,c
2022-09-27 00:00:00,-413.3423416129267,
2022-09-27 10:00:00,-436.3157457096072,
2022-09-27 10:30:00,-488.53508117953584,
2022-09-27 12:00:00,-484.8485123388084,
2022-09-27 13:30:00,-536.4617285492175,
2022-09-27 15:00:00,-536.2449671515078,
2022-09-27 15:30:30,-536.2449671515078,
2022-09-27 23:59:59,-527.8035507975937,c
2022-09-28 00:00:00,-499.09164886133044,
2022-09-28 10:00:00,-491.14653992962394,
2022-09-28 10:30:00,-515.3876101187525,
2022-09-28 12:00:00,-477.7715607461587,
2022-09-28 13:30:00,-527.7918647631136,
2022-09-28 15:00:00,-501.48067857197975,
2022-09-28 15:30:30,-501.48067857197975,
2022-09-28 23:59:59,-511.93475951069036,c
2022-09-29 00:00:00,-532.8748279333479,
2022-09-29 10:00:00,-626.1027334256464,
2022-09-29 10:30:00,-636.7756023154095,
2022-09-29 12:00:00,-615.1904430428513,
2022-09-29 13:30:00,-613.3449775085703,
2022-09-29 15:00:00,-620.4847073434469,
2022-09-29 15:30:30,-620.4847073434469,
2022-09-29 23:59:59,-574.6759236766991,c
2022-09-30 00:00:00,-553.6492741691366,
2022-09-30 10:00:00,-550.3278872500775,
2022-09-30 10:30:00,-551.703070059347,
2022-09-30 12:00:00,-561.1483878150414,
2022-09-30 13:30:00,-539.231476583012,
2022-09-30 15:00:00,-579.8991964232,
2022-09-30 15:30:30,-579.8991964232,
2022-09-30 23:59:59,-579.8383769736606,w
2022-10-03 00:00:00,-576.0337832811786,
2022-10-03 10:00:00,-618.2777429213397,
2022-10-03 10:30:00,-552.1185311335428,
2022-10-03 12:00:00,-588.0620095104086,
2022-10-03 13:30:00,-555.0940696005425,
2022-10-03 15:00:00,-545.283027860545,
2022-10-03 15:30:30,-545.283027860545,
2022-10-03 23:59:59,-556.2524669122915,c
2022-10-04 00:00:00,-502.06194166129467,
2022-10-04 10:00:00,-399.2513696680278,
2022-10-04 10:30:00,-363.70869189447217,
2022-10-04 12:00:00,-339.8037875631121,
2022-10-04 13:30:00,-363.0103378247816,
2022-10-04 15:00:00,-323.8910462678764,
