date,EU_FTSE_DM_MIG_2022_Q3,meta
2022-09-15 00:00:00,502.62136248529146,
2022-09-15 03:30:00,571.0161154067575,
2022-09-15 04:00:00,591.52536715922,
2022-09-15 06:00:00,628.652746378895,
2022-09-15 08:00:00,625.9255590214177,
2022-09-15 10:30:00,540.1672099705918,
2022-09-15 11:00:00,556.0442553712774,
2022-09-15 23:59:59,555.0464455587464,c
2022-09-16 00:00:00,563.6651010873886,
2022-09-16 03:30:00,578.0159204661136,
2022-09-16 04:00:00,520.9603229147019,
2022-09-16 06:00:00,506.19416154292685,
2022-09-16 08:00:00,508.76998758837453,
2022-09-16 10:30:00,467.1804447540417,
2022-09-16 11:00:00,467.26840732654296,
2022-09-16 23:59:59,472.74195599102086,e
2022-09-19 00:00:00,504.41386964106346,
2022-09-19 03:30:00,495.6330931920645,
2022-09-19 04:00:00,494.1723444496304,
2022-09-19 06:00:00,522.9108479202539,
2022-09-19 08:00:00,552.2473176219276,
2022-09-19 10:30:00,592.6874405723972,
2022-09-19 11:00:00,589.1194003907206,
2022-09-19 23:59:59,582.6892848450616,c
2022-09-20 00:00:00,579.6213369072148,
2022-09-20 03:30:00,616.3063601292531,
2022-09-20 04:00:00,630.8185818958418,
2022-09-20 06:00:00,614.6275285170229,
2022-09-20 08:00:00,629.1838829638398,
2022-09-20 10:30:00,584.4343118184511,
2022-09-20 11:00:00,591.6801558129976,
2022-09-20 23:59:59,604.0664541690983,c
2022-09-21 00:00:00,654.2650701549248,
2022-09-21 03:30:00,717.6017731096863,
2022-09-21 04:00:00,725.9895121700499,
2022-09-21 06:00:00,753.2175147814582,
2022-09-21 08:00:00,743.1471879467342,
2022-09-21 10:30:00,727.3283439003933,
2022-09-21 11:00:00,717.1888711201102,
2022-09-21 23:59:59,696.8449743684653,c
2022-09-22 00:00:00,736.7489289668167,
2022-09-22 03:30:00,731.3946083629644,
2022-09-22 04:00:00,713.7000701383336,
2022-09-22 06:00:00,733.0352677887711,
2022-09-22 08:00:00,722.0426504776503,
2022-09-22 10:30:00,740.2143069047229,
2022-09-22 11:00:00,748.561714303992,
