date,EU_NAREIT_2023_Q1,meta
2023-03-23 03:30:00,158.937945346903,
2023-03-23 04:00:00,158.937945346903,
2023-03-23 06:00:00,158.937945346903,
2023-03-23 08:00:00,158.937945346903,
2023-03-23 10:30:00,158.937945346903,
2023-03-23 11:00:00,158.937945346903,
2023-03-23 23:59:59,158.937945346903,c
2023-03-24 00:00:00,158.937945346903,
2023-03-24 03:30:00,158.937945346903,
2023-03-24 04:00:00,158.937945346903,
2023-03-24 06:00:00,158.937945346903,
2023-03-24 08:00:00,158.937945346903,
2023-03-24 10:30:00,158.937945346903,
2023-03-24 11:00:00,158.937945346903,
2023-03-24 23:59:59,158.937945346903,w
2023-03-27 00:00:00,158.937945346903,
2023-03-27 03:30:00,158.937945346903,
2023-03-27 04:00:00,158.937945346903,
2023-03-27 06:00:00,158.937945346903,
2023-03-27 08:00:00,158.937945346903,
2023-03-27 10:30:00,158.937945346903,
2023-03-27 11:00:00,158.937945346903,
2023-03-27 23:59:59,158.937945346903,c
2023-03-28 00:00:00,158.937945346903,
2023-03-28 03:30:00,158.937945346903,
2023-03-28 04:00:00,158.937945346903,
2023-03-28 06:00:00,158.937945346903,
2023-03-28 08:00:00,158.937945346903,
2023-03-28 10:30:00,158.937945346903,
2023-03-28 11:00:00,158.937945346903,
2023-03-28 23:59:59,158.937945346903,c
2023-03-29 00:00:00,158.937945346903,
2023-03-29 03:30:00,158.937945346903,
2023-03-29 04:00:00,158.937945346903,
2023-03-29 06:00:00,158.937945346903,
2023-03-29 08:00:00,158.937945346903,
2023-03-29 10:30:00,158.937945346903,
2023-03-29 11:00:00,158.937945346903,
2023-03-29 23:59:59,158.937945346903,c
2023-03-30 00:00:00,158.937945346903,
2023-03-30 03:30:00,158.937945346903,
2023-03-30 04:00:00,158.937945346903,
2023-03-30 06:00:00,158.937945346903,
2023-03-30 08:00:00,158.937945346903,
2023-03-30 10:30:00,158.937945346903,
2023-03-30 11:00:00,158.937945346903,
2023-03-30 23:59:59,158.937945346903,c
2023-03-31 00:00:00,158.937945346903,
2023-03-31 03:30:00,158.937945346903,
2023-03-31 04:00:00,158.937945346903,
2023-03-31 06:00:00,158.937945346903,
2023-03-31 08:00:00,158.937945346903,
2023-03-31 10:30:00,158.937945346903,
2023-03-31 11:00:00,158.937945346903,
2023-03-31 23:59:59,158.937945346903,w
