date,CRSP_MIG_HEDGED_2020_Q4,meta
2020-12-16 15:30:30,68.11805330552,
2020-12-16 23:59:59,77.2388816365044,c
2020-12-17 00:00:00,52.86944494296904,
2020-12-17 10:00:00,28.45167070476532,
2020-12-17 10:30:00,1.3133282668555921,
2020-12-17 12:00:00,14.167981542590155,
2020-12-17 13:30:00,-2.1134461244454315,
2020-12-17 15:00:00,-9.131469306534939,
2020-12-17 15:30:30,-9.131469306534939,
2020-12-17 23:59:59,-3.120032788676326,c
2020-12-18 00:00:00,-6.135532911458824,
2020-12-18 10:00:00,26.938650581920797,
2020-12-18 10:30:00,20.226667383436848,
2020-12-18 12:00:00,40.70071750103182,
2020-12-18 13:30:00,30.54885310402517,
2020-12-18 15:00:00,27.219575203458703,
2020-12-18 15:30:30,27.219575203458703,
2020-12-18 23:59:59,33.633872309033904,e
2020-12-21 00:00:00,54.81392094745263,
2020-12-21 10:00:00,20.980882549729017,
2020-12-21 10:30:00,30.14992763852308,
2020-12-21 12:00:00,24.01104743507301,
2020-12-21 13:30:00,38.62751687253433,
2020-12-21 15:00:00,48.559875472996396,
2020-12-21 15:30:30,48.559875472996396,
2020-12-21 23:59:59,75.87110675240797,c
2020-12-22 00:00:00,133.835391192143,
2020-12-22 10:00:00,192.82357513084298,
2020-12-22 10:30:00,195.43585490865314,
2020-12-22 12:00:00,250.4728452754399,
2020-12-22 13:30:00,243.50345639753834,
2020-12-22 15:00:00,222.3980182074157,
2020-12-22 15:30:30,222.3980182074157,
2020-12-22 23:59:59,237.1605940219829,c
2020-12-23 00:00:00,237.5134163701831,
2020-12-23 10:00:00,215.3745693044723,
2020-12-23 10:30:00,210.3750412134799,
2020-12-23 12:00:00,210.2723613427471,
2020-12-23 13:30:00,224.46838534989888,
2020-12-23 15:00:00,226.01610035938336,
2020-12-23 15:30:30,226.01610035938336,
2020-12-23 23:59:59,229.3898750821984,c
2020-12-24 00:00:00,241.55561552383358,
2020-12-24 10:00:00,277.1905520422521,
2020-12-24 10:30:00,296.44786216503655,
2020-12-24 12:00:00,308.9875127637192,
2020-12-24 13:30:00,308.9875127637192,
2020-12-24 15:00:00,308.9875127637192,
2020-12-24 15:30:30,308.9875127637192,
2020-12-24 23:59:59,303.8902535328606,c
2020-12-25 00:00:00,303.8902535328606,
2020-12-25 10:00:00,303.8902535328606,
2020-12-25 10:30:00,303.8902535328606,
2020-12-25 12:00:00,303.8902535328606,
2020-12-25 13:30:00,303.8902535328606,
2020-12-25 15:00:00,303.8902535328606,
2020-12-25 15:30:30,303.8902535328606,
2020-12-25 23:59:59,303.8902535328606,w
2020-12-28 00:00:00,315.8395036199645,
2020-12-28 10:00:00,288.7224332933215,
2020-12-28 10:30:00,295.5249194120919,
2020-12-28 12:00:00,272.2110972451504,
2020-12-28 13:30:00,246.72484015331372,
2020-12-28 15:00:00,257.5180352461979,
