date,NDX_HEDGED_2022_Q4,meta
2022-12-23 13:30:00,-187.19167930471338,
2022-12-23 15:00:00,-190.20071194684073,
2022-12-23 15:30:30,-190.20071194684073,
2022-12-23 23:59:59,-191.1126159128067,w
2022-12-26 00:00:00,-191.1126159128067,
2022-12-26 10:00:00,-191.1126159128067,
2022-12-26 10:30:00,-191.1126159128067,
2022-12-26 12:00:00,-191.1126159128067,
2022-12-26 13:30:00,-191.1126159128067,
2022-12-26 15:00:00,-191.1126159128067,
2022-12-26 15:30:30,-191.1126159128067,
2022-12-26 23:59:59,-191.1126159128067,c
2022-12-27 00:00:00,-205.15511319902055,
2022-12-27 10:00:00,-222.7137728294847,
2022-12-27 10:30:00,-227.55476904384074,
2022-12-27 12:00:00,-234.31232166141336,
2022-12-27 13:30:00,-238.09345347007297,
2022-12-27 15:00:00,-243.3412611221542,
2022-12-27 15:30:30,-243.3412611221542,
2022-12-27 23:59:59,-247.55125077957734,c
2022-12-28 00:00:00,-243.10008830823102,
2022-12-28 10:00:00,-234.70903831292708,
2022-12-28 10:30:00,-232.94426564286636,
2022-12-28 12:00:00,-231.70623127138367,
2022-12-28 13:30:00,-226.94141095309647,
2022-12-28 15:00:00,-225.7595012066693,
2022-12-28 15:30:30,-225.7595012066693,
2022-12-28 23:59:59,-225.81441834663502,c
2022-12-29 00:00:00,-216.72847408549615,
2022-12-29 10:00:00,-216.10717036932863,
2022-12-29 10:30:00,-224.65890673008033,
2022-12-29 12:00:00,-222.12885866348887,
2022-12-29 13:30:00,-221.54713184639434,
2022-12-29 15:00:00,-217.52515750583632,
2022-12-29 15:30:30,-217.52515750583632,
2022-12-29 23:59:59,-215.6640541417329,c
2022-12-30 00:00:00,-218.9348924681836,
2022-12-30 10:00:00,-222.9556225087241,
2022-12-30 10:30:00,-224.12775653068792,
2022-12-30 12:00:00,-223.6663772300338,
2022-12-30 13:30:00,-213.91767415238127,
2022-12-30 15:00:00,-218.48671615057123,
2022-12-30 15:30:30,-218.48671615057123,
2022-12-30 23:59:59,-217.4693439871986,w
2023-01-02 00:00:00,-217.4693439871986,
2023-01-02 10:00:00,-217.4693439871986,
2023-01-02 10:30:00,-217.4693439871986,
2023-01-02 12:00:00,-217.4693439871986,
2023-01-02 13:30:00,-217.4693439871986,
2023-01-02 15:00:00,-217.4693439871986,
2023-01-02 15:30:30,-217.4693439871986,
2023-01-02 23:59:59,-217.4693439871986,c
2023-01-03 00:00:00,-236.90415286172896,
2023-01-03 10:00:00,-250.8438875405095,
2023-01-03 10:30:00,-255.05500325299118,
2023-01-03 12:00:00,-254.76521282636537,
2023-01-03 13:30:00,-260.81544781685886,
2023-01-03 15:00:00,-246.83192133163925,
2023-01-03 15:30:30,-246.83192133163925,
2023-01-03 23:59:59,-250.36558331344287,c
2023-01-04 00:00:00,-324.74367136087756,
2023-01-04 10:00:00,-370.6849764426843,
2023-01-04 10:30:00,-363.9295439824689,
2023-01-04 12:00:00,-368.77606979322115,
2023-01-04 13:30:00,-370.48750919537235,
2023-01-04 15:00:00,-371.2130472290461,
2023-01-04 15:30:30,-371.2130472290461,
2023-01-04 23:59:59,-368.36153458836077,c
2023-01-05 00:00:00,-375.79165699624116,
2023-01-05 10:00:00,-393.6221406589608,
2023-01-05 10:30:00,-396.3769600525593,
2023-01-05 12:00:00,-384.197155273804,
2023-01-05 13:30:00,-395.66018883723495,
2023-01-05 15:00:00,-386.840316314589,
2023-01-05 15:30:30,-386.840316314589,
2023-01-05 23:59:59,-389.1570928827573,c
2023-01-06 00:00:00,-424.8809000225265,
2023-01-06 10:00:00,-419.6318040153758,
2023-01-06 10:30:00,-422.0816097950926,
2023-01-06 12:00:00,-421.68665561678415,
2023-01-06 13:30:00,-425.1030374107405,
2023-01-06 15:00:00,-416.24317209074,
2023-01-06 15:30:30,-416.24317209074,
2023-01-06 23:59:59,-408.7026057635178,w
2023-01-09 00:00:00,-370.85023219912944,
2023-01-09 10:00:00,-368.4234603779008,
2023-01-09 10:30:00,-368.6784406819768,
2023-01-09 12:00:00,-368.2149926216755,
2023-01-09 13:30:00,-360.37391555178795,
2023-01-09 15:00:00,-367.4929343148742,
2023-01-09 15:30:30,-367.4929343148742,
2023-01-09 23:59:59,-367.1256334063179,c
2023-01-10 00:00:00,-357.6274631089068,
2023-01-10 10:00:00,-357.1340085205902,
2023-01-10 10:30:00,-354.87364042639456,
2023-01-10 12:00:00,-354.9629449604621,
2023-01-10 13:30:00,-348.05532540527554,
2023-01-10 15:00:00,-365.40079121034364,
2023-01-10 15:30:30,-365.40079121034364,
2023-01-10 23:59:59,-361.0870173260622,c
2023-01-11 00:00:00,-326.33426820438126,
2023-01-11 10:00:00,-297.31489954933926,
2023-01-11 10:30:00,-299.4338479662749,
2023-01-11 12:00:00,-297.5314241000301,
2023-01-11 13:30:00,-304.44754968304375,
2023-01-11 15:00:00,-304.82151121248825,
2023-01-11 15:30:30,-304.82151121248825,
2023-01-11 23:59:59,-295.75489071306487,c
2023-01-12 00:00:00,-287.27029399010837,
2023-01-12 10:00:00,-293.8028979958113,
2023-01-12 10:30:00,-283.3558657792855,
2023-01-12 12:00:00,-285.60421024593506,
2023-01-12 13:30:00,-282.04291224751773,
2023-01-12 15:00:00,-283.15813987526735,
2023-01-12 15:30:30,-283.15813987526735,
2023-01-12 23:59:59,-281.4120157041506,c
2023-01-13 00:00:00,-288.7212718061918,
2023-01-13 10:00:00,-298.67255074397065,
2023-01-13 10:30:00,-298.0337761862788,
2023-01-13 12:00:00,-293.8295832129108,
2023-01-13 13:30:00,-292.2485255888254,
2023-01-13 15:00:00,-288.4764410200075,
2023-01-13 15:30:30,-288.4764410200075,
2023-01-13 23:59:59,-283.84804470950496,w
