date,AS_MSCI_MINVOL_2022_Q2,meta
2022-06-06 18:30:00,-216.07373094813693,
2022-06-06 20:00:00,-215.42518739936304,
2022-06-06 23:00:00,-243.20402923753477,
2022-06-06 23:59:59,-236.93494728625933,c
2022-06-07 00:00:00,-248.72443421837056,
2022-06-07 01:00:00,-248.14669790941844,
2022-06-07 02:30:00,-238.94797076003852,
2022-06-07 03:00:00,-241.50002280772787,
2022-06-07 18:30:00,-237.24119168638754,
2022-06-07 20:00:00,-237.1912301253883,
2022-06-07 23:00:00,-248.7001335880484,
2022-06-07 23:59:59,-246.03495735289198,c
2022-06-08 00:00:00,-246.2104076961873,
2022-06-08 01:00:00,-246.8318710223275,
2022-06-08 02:30:00,-245.70239410623685,
2022-06-08 03:00:00,-248.74704795104572,
2022-06-08 18:30:00,-248.73204568262804,
2022-06-08 20:00:00,-248.4987240073831,
2022-06-08 23:00:00,-256.20934251363747,
2022-06-08 23:59:59,-249.5626647419299,c
2022-06-09 00:00:00,-247.37651737049168,
2022-06-09 01:00:00,-250.15145656189316,
2022-06-09 02:30:00,-242.47266489966978,
2022-06-09 03:00:00,-243.1675162275767,
2022-06-09 18:30:00,-244.27418257226668,
2022-06-09 20:00:00,-244.54276890137317,
2022-06-09 23:00:00,-272.3176245770343,
2022-06-09 23:59:59,-280.07694566101793,c
2022-06-10 00:00:00,-270.06696772277667,
2022-06-10 01:00:00,-272.90538706327754,
2022-06-10 02:30:00,-273.97994138767126,
2022-06-10 03:00:00,-272.631147818656,
2022-06-10 18:30:00,-272.631147818656,
2022-06-10 20:00:00,-272.631147818656,
2022-06-10 23:00:00,-272.631147818656,
2022-06-10 23:59:59,-274.6116066616305,w
2022-06-13 00:00:00,-276.2475053894351,
2022-06-13 01:00:00,-276.63730019065474,
2022-06-13 02:30:00,-274.7062014501349,
2022-06-13 03:00:00,-273.18559934182963,
2022-06-13 18:30:00,-269.3594658375308,
2022-06-13 20:00:00,-269.74383962130196,
2022-06-13 23:00:00,-272.51690543300924,
2022-06-13 23:59:59,-267.7217120930868,c
2022-06-14 00:00:00,-272.1700580573847,
2022-06-14 01:00:00,-265.2276228545645,
2022-06-14 02:30:00,-277.0802807288004,
2022-06-14 03:00:00,-274.11331719217833,
2022-06-14 18:30:00,-268.3086589024807,
2022-06-14 20:00:00,-268.45672587595527,
2022-06-14 23:00:00,-288.6125089716253,
2022-06-14 23:59:59,-298.1142546197715,c
2022-06-15 00:00:00,-299.2287778574462,
2022-06-15 01:00:00,-307.28368109769053,
2022-06-15 02:30:00,-311.0070305790713,
2022-06-15 03:00:00,-310.59947881175356,
2022-06-15 18:30:00,-308.4918743824958,
2022-06-15 20:00:00,-308.6587197707074,
2022-06-15 23:00:00,-295.1316634071428,
2022-06-15 23:59:59,-291.14436969138023,c
2022-06-16 00:00:00,-299.1633015283204,
2022-06-16 01:00:00,-300.390102652583,
2022-06-16 02:30:00,-290.0813002550051,
2022-06-16 03:00:00,-283.4351785242392,
2022-06-16 18:30:00,-282.24853027268944,
2022-06-16 20:00:00,-282.21687561825945,
2022-06-16 23:00:00,-300.57451816746993,
2022-06-16 23:59:59,-293.19673999220083,c
2022-06-17 00:00:00,-296.61593686377626,
2022-06-17 01:00:00,-287.07654899180943,
2022-06-17 02:30:00,-278.2072950644115,
2022-06-17 03:00:00,-280.3063558215391,
2022-06-17 18:30:00,-280.3063558215391,
2022-06-17 20:00:00,-280.3063558215391,
2022-06-17 23:00:00,-280.3063558215391,
2022-06-17 23:59:59,-275.97834048642085,w
2022-06-20 00:00:00,-293.4014613500125,
2022-06-20 01:00:00,-293.9543318696914,
2022-06-20 02:30:00,-296.8331805176674,
2022-06-20 03:00:00,-301.8004051486686,
2022-06-20 18:30:00,-301.44225950050054,
2022-06-20 20:00:00,-301.5565468504433,
2022-06-20 23:00:00,-312.79447537333044,
2022-06-20 23:59:59,-313.51627761910856,c
2022-06-21 00:00:00,-312.45283371282414,
2022-06-21 01:00:00,-314.5376463485203,
2022-06-21 02:30:00,-307.5886017787832,
2022-06-21 03:00:00,-309.2348661438276,
2022-06-21 18:30:00,-309.2348661438276,
2022-06-21 20:00:00,-309.2348661438276,
2022-06-21 23:00:00,-309.2348661438276,
2022-06-21 23:59:59,-312.84493706200544,c
