date,AS_MSCI_EM_HK_STAY_2022_Q3,meta
2022-08-08 01:00:00,115.83549945170353,
2022-08-08 02:30:00,115.7187191895658,
2022-08-08 03:00:00,113.51828007402102,
2022-08-08 18:30:00,113.51828007402102,
2022-08-08 20:00:00,113.51828007402102,
2022-08-08 23:00:00,46.75180421321525,
2022-08-08 23:59:59,82.94976793692317,c
2022-08-09 00:00:00,55.71092527851374,
2022-08-09 01:00:00,55.71092527851374,
2022-08-09 02:30:00,42.148473148287394,
2022-08-09 03:00:00,38.3361450025336,
2022-08-09 18:30:00,38.3361450025336,
2022-08-09 20:00:00,38.3361450025336,
2022-08-09 23:00:00,-11.727986085791926,
2022-08-09 23:59:59,-35.08250840827478,c
2022-08-10 00:00:00,-57.83591583529466,
2022-08-10 01:00:00,-57.83591583529466,
2022-08-10 02:30:00,-74.4730363956396,
2022-08-10 03:00:00,-82.89116185238129,
2022-08-10 18:30:00,-82.89116185238129,
2022-08-10 20:00:00,-82.89116185238129,
2022-08-10 23:00:00,-32.92146170471257,
2022-08-10 23:59:59,-21.15096602886318,c
2022-08-11 00:00:00,-47.98851373187577,
2022-08-11 01:00:00,-47.98851373187577,
2022-08-11 02:30:00,0.3487312735505128,
2022-08-11 03:00:00,-2.6491937028245047,
2022-08-11 18:30:00,-2.6491937028245047,
2022-08-11 20:00:00,-2.6491937028245047,
2022-08-11 23:00:00,-18.830058501865935,
2022-08-11 23:59:59,0.0,a
2022-08-12 00:00:00,15.427120770776483,
2022-08-12 01:00:00,15.427120770776483,
2022-08-12 02:30:00,9.933125856471591,
2022-08-12 03:00:00,3.7097191183887332,
2022-08-12 18:30:00,3.7097191183887332,
2022-08-12 20:00:00,3.7097191183887332,
2022-08-12 23:00:00,3.7097191183887332,
2022-08-12 23:59:59,15.729134417796317,w
2022-08-15 00:00:00,91.90758495024431,
2022-08-15 01:00:00,91.90758495024431,
2022-08-15 02:30:00,89.12376369338148,
2022-08-15 03:00:00,75.59858933189253,
2022-08-15 18:30:00,75.59858933189253,
2022-08-15 20:00:00,75.59858933189253,
2022-08-15 23:00:00,37.58213677111745,
2022-08-15 23:59:59,30.246656502410005,c
2022-08-16 00:00:00,73.13084233526305,
2022-08-16 01:00:00,73.13084233526305,
2022-08-16 02:30:00,-54.972898841640216,
2022-08-16 03:00:00,-191.8150094980693,
2022-08-16 18:30:00,-191.8150094980693,
2022-08-16 20:00:00,-191.8150094980693,
2022-08-16 23:00:00,-175.64647259571709,
2022-08-16 23:59:59,-174.8470501210865,c
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
0,-174.8470501210865,
2022-08-17 00:00:00,-128.58076689845268,
2022-08-17 01:00:00,-128.58076689845268,
2022-08-17 02:30:00,-143.2956298742524,
2022-08-17 03:00:00,-142.4773919431117,
2022-08-17 18:30:00,-142.4773919431117,
2022-08-17 20:00:00,-142.4773919431117,
2022-08-17 23:00:00,-150.84291529175357,
2022-08-17 23:59:59,-176.99563850675423,c
2022-08-18 00:00:00,-162.42482305036924,
2022-08-18 01:00:00,-162.42482305036924,
2022-08-18 02:30:00,-166.2718430381276,
2022-08-18 03:00:00,-155.1228838384227,
2022-08-18 18:30:00,-155.1228838384227,
2022-08-18 20:00:00,-155.1228838384227,
2022-08-18 23:00:00,-91.10998876764506,
2022-08-18 23:59:59,-96.0371856504136,c
2022-08-19 00:00:00,-120.36399522833507,
2022-08-19 01:00:00,-120.36399522833507,
2022-08-19 02:30:00,-193.28992496877532,
2022-08-19 03:00:00,-170.74244284132087,
2022-08-19 18:30:00,-170.74244284132087,
2022-08-19 20:00:00,-170.74244284132087,
2022-08-19 23:00:00,-170.74244284132087,
2022-08-19 23:59:59,-165.02634622593627,w
2022-08-22 00:00:00,-39.22286772505916,
2022-08-22 01:00:00,-39.22286772505916,
2022-08-22 02:30:00,-90.41313873937214,
2022-08-22 03:00:00,-90.42545415153694,
