date,EU_MSCI_QUAL_2022_Q2,meta
2022-06-17 11:00:00,-183.53963469469068,
2022-06-17 23:59:59,-165.4842372972148,w
2022-06-20 00:00:00,-181.6593714241094,
2022-06-20 03:30:00,-159.08466406055663,
2022-06-20 04:00:00,-159.05347062601868,
2022-06-20 06:00:00,-167.38432836888978,
2022-06-20 08:00:00,-171.1848589518304,
2022-06-20 10:30:00,-175.4922742789413,
2022-06-20 11:00:00,-178.05466473500314,
2022-06-20 23:59:59,-181.0434787339002,c
2022-06-21 00:00:00,-183.0481580088624,
2022-06-21 03:30:00,-160.46672213559646,
2022-06-21 04:00:00,-159.5361533162345,
2022-06-21 06:00:00,-136.16507550970277,
2022-06-21 08:00:00,-136.3858654687947,
2022-06-21 10:30:00,-164.88186768534092,
2022-06-21 11:00:00,-160.08799371054852,
2022-06-21 23:59:59,-161.42094747524789,c
