date,AS_FTSE_EM_STAY_2022_Q1,meta
2022-02-21 23:00:00,44.6216160068258,
2022-02-21 23:59:59,42.374705951192766,c
2022-02-22 00:00:00,30.246185150570142,
2022-02-22 01:00:00,26.459610138615574,
2022-02-22 02:30:00,31.364496422509234,
2022-02-22 03:00:00,32.586075483757384,
2022-02-22 18:30:00,32.586075483757384,
2022-02-22 20:00:00,32.586075483757384,
2022-02-22 23:00:00,46.35741634155903,
2022-02-22 23:59:59,41.97186302135273,c
2022-02-23 00:00:00,65.84325834051498,
2022-02-23 01:00:00,43.79889287382986,
2022-02-23 02:30:00,44.82757565146363,
2022-02-23 03:00:00,41.75857357041943,
2022-02-23 18:30:00,41.75857357041943,
2022-02-23 20:00:00,41.75857357041943,
2022-02-23 23:00:00,15.723527457687908,
2022-02-23 23:59:59,25.863877226981685,c
2022-02-24 00:00:00,14.43254210306847,
2022-02-24 01:00:00,8.160915191210037,
2022-02-24 02:30:00,-3.1143402478338658,
2022-02-24 03:00:00,-2.3664953830793536,
2022-02-24 18:30:00,-2.3664953830793536,
2022-02-24 20:00:00,-2.3664953830793536,
2022-02-24 23:00:00,40.535432831803945,
2022-02-24 23:59:59,19.044555775665373,c
2022-02-25 00:00:00,34.904051107467126,
2022-02-25 01:00:00,27.620915834926336,
2022-02-25 02:30:00,49.59757614195857,
2022-02-25 03:00:00,58.78113889230741,
2022-02-25 18:30:00,58.78113889230741,
2022-02-25 20:00:00,58.78113889230741,
2022-02-25 23:00:00,58.78113889230741,
2022-02-25 23:59:59,62.29894510715866,w
2022-02-28 00:00:00,-1.694194621893132,
2022-02-28 01:00:00,15.20485163769402,
2022-02-28 02:30:00,25.165720630116965,
2022-02-28 03:00:00,44.21192335885573,
2022-02-28 18:30:00,44.21192335885573,
2022-02-28 20:00:00,44.21192335885573,
2022-02-28 23:00:00,73.8422361832151,
2022-02-28 23:59:59,72.0924150113556,c
2022-03-01 00:00:00,85.12580088105338,
2022-03-01 01:00:00,87.56787667988158,
2022-03-01 02:30:00,134.9892341977686,
2022-03-01 03:00:00,129.87190151681057,
2022-03-01 18:30:00,129.87190151681057,
2022-03-01 20:00:00,129.87190151681057,
2022-03-01 23:00:00,86.07782709012685,
2022-03-01 23:59:59,76.44773082022022,c
2022-03-02 00:00:00,56.356746949521124,
2022-03-02 01:00:00,54.546234533354436,
2022-03-02 02:30:00,41.52521290269473,
2022-03-02 03:00:00,34.98059737628225,
2022-03-02 18:30:00,34.98059737628225,
2022-03-02 20:00:00,34.98059737628225,
2022-03-02 23:00:00,36.46828935186059,
2022-03-02 23:59:59,43.767055890597305,c
2022-03-03 00:00:00,55.33830272825921,
2022-03-03 01:00:00,31.32669021870521,
2022-03-03 02:30:00,24.604011632408884,
2022-03-03 03:00:00,46.7407481027831,
2022-03-03 18:30:00,46.7407481027831,
2022-03-03 20:00:00,46.7407481027831,
2022-03-03 23:00:00,4.7745923639842545,
2022-03-03 23:59:59,3.3191101933752947,c
2022-03-04 00:00:00,-46.78748272992772,
2022-03-04 01:00:00,-18.425040239037102,
2022-03-04 02:30:00,-41.08105136834476,
2022-03-04 03:00:00,-39.43356442165609,
2022-03-04 18:30:00,-39.43356442165609,
2022-03-04 20:00:00,-39.43356442165609,
2022-03-04 23:00:00,-39.43356442165609,
2022-03-04 23:59:59,-36.25023969207983,w
2022-03-07 00:00:00,-95.45309173483025,
2022-03-07 01:00:00,-59.436555626430575,
2022-03-07 02:30:00,-55.828401118447275,
2022-03-07 03:00:00,-77.35741451333436,
2022-03-07 18:30:00,-77.35741451333436,
2022-03-07 20:00:00,-77.35741451333436,
2022-03-07 23:00:00,-176.55292719071542,
2022-03-07 23:59:59,-190.84540600390687,c
2022-03-08 00:00:00,-180.5713751182238,
2022-03-08 01:00:00,-191.51897024312018,
2022-03-08 02:30:00,-277.0445257456811,
2022-03-08 03:00:00,-295.74062223683285,
2022-03-08 18:30:00,-295.74062223683285,
2022-03-08 20:00:00,-295.74062223683285,
2022-03-08 23:00:00,-491.87093601829633,
2022-03-08 23:59:59,-503.2330246886322,c
2022-03-09 00:00:00,-486.31024201782213,
2022-03-09 01:00:00,-475.43446868153535,
2022-03-09 02:30:00,-401.407719913605,
2022-03-09 03:00:00,-397.6001160575364,
2022-03-09 18:30:00,-397.6001160575364,
2022-03-09 20:00:00,-397.6001160575364,
2022-03-09 23:00:00,-462.87381862552877,
2022-03-09 23:59:59,-465.6476925329547,c
2022-03-10 00:00:00,-425.6799603594202,
2022-03-10 01:00:00,-466.03783175765045,
2022-03-10 02:30:00,-450.4746541870802,
2022-03-10 03:00:00,-442.44315966450654,
2022-03-10 18:30:00,-442.44315966450654,
2022-03-10 20:00:00,-442.44315966450654,
2022-03-10 23:00:00,-529.4728065876751,
2022-03-10 23:59:59,-529.4956671881203,c
2022-03-11 00:00:00,-593.2862414629586,
2022-03-11 01:00:00,-500.737386311465,
2022-03-11 02:30:00,-475.8544726122559,
2022-03-11 03:00:00,-481.9452828093059,
2022-03-11 18:30:00,-481.9452828093059,
2022-03-11 20:00:00,-481.9452828093059,
2022-03-11 23:00:00,-481.9452828093059,
2022-03-11 23:59:59,-484.91360875521605,w
2022-03-14 00:00:00,-594.2472918345119,
2022-03-14 01:00:00,-593.8582732541973,
2022-03-14 02:30:00,-591.2530212700468,
2022-03-14 03:00:00,-620.1491425907709,
2022-03-14 18:30:00,-620.1491425907709,
2022-03-14 20:00:00,-620.1491425907709,
2022-03-14 23:00:00,-501.6588101702404,
2022-03-14 23:59:59,-487.72438850351523,c
2022-03-15 00:00:00,-515.7932161960263,
2022-03-15 01:00:00,-518.8575087492296,
2022-03-15 02:30:00,-623.4588704124105,
2022-03-15 03:00:00,-669.8317246153467,
2022-03-15 18:30:00,-669.8317246153467,
2022-03-15 20:00:00,-669.8317246153467,
2022-03-15 23:00:00,-675.2363413230938,
2022-03-15 23:59:59,-672.4071295030204,c
2022-03-16 00:00:00,-612.8868182912207,
2022-03-16 01:00:00,-617.8268514169786,
2022-03-16 02:30:00,-403.09259602126247,
2022-03-16 03:00:00,-398.4877391931069,
2022-03-16 18:30:00,-398.4877391931069,
2022-03-16 20:00:00,-398.4877391931069,
2022-03-16 23:00:00,-478.1830684983802,
2022-03-16 23:59:59,-461.9771613400145,c
2022-03-17 00:00:00,-373.9433077401785,
2022-03-17 01:00:00,-383.369160197365,
2022-03-17 02:30:00,-390.15124172650803,
2022-03-17 03:00:00,-401.88052273380674,
2022-03-17 18:30:00,-401.88052273380674,
2022-03-17 20:00:00,-401.88052273380674,
2022-03-17 23:00:00,-345.53024528048525,
2022-03-17 23:59:59,-381.43047174967217,c
2022-03-18 00:00:00,-362.42613444018014,
2022-03-18 01:00:00,-363.9193095255247,
2022-03-18 02:30:00,-299.03300179734106,
2022-03-18 03:00:00,-307.1908354845218,
2022-03-18 18:30:00,-307.1908354845218,
2022-03-18 20:00:00,-307.1908354845218,
2022-03-18 23:00:00,-307.1908354845218,
2022-03-18 23:59:59,-358.04552632335805,e
2022-03-21 00:00:00,-392.486634849133,
2022-03-21 01:00:00,-388.75763642319,
2022-03-21 02:30:00,-395.2135272606205,
2022-03-21 03:00:00,-378.0300546323141,
2022-03-21 18:30:00,-378.0300546323141,
2022-03-21 20:00:00,-378.0300546323141,
2022-03-21 23:00:00,-380.7695814520572,
2022-03-21 23:59:59,-406.00566666080215,c
2022-03-22 00:00:00,-420.3869179355896,
2022-03-22 01:00:00,-425.1528203335506,
2022-03-22 02:30:00,-407.8898628986377,
2022-03-22 03:00:00,-406.68796058570194,
2022-03-22 18:30:00,-406.68796058570194,
2022-03-22 20:00:00,-406.68796058570194,
2022-03-22 23:00:00,-302.8148020413727,
2022-03-22 23:59:59,-338.6658240775067,c
2022-03-23 00:00:00,-347.8342792430873,
2022-03-23 01:00:00,-342.8635426540304,
2022-03-23 02:30:00,-331.5788878914334,
2022-03-23 03:00:00,-335.64125246604476,
2022-03-23 18:30:00,-335.64125246604476,
2022-03-23 20:00:00,-335.64125246604476,
2022-03-23 23:00:00,-389.16082908595513,
2022-03-23 23:59:59,-390.4732107669506,c
2022-03-24 00:00:00,-385.9306126949748,
2022-03-24 01:00:00,-384.11094559477544,
2022-03-24 02:30:00,-390.2482100283702,
2022-03-24 03:00:00,-416.4460729969119,
2022-03-24 18:30:00,-416.4460729969119,
2022-03-24 20:00:00,-416.4460729969119,
2022-03-24 23:00:00,-474.18114382270744,
2022-03-24 23:59:59,-540.7770783391268,c
2022-03-25 00:00:00,-598.3517379066623,
2022-03-25 01:00:00,-599.8244962301303,
2022-03-25 02:30:00,-609.7566879765366,
2022-03-25 03:00:00,-619.9551186817174,
2022-03-25 18:30:00,-619.9551186817174,
2022-03-25 20:00:00,-619.9551186817174,
2022-03-25 23:00:00,-619.9551186817174,
2022-03-25 23:59:59,-616.354703608666,w
2022-03-28 00:00:00,-623.9791058847475,
2022-03-28 01:00:00,-624.724764972564,
2022-03-28 02:30:00,-707.2869421256863,
2022-03-28 03:00:00,-715.2100990384276,
2022-03-28 18:30:00,-715.2100990384276,
2022-03-28 20:00:00,-715.2100990384276,
2022-03-28 23:00:00,-719.5375023355641,
2022-03-28 23:59:59,-738.0174499278984,c
2022-03-29 00:00:00,-724.9684229640719,
2022-03-29 01:00:00,-725.3379802192177,
2022-03-29 02:30:00,-712.2621454998688,
2022-03-29 03:00:00,-717.432730668345,
2022-03-29 18:30:00,-717.432730668345,
2022-03-29 20:00:00,-717.432730668345,
2022-03-29 23:00:00,-688.5613380638708,
2022-03-29 23:59:59,-665.335594920158,c
2022-03-30 00:00:00,-644.8138628882704,
2022-03-30 01:00:00,-655.4433379965064,
2022-03-30 02:30:00,-645.0040944470175,
2022-03-30 03:00:00,-639.9928857349195,
2022-03-30 18:30:00,-639.9928857349195,
2022-03-30 20:00:00,-639.9928857349195,
2022-03-30 23:00:00,-721.2236871905513,
2022-03-30 23:59:59,-698.7774210220133,c
2022-03-31 00:00:00,-705.9718691938411,
2022-03-31 01:00:00,-705.6953611456718,
2022-03-31 02:30:00,-689.076774553216,
2022-03-31 03:00:00,-684.6564325493662,
2022-03-31 18:30:00,-684.6564325493662,
2022-03-31 20:00:00,-684.6564325493662,
2022-03-31 23:00:00,-678.8558929062021,
2022-03-31 23:59:59,-678.2817910870143,c
2022-04-01 00:00:00,-697.4163756811114,
2022-04-01 01:00:00,-700.0898577215441,
2022-04-01 02:30:00,-699.4769425574326,
2022-04-01 03:00:00,-694.767265532115,
2022-04-01 18:30:00,-694.767265532115,
2022-04-01 20:00:00,-694.767265532115,
2022-04-01 23:00:00,-694.767265532115,
2022-04-01 23:59:59,-705.597833558492,w
2022-04-04 00:00:00,-664.4899646605926,
2022-04-04 01:00:00,-664.4899646605926,
2022-04-04 02:30:00,-643.3007440727953,
2022-04-04 03:00:00,-640.0836835415557,
2022-04-04 18:30:00,-640.0836835415557,
2022-04-04 20:00:00,-640.0836835415557,
2022-04-04 23:00:00,-640.0836835415557,
2022-04-04 23:59:59,-639.3493571228967,c
2022-04-05 00:00:00,-639.3493571228967,
2022-04-05 01:00:00,-639.3493571228967,
2022-04-05 02:30:00,-639.3493571228967,
2022-04-05 03:00:00,-639.3493571228967,
2022-04-05 18:30:00,-639.3493571228967,
2022-04-05 20:00:00,-639.3493571228967,
2022-04-05 23:00:00,-694.0792108631998,
2022-04-05 23:59:59,-694.0792108631998,c
2022-04-06 00:00:00,-686.400010390082,
2022-04-06 01:00:00,-691.9315249268335,
2022-04-06 02:30:00,-701.4848694025924,
2022-04-06 03:00:00,-688.5736807386855,
2022-04-06 18:30:00,-688.5736807386855,
2022-04-06 20:00:00,-688.5736807386855,
2022-04-06 23:00:00,-715.9036123729838,
2022-04-06 23:59:59,-756.3409737709386,c
2022-04-07 00:00:00,-752.0450225388331,
2022-04-07 01:00:00,-740.7117771505164,
2022-04-07 02:30:00,-706.9429208338921,
2022-04-07 03:00:00,-724.3801243741262,
2022-04-07 18:30:00,-724.3801243741262,
2022-04-07 20:00:00,-724.3801243741262,
2022-04-07 23:00:00,-726.4868560828346,
2022-04-07 23:59:59,-743.103979065455,c
2022-04-08 00:00:00,-744.23973329429,
2022-04-08 01:00:00,-743.7194192652757,
2022-04-08 02:30:00,-730.3412808757766,
2022-04-08 03:00:00,-709.3312099373978,
2022-04-08 18:30:00,-709.3312099373978,
2022-04-08 20:00:00,-709.3312099373978,
2022-04-08 23:00:00,-709.3312099373978,
2022-04-08 23:59:59,-725.5018698246981,w
