date,WMT_WW_2020_Q3,meta
2020-09-22 15:30:30,-208.75410873974116,
2020-09-22 23:59:59,-226.3355283728905,c
2020-09-23 00:00:00,-237.16037234971523,
2020-09-23 10:00:00,-239.95578527048602,
2020-09-23 10:30:00,-268.50711613585946,
2020-09-23 12:00:00,-226.5396318110861,
2020-09-23 13:30:00,-232.19126789669545,
2020-09-23 15:00:00,-215.71887768359483,
2020-09-23 15:30:30,-215.71887768359483,
2020-09-23 23:59:59,-213.9904844611712,e
2020-09-24 00:00:00,-186.52209229544775,
2020-09-24 10:00:00,-225.15336608695685,
2020-09-24 10:30:00,-213.12673477575854,
2020-09-24 12:00:00,-217.3117958916463,
2020-09-24 13:30:00,-207.63360625468195,
2020-09-24 15:00:00,-213.93376934623348,
2020-09-24 15:30:30,-213.93376934623348,
2020-09-24 23:59:59,-204.6238251572691,c
2020-09-25 00:00:00,-215.0353914080031,
2020-09-25 10:00:00,-220.0879247293368,
2020-09-25 10:30:00,-218.64515144764633,
2020-09-25 12:00:00,-201.02613072166295,
2020-09-25 13:30:00,-187.621356036257,
2020-09-25 15:00:00,-193.39999198609368,
2020-09-25 15:30:30,-193.39999198609368,
2020-09-25 23:59:59,-200.1598973791711,w
2020-09-28 00:00:00,-145.37318284550236,
2020-09-28 10:00:00,-159.4049841740638,
2020-09-28 10:30:00,-129.37275289818643,
2020-09-28 12:00:00,-132.4287486466512,
2020-09-28 13:30:00,-129.7839863800347,
2020-09-28 15:00:00,-132.0280596860826,
2020-09-28 15:30:30,-132.0280596860826,
2020-09-28 23:59:59,-144.285204138875,c
2020-09-29 00:00:00,-146.00566735267267,
2020-09-29 10:00:00,-144.65753055582866,
2020-09-29 10:30:00,-144.9561282510437,
2020-09-29 12:00:00,-152.04213204140066,
2020-09-29 13:30:00,-177.28201357275472,
2020-09-29 15:00:00,-181.17653399097549,
2020-09-29 15:30:30,-181.17653399097549,
2020-09-29 23:59:59,-172.81523473228367,c
2020-09-30 00:00:00,-155.22124838215038,
2020-09-30 10:00:00,-177.5168301798269,
2020-09-30 10:30:00,-197.7945206884682,
2020-09-30 12:00:00,-223.49828320573494,
2020-09-30 13:30:00,-244.6126909441769,
2020-09-30 15:00:00,-244.0357583265036,
2020-09-30 15:30:30,-244.0357583265036,
2020-09-30 23:59:59,-215.83658542802036,c
