date,SML_HEDGED_2021_Q2,meta
2021-07-01 10:30:00,-270.71563420567236,
2021-07-01 12:00:00,-318.36100626585585,
2021-07-01 13:30:00,-296.1760796212711,
2021-07-01 15:00:00,-292.65302303659337,
2021-07-01 15:30:30,-292.65302303659337,
2021-07-01 23:59:59,-278.6942624778703,c
2021-07-02 00:00:00,-251.53043706456947,
2021-07-02 10:00:00,-307.0267704915991,
2021-07-02 10:30:00,-285.27996788256587,
2021-07-02 12:00:00,-292.478707923261,
2021-07-02 13:30:00,-264.1254977850231,
2021-07-02 15:00:00,-254.27373396997382,
2021-07-02 15:30:30,-254.27373396997382,
2021-07-02 23:59:59,-257.50155974303834,w
2021-07-05 00:00:00,-257.50155974303834,
2021-07-05 10:00:00,-257.50155974303834,
2021-07-05 10:30:00,-257.50155974303834,
2021-07-05 12:00:00,-257.50155974303834,
2021-07-05 13:30:00,-257.50155974303834,
2021-07-05 15:00:00,-257.50155974303834,
2021-07-05 15:30:30,-257.50155974303834,
2021-07-05 23:59:59,-257.50155974303834,c
2021-07-06 00:00:00,-262.7424263181101,
2021-07-06 10:00:00,-336.035645624931,
2021-07-06 10:30:00,-367.5897209927507,
2021-07-06 12:00:00,-332.3220848328406,
2021-07-06 13:30:00,-356.42075323039717,
2021-07-06 15:00:00,-344.65423764407024,
2021-07-06 15:30:30,-344.65423764407024,
2021-07-06 23:59:59,-337.46698135721863,c
2021-07-07 00:00:00,-323.25763587516667,
2021-07-07 10:00:00,-317.7914721969596,
2021-07-07 10:30:00,-384.5283670851345,
2021-07-07 12:00:00,-294.6221182991994,
2021-07-07 13:30:00,-315.2607647600207,
2021-07-07 15:00:00,-323.4702778969331,
2021-07-07 15:30:30,-323.4702778969331,
2021-07-07 23:59:59,-311.37412275208044,c
2021-07-08 00:00:00,-396.28847428378003,
2021-07-08 10:00:00,-414.9692334356596,
2021-07-08 10:30:00,-367.0030542237814,
2021-07-08 12:00:00,-315.4157766024382,
2021-07-08 13:30:00,-314.06015203963534,
2021-07-08 15:00:00,-373.13498513711784,
2021-07-08 15:30:30,-373.13498513711784,
2021-07-08 23:59:59,-348.10878278151404,c
2021-07-09 00:00:00,-283.834349472339,
2021-07-09 10:00:00,-273.326759663777,
2021-07-09 10:30:00,-251.1936226161929,
2021-07-09 12:00:00,-264.33283987118057,
2021-07-09 13:30:00,-245.99016229112522,
2021-07-09 15:00:00,-242.0564162614678,
2021-07-09 15:30:30,-242.0564162614678,
2021-07-09 23:59:59,-214.68057146277351,w
