date,AS_MSCI_AS_EM_HK_MIG_2022_Q1,meta
2022-02-21 03:00:00,93.61967014140828,
2022-02-21 18:30:00,93.61967014140828,
2022-02-21 20:00:00,93.61967014140828,
2022-02-21 23:00:00,245.3104469163154,
2022-02-21 23:59:59,246.18570827122676,c
2022-02-22 00:00:00,441.26199410580193,
2022-02-22 01:00:00,292.3073044174271,
2022-02-22 02:30:00,145.7411270095181,
2022-02-22 03:00:00,145.23596821591127,
2022-02-22 18:30:00,145.23596821591127,
2022-02-22 20:00:00,145.23596821591127,
2022-02-22 23:00:00,46.4583154562315,
2022-02-22 23:59:59,45.24631912576115,c
2022-02-23 00:00:00,95.2702069693496,
2022-02-23 01:00:00,-4.546370643503906,
2022-02-23 02:30:00,-3.648885896362117,
2022-02-23 03:00:00,-52.91423720743842,
2022-02-23 18:30:00,-52.91423720743842,
2022-02-23 20:00:00,-52.91423720743842,
2022-02-23 23:00:00,549.4348540024039,
2022-02-23 23:59:59,548.3447465833251,c
2022-02-24 00:00:00,594.904624678973,
2022-02-24 01:00:00,494.68639059247107,
2022-02-24 02:30:00,446.2807786874346,
2022-02-24 03:00:00,446.52546195164723,
2022-02-24 18:30:00,446.52546195164723,
2022-02-24 20:00:00,446.52546195164723,
2022-02-24 23:00:00,446.4031109186326,
2022-02-24 23:59:59,441.07833819991174,c
2022-02-25 00:00:00,441.07833819991174,
2022-02-25 01:00:00,539.3469451228848,
2022-02-25 02:30:00,390.9349160302263,
2022-02-25 03:00:00,489.99744266909147,
2022-02-25 18:30:00,489.99744266909147,
2022-02-25 20:00:00,489.99744266909147,
2022-02-25 23:00:00,489.99744266909147,
2022-02-25 23:59:59,490.72821464164736,w
2022-02-28 00:00:00,390.75085243764624,
2022-02-28 01:00:00,143.59446896673217,
2022-02-28 02:30:00,144.7297960945907,
2022-02-28 03:00:00,-4.162211613807813,
2022-02-28 18:30:00,-4.162211613807813,
2022-02-28 20:00:00,-4.162211613807813,
2022-02-28 23:00:00,-600.8843503289754,
2022-02-28 23:59:59,-601.2914060519761,e
2022-03-01 00:00:00,-496.3281248039384,
2022-03-01 01:00:00,-399.8342846413834,
2022-03-01 02:30:00,-498.54443995483416,
2022-03-01 03:00:00,-499.41779244500503,
2022-03-01 18:30:00,-499.41779244500503,
2022-03-01 20:00:00,-499.41779244500503,
2022-03-01 23:00:00,-51.446722346045135,
2022-03-01 23:59:59,-51.83265261782253,c
2022-03-02 00:00:00,-4.418347652641387,
2022-03-02 01:00:00,-203.2436534157805,
2022-03-02 02:30:00,-152.9988148382472,
2022-03-02 03:00:00,-103.47199135123446,
2022-03-02 18:30:00,-103.47199135123446,
2022-03-02 20:00:00,-103.47199135123446,
2022-03-02 23:00:00,-54.473138113349705,
2022-03-02 23:59:59,-54.60178185373297,c
2022-03-03 00:00:00,-5.314518217193836,
2022-03-03 01:00:00,-5.890722307021861,
2022-03-03 02:30:00,-56.13266175032368,
2022-03-03 03:00:00,-105.34692307740806,
2022-03-03 18:30:00,-105.34692307740806,
2022-03-03 20:00:00,-105.34692307740806,
2022-03-03 23:00:00,538.8633335095565,
2022-03-03 23:59:59,540.4977065486928,c
2022-03-04 00:00:00,540.4977065486928,
2022-03-04 01:00:00,489.8765319621016,
2022-03-04 02:30:00,589.6627314658163,
2022-03-04 03:00:00,640.8671498008225,
2022-03-04 18:30:00,640.8671498008225,
2022-03-04 20:00:00,640.8671498008225,
2022-03-04 23:00:00,640.8671498008225,
2022-03-04 23:59:59,639.3105801607726,w
2022-03-07 00:00:00,1035.5302352090239,
2022-03-07 01:00:00,985.4260924975788,
2022-03-07 02:30:00,1033.4078536953475,
2022-03-07 03:00:00,1181.9689810438867,
2022-03-07 18:30:00,1181.9689810438867,
2022-03-07 20:00:00,1181.9689810438867,
2022-03-07 23:00:00,1181.9689810438867,
2022-03-07 23:59:59,1184.1126098887798,c
2022-03-08 00:00:00,1184.1126098887798,
2022-03-08 01:00:00,1184.1126098887798,
2022-03-08 02:30:00,1184.1126098887798,
2022-03-08 03:00:00,1184.1126098887798,
2022-03-08 18:30:00,1184.1126098887798,
2022-03-08 20:00:00,1184.1126098887798,
2022-03-08 23:00:00,1184.1126098887798,
2022-03-08 23:59:59,1184.1126098887798,c
2022-03-09 00:00:00,1184.1126098887798,
2022-03-09 01:00:00,1184.1126098887798,
2022-03-09 02:30:00,1184.1126098887798,
2022-03-09 03:00:00,1184.1126098887798,
2022-03-09 18:30:00,1184.1126098887798,
2022-03-09 20:00:00,1184.1126098887798,
2022-03-09 23:00:00,1184.1126098887798,
2022-03-09 23:59:59,1184.1126098887798,c
2022-03-10 00:00:00,1184.1126098887798,
2022-03-10 01:00:00,1184.1126098887798,
2022-03-10 02:30:00,1184.1126098887798,
2022-03-10 03:00:00,1184.1126098887798,
2022-03-10 18:30:00,1184.1126098887798,
2022-03-10 20:00:00,1184.1126098887798,
2022-03-10 23:00:00,1184.1126098887798,
2022-03-10 23:59:59,1184.1126098887798,c
2022-03-11 00:00:00,1184.1126098887798,
2022-03-11 01:00:00,1184.1126098887798,
2022-03-11 02:30:00,1184.1126098887798,
2022-03-11 03:00:00,1184.1126098887798,
2022-03-11 18:30:00,1184.1126098887798,
2022-03-11 20:00:00,1184.1126098887798,
2022-03-11 23:00:00,1184.1126098887798,
2022-03-11 23:59:59,1184.1126098887798,w
2022-03-14 00:00:00,1184.1126098887798,
2022-03-14 01:00:00,1184.1126098887798,
2022-03-14 02:30:00,1184.1126098887798,
2022-03-14 03:00:00,1184.1126098887798,
2022-03-14 18:30:00,1184.1126098887798,
2022-03-14 20:00:00,1184.1126098887798,
2022-03-14 23:00:00,1184.1126098887798,
2022-03-14 23:59:59,1184.1126098887798,c
2022-03-15 00:00:00,1184.1126098887798,
2022-03-15 01:00:00,1184.1126098887798,
2022-03-15 02:30:00,1184.1126098887798,
2022-03-15 03:00:00,1184.1126098887798,
2022-03-15 18:30:00,1184.1126098887798,
2022-03-15 20:00:00,1184.1126098887798,
2022-03-15 23:00:00,1184.1126098887798,
2022-03-15 23:59:59,1184.1126098887798,c
2022-03-16 00:00:00,1184.1126098887798,
2022-03-16 01:00:00,1184.1126098887798,
2022-03-16 02:30:00,1184.1126098887798,
2022-03-16 03:00:00,1184.1126098887798,
2022-03-16 18:30:00,1184.1126098887798,
2022-03-16 20:00:00,1184.1126098887798,
2022-03-16 23:00:00,1184.1126098887798,
2022-03-16 23:59:59,1184.1126098887798,c
2022-03-17 00:00:00,1184.1126098887798,
2022-03-17 01:00:00,1184.1126098887798,
2022-03-17 02:30:00,1184.1126098887798,
2022-03-17 03:00:00,1184.1126098887798,
2022-03-17 18:30:00,1184.1126098887798,
2022-03-17 20:00:00,1184.1126098887798,
2022-03-17 23:00:00,1184.1126098887798,
2022-03-17 23:59:59,1184.1126098887798,c
2022-03-18 00:00:00,1184.1126098887798,
2022-03-18 01:00:00,1184.1126098887798,
2022-03-18 02:30:00,1184.1126098887798,
2022-03-18 03:00:00,1184.1126098887798,
2022-03-18 18:30:00,1184.1126098887798,
2022-03-18 20:00:00,1184.1126098887798,
2022-03-18 23:00:00,1184.1126098887798,
2022-03-18 23:59:59,1184.1126098887798,w
2022-03-21 00:00:00,1184.1126098887798,
2022-03-21 01:00:00,1184.1126098887798,
2022-03-21 02:30:00,1184.1126098887798,
2022-03-21 03:00:00,1184.1126098887798,
2022-03-21 18:30:00,1184.1126098887798,
2022-03-21 20:00:00,1184.1126098887798,
2022-03-21 23:00:00,1184.1126098887798,
2022-03-21 23:59:59,1184.1126098887798,c
