date,EU_MSCI_DM_SC_ALL_2021_Q4,meta
2021-12-02 08:00:00,-121.1009454443174,
2021-12-02 10:30:00,-114.8029823122879,
2021-12-02 11:00:00,-124.64045416851422,
2021-12-02 23:59:59,-130.60189752206315,c
2021-12-03 00:00:00,-70.57563318680604,
2021-12-03 03:30:00,-79.47905614451156,
2021-12-03 04:00:00,-113.54460056845983,
2021-12-03 06:00:00,-124.40541385760935,
2021-12-03 08:00:00,-124.39626656592009,
2021-12-03 10:30:00,-226.3687946344462,
2021-12-03 11:00:00,-260.40848746709344,
2021-12-03 23:59:59,-220.8707198875345,w
2021-12-06 00:00:00,-168.11942652101334,
2021-12-06 03:30:00,-184.93353486098113,
2021-12-06 04:00:00,-193.5137281416537,
2021-12-06 06:00:00,-273.15498376004416,
2021-12-06 08:00:00,-283.7923031905166,
2021-12-06 10:30:00,-218.0637047412365,
2021-12-06 11:00:00,-244.40487567134915,
2021-12-06 23:59:59,-246.11082242491284,c
2021-12-07 00:00:00,-246.11082242491284,
2021-12-07 03:30:00,-180.79926911119856,
2021-12-07 04:00:00,-175.58375216063087,
2021-12-07 06:00:00,-144.695158155434,
2021-12-07 08:00:00,-142.4173398732146,
2021-12-07 10:30:00,-97.65330157583685,
2021-12-07 11:00:00,-97.67047394515885,
2021-12-07 23:59:59,-43.52708657393032,c
2021-12-08 00:00:00,-53.28289735670842,
2021-12-08 03:30:00,-34.7718910267522,
2021-12-08 04:00:00,-37.34257770397926,
2021-12-08 06:00:00,-75.06715752229502,
2021-12-08 08:00:00,-84.34538632824024,
2021-12-08 10:30:00,-90.47129315706297,
2021-12-08 11:00:00,-88.81035689158489,
2021-12-08 23:59:59,-91.5321935609627,c
2021-12-09 00:00:00,-68.75930082731065,
2021-12-09 03:30:00,-110.98928194233122,
2021-12-09 04:00:00,-104.13064381465301,
2021-12-09 06:00:00,-143.38345379956263,
2021-12-09 08:00:00,-177.29542467623924,
2021-12-09 10:30:00,-168.8294102244763,
2021-12-09 11:00:00,-184.5354806676496,
2021-12-09 23:59:59,-156.82705149712092,c
2021-12-10 00:00:00,-205.03659653140312,
2021-12-10 03:30:00,-242.86477947151252,
2021-12-10 04:00:00,-252.3357534786519,
2021-12-10 06:00:00,-261.95268722851415,
2021-12-10 08:00:00,-252.69846229125778,
2021-12-10 10:30:00,-207.69486027431685,
2021-12-10 11:00:00,-214.82012511766334,
2021-12-10 23:59:59,-211.5443415306736,w
2021-12-13 00:00:00,-207.32372151404888,
2021-12-13 03:30:00,-241.4352035572183,
