date,EU_MSCI_EM_AD_2021_Q4,meta
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
0,-34.88474037268679,
2021-11-17 00:00:00,-20.612258063749323,
2021-11-17 03:30:00,2.397418962445954,
2021-11-17 04:00:00,4.747650552000778,
2021-11-17 06:00:00,4.20129036608887,
2021-11-17 08:00:00,-54.91100175892461,
2021-11-17 10:30:00,-54.91100175892461,
2021-11-17 11:00:00,-54.91100175892461,
2021-11-17 23:59:59,-130.0235285571198,c
2021-11-18 00:00:00,-180.7639907814464,
2021-11-18 03:30:00,-139.53630072546184,
2021-11-18 04:00:00,-145.98904425898036,
2021-11-18 06:00:00,-168.5825306679144,
2021-11-18 08:00:00,-219.53505266204775,
2021-11-18 10:30:00,-219.53505266204775,
2021-11-18 11:00:00,-219.53505266204775,
2021-11-18 23:59:59,-233.09113358728428,c
2021-11-19 00:00:00,-267.97589545784285,
2021-11-19 03:30:00,-216.96559774160232,
2021-11-19 04:00:00,-283.3069039315942,
2021-11-19 06:00:00,-339.25935938261864,
2021-11-19 08:00:00,-367.15763473858715,
2021-11-19 10:30:00,-367.15763473858715,
2021-11-19 11:00:00,-367.15763473858715,
2021-11-19 23:59:59,-339.33109019307994,w
2021-11-22 00:00:00,-350.4307871518922,
2021-11-22 03:30:00,-372.29741606756033,
2021-11-22 04:00:00,-386.1383960912681,
2021-11-22 06:00:00,-313.8675460823288,
2021-11-22 08:00:00,-359.536226543476,
2021-11-22 10:30:00,-359.536226543476,
2021-11-22 11:00:00,-359.536226543476,
2021-11-22 23:59:59,-352.0164581460067,c
2021-11-23 00:00:00,-364.70010120603,
2021-11-23 03:30:00,-438.0510629099117,
2021-11-23 04:00:00,-409.7028249626237,
2021-11-23 06:00:00,-447.51865372274915,
2021-11-23 08:00:00,-429.26751583816804,
2021-11-23 10:30:00,-429.26751583816804,
2021-11-23 11:00:00,-429.26751583816804,
2021-11-23 23:59:59,-421.7842836334876,c
2021-11-24 00:00:00,-478.86666307802443,
2021-11-24 03:30:00,-427.4372493406245,
2021-11-24 04:00:00,-424.4696502949755,
2021-11-24 06:00:00,-467.56135379646366,
2021-11-24 08:00:00,-473.14306169367774,
2021-11-24 10:30:00,-473.14306169367774,
2021-11-24 11:00:00,-473.14306169367774,
2021-11-24 23:59:59,-501.06607852922934,c
2021-11-25 00:00:00,-491.55204333585425,
2021-11-25 03:30:00,-363.15702508443974,
2021-11-25 04:00:00,-384.7892414182188,
2021-11-25 06:00:00,-400.9759131760402,
2021-11-25 08:00:00,-416.7598673974444,
2021-11-25 10:30:00,-416.7598673974444,
2021-11-25 11:00:00,-416.7598673974444,
2021-11-25 23:59:59,-390.0690012731793,c
2021-11-26 00:00:00,-486.79363491063305,
2021-11-26 03:30:00,-580.3866419931528,
2021-11-26 04:00:00,-552.6103105671646,
2021-11-26 06:00:00,-501.3021516481149,
2021-11-26 08:00:00,-537.3270294659778,
2021-11-26 10:30:00,-537.3270294659778,
2021-11-26 11:00:00,-537.3270294659778,
2021-11-26 23:59:59,-556.5632534788801,w
2021-11-29 00:00:00,-507.4073858512511,
2021-11-29 03:30:00,-450.56297682312106,
2021-11-29 04:00:00,-426.16582369853495,
2021-11-29 06:00:00,-435.5605007122758,
2021-11-29 08:00:00,-457.83818826338575,
2021-11-29 10:30:00,-457.83818826338575,
2021-11-29 11:00:00,-457.83818826338575,
2021-11-29 23:59:59,-445.56613302939513,c
2021-11-30 00:00:00,-436.0520941337254,
2021-11-30 03:30:00,-427.2854467559191,
2021-11-30 04:00:00,-399.9449904318644,
2021-11-30 06:00:00,-485.06840626630583,
2021-11-30 08:00:00,-445.7862576913776,
2021-11-30 10:30:00,-445.7862576913776,
2021-11-30 11:00:00,-445.7862576913776,
2021-11-30 23:59:59,-583.5196970166126,e
2021-12-01 00:00:00,-570.8337994043704,
2021-12-01 03:30:00,-538.3664170309548,
2021-12-01 04:00:00,-550.6520346124726,
2021-12-01 06:00:00,-545.8422160171576,
2021-12-01 08:00:00,-506.0232188206428,
2021-12-01 10:30:00,-506.0232188206428,
2021-12-01 11:00:00,-506.0232188206428,
2021-12-01 23:59:59,-518.506577795406,c
2021-12-02 00:00:00,-516.9209044133167,
2021-12-02 03:30:00,-513.6349655671274,
2021-12-02 04:00:00,-502.26900773885245,
2021-12-02 06:00:00,-496.2753824544543,
2021-12-02 08:00:00,-491.9482479949784,
2021-12-02 10:30:00,-491.9482479949784,
2021-12-02 11:00:00,-491.9482479949784,
2021-12-02 23:59:59,-524.8492713237665,c
2021-12-03 00:00:00,-447.15127560136534,
2021-12-03 03:30:00,-487.88673531009044,
2021-12-03 04:00:00,-492.93087124095655,
2021-12-03 06:00:00,-501.9392630942493,
2021-12-03 08:00:00,-484.7893339443981,
2021-12-03 10:30:00,-484.7893339443981,
2021-12-03 11:00:00,-484.7893339443981,
2021-12-03 23:59:59,-486.7931101536087,w
2021-12-06 00:00:00,-469.3491197496005,
2021-12-06 03:30:00,-488.1501801554623,
2021-12-06 04:00:00,-496.8891161371739,
2021-12-06 06:00:00,-479.07024143885246,
2021-12-06 08:00:00,-451.74410541011457,
2021-12-06 10:30:00,-451.74410541011457,
2021-12-06 11:00:00,-451.74410541011457,
