date,PAR1_STAY_20210511,meta
2021-06-10 00:00:00,-7.255182592627875,
2021-06-10 10:00:00,-12.043218047201094,
2021-06-10 10:30:00,-15.651722689152479,
2021-06-10 12:00:00,-20.042961659504854,
2021-06-10 13:30:00,-17.106785485740872,
2021-06-10 15:00:00,-17.195170806933646,
2021-06-10 15:30:30,-17.195170806933646,
2021-06-10 23:59:59,-20.145020556281068,c
2021-06-11 00:00:00,-19.956955674545213,
2021-06-11 10:00:00,-18.03599275705932,
2021-06-11 10:30:00,-15.58626155531202,
2021-06-11 12:00:00,-15.536512500047252,
2021-06-11 13:30:00,-15.27465972313152,
2021-06-11 15:00:00,-15.41064332323134,
2021-06-11 15:30:30,-15.41064332323134,
2021-06-11 23:59:59,-14.498264381817663,w
2021-06-14 00:00:00,-16.698553131512938,
2021-06-14 10:00:00,-13.984259797357709,
2021-06-14 10:30:00,-16.358473372230193,
2021-06-14 12:00:00,-15.297774156086774,
2021-06-14 13:30:00,-14.336814089029005,
2021-06-14 15:00:00,-16.69762966547637,
2021-06-14 15:30:30,-16.69762966547637,
2021-06-14 23:59:59,-19.898084206656677,c
2021-06-15 00:00:00,-18.65070972108815,
2021-06-15 10:00:00,-12.80203274113012,
2021-06-15 10:30:00,-18.501436144646604,
2021-06-15 12:00:00,-17.583755141055263,
2021-06-15 13:30:00,-13.33222401791771,
2021-06-15 15:00:00,-11.439737905252741,
2021-06-15 15:30:30,-11.439737905252741,
2021-06-15 23:59:59,-12.866320542207603,c
2021-06-16 00:00:00,-13.535747404426218,
2021-06-16 10:00:00,-10.990940531509295,
2021-06-16 10:30:00,-11.360136632457241,
2021-06-16 12:00:00,-4.156980039870916,
2021-06-16 13:30:00,-9.515571053870843,
2021-06-16 15:00:00,-6.719209787779619,
2021-06-16 15:30:30,-6.719209787779619,
2021-06-16 23:59:59,-5.610382496785718,c
2021-06-17 00:00:00,-7.532713267506978,
2021-06-17 10:00:00,-4.791016605941593,
2021-06-17 10:30:00,-5.414707793606482,
2021-06-17 12:00:00,-14.972703390335326,
2021-06-17 13:30:00,-10.511176808941471,
2021-06-17 15:00:00,-12.995219955618083,
2021-06-17 15:30:30,-12.995219955618083,
2021-06-17 23:59:59,-14.014560845584143,c
2021-06-18 00:00:00,-16.737839224117607,
2021-06-18 10:00:00,-14.740579793294856,
2021-06-18 10:30:00,-16.969878950279565,
2021-06-18 12:00:00,-9.789802161203042,
2021-06-18 13:30:00,-10.573070242092811,
2021-06-18 15:00:00,-14.634116364388817,
2021-06-18 15:30:30,-14.634116364388817,q
2021-06-18 23:59:59,-16.033764100231522,w
2021-06-21 00:00:00,-16.201101931823857,
2021-06-21 10:00:00,-16.517186716438758,
2021-06-21 10:30:00,-20.132484066141373,
2021-06-21 12:00:00,-24.87729122302082,
2021-06-21 13:30:00,-20.127951645606288,
2021-06-21 15:00:00,-19.232904563514055,
2021-06-21 15:30:30,-19.232904563514055,
2021-06-21 23:59:59,-17.895718269234308,c
2021-06-22 00:00:00,-18.247220215212067,
2021-06-22 10:00:00,-16.561125752166234,
2021-06-22 10:30:00,-15.318487185335954,
2021-06-22 12:00:00,-14.514382110775514,
