date,AS_TOPIX_2023_Q1,meta
2023-02-13 03:00:00,55.7870190293566,
2023-02-13 18:30:00,55.7870190293566,
2023-02-13 20:00:00,49.75162246365966,
2023-02-13 23:00:00,20.817101287188848,
2023-02-13 23:59:59,19.905301062180115,c
2023-02-14 00:00:00,48.84707944046812,
2023-02-14 01:00:00,36.190416301086884,
2023-02-14 02:30:00,36.190416301086884,
2023-02-14 03:00:00,36.190416301086884,
2023-02-14 18:30:00,36.190416301086884,
2023-02-14 20:00:00,49.070949376204,
2023-02-14 23:00:00,46.56934746459615,
2023-02-14 23:59:59,38.54701187788038,c
2023-02-15 00:00:00,35.698024273236456,
2023-02-15 01:00:00,32.70453189867197,
2023-02-15 02:30:00,32.70453189867197,
2023-02-15 03:00:00,32.70453189867197,
2023-02-15 18:30:00,32.70453189867197,
2023-02-15 20:00:00,14.185007519245744,
2023-02-15 23:00:00,13.550571061863366,
2023-02-15 23:59:59,13.955409029133762,c
2023-02-16 00:00:00,4.733321625645658,
2023-02-16 01:00:00,0.6172658792422681,
2023-02-16 02:30:00,0.6172658792422681,
2023-02-16 03:00:00,0.6172658792422681,
2023-02-16 18:30:00,0.6172658792422681,
2023-02-16 20:00:00,-9.70130742996622,
2023-02-16 23:00:00,-19.904248995471903,
2023-02-16 23:59:59,-20.64934427440278,c
2023-02-17 00:00:00,-21.680306549747,
2023-02-17 01:00:00,-23.28254592863732,
2023-02-17 02:30:00,-23.28254592863732,
2023-02-17 03:00:00,-23.28254592863732,
2023-02-17 18:30:00,-23.28254592863732,
2023-02-17 20:00:00,-23.28254592863732,
2023-02-17 23:00:00,-23.28254592863732,
2023-02-17 23:59:59,-26.185179619114876,w
2023-02-20 00:00:00,-51.784533189360616,
2023-02-20 01:00:00,-52.804718806578364,
2023-02-20 02:30:00,-52.804718806578364,
2023-02-20 03:00:00,-52.804718806578364,
2023-02-20 18:30:00,-52.804718806578364,
2023-02-20 20:00:00,-52.804718806578364,
2023-02-20 23:00:00,-52.804718806578364,
2023-02-20 23:59:59,-52.46067461169508,c
