date,EU_MSCI_DM_MIG_2023_Q1,meta
2023-02-21 04:00:00,11.055222265347048,
2023-02-21 06:00:00,24.894362336430895,
2023-02-21 08:00:00,-6.0770924864735605,
2023-02-21 10:30:00,-9.778232134699415,
2023-02-21 11:00:00,-11.793514307488117,
2023-02-21 23:59:59,1.8007532651338884,c
2023-02-22 00:00:00,-62.7256799869591,
2023-02-22 03:30:00,-43.053511583384925,
2023-02-22 04:00:00,-76.10130325365557,
2023-02-22 06:00:00,-24.358217611626323,
2023-02-22 08:00:00,-43.26156727946634,
2023-02-22 10:30:00,-67.79915777479798,
2023-02-22 11:00:00,-57.74118472159768,
2023-02-22 23:59:59,-65.76804426567554,c
2023-02-23 00:00:00,-76.42943193686673,
2023-02-23 03:30:00,-84.15782108870795,
2023-02-23 04:00:00,-45.15280897457469,
2023-02-23 06:00:00,-71.15608659108531,
2023-02-23 08:00:00,-78.98203545360039,
2023-02-23 10:30:00,-97.91041054041312,
2023-02-23 11:00:00,-101.28570772669366,
2023-02-23 23:59:59,-83.65147783385203,c
2023-02-24 00:00:00,-85.5820544720548,
2023-02-24 03:30:00,-42.579792189268964,
2023-02-24 04:00:00,-60.13895478441672,
2023-02-24 06:00:00,13.231100105387455,
2023-02-24 08:00:00,-8.174573259840834,
2023-02-24 10:30:00,-67.12765895262763,
2023-02-24 11:00:00,-54.43855796551015,
2023-02-24 23:59:59,-23.912459020264492,w
2023-02-27 00:00:00,-59.95192234152697,
2023-02-27 03:30:00,-18.850351517663576,
2023-02-27 04:00:00,-55.54377504365288,
2023-02-27 06:00:00,-106.74967619918087,
2023-02-27 08:00:00,-128.24073344680116,
2023-02-27 10:30:00,-203.86691819166543,
2023-02-27 11:00:00,-243.6856699351118,
2023-02-27 23:59:59,-206.3020617328539,c
2023-02-28 00:00:00,-177.0452858315529,
2023-02-28 03:30:00,-145.22970468946784,
2023-02-28 04:00:00,-159.9240342494912,
2023-02-28 06:00:00,-193.20131599953348,
2023-02-28 08:00:00,-182.1798792267192,
2023-02-28 10:30:00,-167.63841249640316,
2023-02-28 11:00:00,-182.57796443991103,
2023-02-28 23:59:59,-158.94654494730906,e
2023-03-01 00:00:00,-153.28713985050354,
2023-03-01 03:30:00,-131.20546458103502,
2023-03-01 04:00:00,-77.80138651460115,
2023-03-01 06:00:00,-115.97408740291448,
2023-03-01 08:00:00,-126.11906385672512,
2023-03-01 10:30:00,-124.78350938560811,
2023-03-01 11:00:00,-128.91635725361346,
2023-03-01 23:59:59,-117.25915992350397,c
2023-03-02 00:00:00,-116.39517807673036,
2023-03-02 03:30:00,-120.75642916167973,
2023-03-02 04:00:00,-111.62447769750932,
2023-03-02 06:00:00,-121.3694648980721,
2023-03-02 08:00:00,-120.50849916600745,
2023-03-02 10:30:00,-157.86710134628012,
2023-03-02 11:00:00,-164.99225489404648,
2023-03-02 23:59:59,-169.13414318566274,c
2023-03-03 00:00:00,-191.0748087163958,
2023-03-03 03:30:00,-161.73845728397595,
2023-03-03 04:00:00,-161.08046356137433,
2023-03-03 06:00:00,-121.90561017570866,
2023-03-03 08:00:00,-116.18196639272094,
2023-03-03 10:30:00,-128.34362827544194,
2023-03-03 11:00:00,-125.5079495638928,
2023-03-03 23:59:59,-130.72584368290555,w
2023-03-06 00:00:00,-157.01727482096214,
2023-03-06 03:30:00,-162.86220975039805,
2023-03-06 04:00:00,-188.36393723977963,
2023-03-06 06:00:00,-137.24069466716446,
2023-03-06 08:00:00,-131.49796722882996,
2023-03-06 10:30:00,-152.56240726786027,
2023-03-06 11:00:00,-158.1531391025461,
2023-03-06 23:59:59,-153.79908088007767,c
2023-03-07 00:00:00,-146.77983080094577,
2023-03-07 03:30:00,-136.2204152192244,
2023-03-07 04:00:00,-156.4649135925303,
2023-03-07 06:00:00,-177.77867406810108,
2023-03-07 08:00:00,-197.4502034998788,
2023-03-07 10:30:00,-142.0670111712918,
2023-03-07 11:00:00,-141.84304234894586,
2023-03-07 23:59:59,-155.21625022765866,c
2023-03-08 00:00:00,-134.86172929463473,
2023-03-08 03:30:00,-157.16299017693692,
2023-03-08 04:00:00,-164.3721621828096,
2023-03-08 06:00:00,-180.82727570475245,
2023-03-08 08:00:00,-174.61501662805443,
2023-03-08 10:30:00,-189.17942265758376,
2023-03-08 11:00:00,-194.26979570861633,
2023-03-08 23:59:59,-201.79843176746343,c
2023-03-09 00:00:00,-209.86912257047507,
2023-03-09 03:30:00,-216.91069768187623,
2023-03-09 04:00:00,-219.9299752324724,
2023-03-09 06:00:00,-270.59824745762273,
2023-03-09 08:00:00,-315.2037262383186,
2023-03-09 10:30:00,-361.27907368758224,
2023-03-09 11:00:00,-353.41607806565827,
2023-03-09 23:59:59,-358.59255559284935,c
