date,AS_MSCI_EM_REST_STAY_2022_Q4,meta
2022-11-21 23:59:59,-365.86551966046954,c
2022-11-22 00:00:00,-413.19332244515317,
2022-11-22 01:00:00,-478.96222082341455,
2022-11-22 02:30:00,-457.31457311107533,
2022-11-22 03:00:00,-457.60807695498397,
2022-11-22 18:30:00,-457.60807695498397,
2022-11-22 20:00:00,-465.32461224795543,
2022-11-22 23:00:00,-541.1616562392601,
2022-11-22 23:59:59,-613.4605504574297,c
2022-11-23 00:00:00,-603.3012737094691,
2022-11-23 01:00:00,-576.6798263881515,
2022-11-23 02:30:00,-586.6308039343598,
2022-11-23 03:00:00,-584.8132124193985,
2022-11-23 18:30:00,-584.8132124193985,
2022-11-23 20:00:00,-600.7081866286599,
2022-11-23 23:00:00,-569.443660307058,
2022-11-23 23:59:59,-567.8613921490542,c
2022-11-24 00:00:00,-530.8193562900206,
2022-11-24 01:00:00,-553.6148424088237,
2022-11-24 02:30:00,-555.524389829895,
2022-11-24 03:00:00,-558.0992237846053,
2022-11-24 18:30:00,-558.0992237846053,
2022-11-24 20:00:00,-539.9313265748815,
2022-11-24 23:00:00,-530.2090420229379,
2022-11-24 23:59:59,-552.361806245211,c
2022-11-25 00:00:00,-541.9324237922151,
2022-11-25 01:00:00,-573.354054618635,
2022-11-25 02:30:00,-577.2879778938855,
2022-11-25 03:00:00,-578.4603973770463,
2022-11-25 18:30:00,-578.4603973770463,
2022-11-25 20:00:00,-578.4603973770463,
2022-11-25 23:00:00,-578.4603973770463,
2022-11-25 23:59:59,-588.1764826705303,w
2022-11-28 00:00:00,-702.2057175215241,
2022-11-28 01:00:00,-772.8091386568203,
2022-11-28 02:30:00,-717.0390129814364,
2022-11-28 03:00:00,-715.1197940015386,
2022-11-28 18:30:00,-715.1197940015386,
2022-11-28 20:00:00,-710.0892594749425,
2022-11-28 23:00:00,-692.436547350309,
2022-11-28 23:59:59,-627.4032671405344,c
2022-11-29 00:00:00,-623.3753612422265,
2022-11-29 01:00:00,-621.26250158323,
2022-11-29 02:30:00,-605.6313831841503,
2022-11-29 03:00:00,-607.1151412210884,
2022-11-29 18:30:00,-607.1151412210884,
2022-11-29 20:00:00,-598.1704811197001,
2022-11-29 23:00:00,-492.62955272359795,
2022-11-29 23:59:59,-575.835766707487,c
2022-11-30 00:00:00,-602.6365357122854,
2022-11-30 01:00:00,-535.3205049690337,
2022-11-30 02:30:00,-402.34825542783165,
2022-11-30 03:00:00,-403.58984978953595,
2022-11-30 18:30:00,-403.58984978953595,
2022-11-30 20:00:00,-441.3380745303957,
2022-11-30 23:00:00,-513.5745447123113,
2022-11-30 23:59:59,-528.4851274221824,e
2022-12-01 00:00:00,-512.0869062774996,
2022-12-01 01:00:00,-505.6373060730639,
2022-12-01 02:30:00,-483.76425154682556,
2022-12-01 03:00:00,-481.66519294094496,
2022-12-01 18:30:00,-481.66519294094496,
2022-12-01 20:00:00,-556.6089439612992,
2022-12-01 23:00:00,-446.7235521146122,
2022-12-01 23:59:59,-449.0979352566178,c
2022-12-02 00:00:00,-446.4126648950478,
2022-12-02 01:00:00,-531.5153326689042,
2022-12-02 02:30:00,-490.7976991537298,
2022-12-02 03:00:00,-491.26380278171655,
2022-12-02 18:30:00,-491.26380278171655,
2022-12-02 20:00:00,-491.26380278171655,
2022-12-02 23:00:00,-491.26380278171655,
2022-12-02 23:59:59,-502.0983132494084,w
2022-12-05 00:00:00,-697.1668399896962,
2022-12-05 01:00:00,-697.7563875022274,
2022-12-05 02:30:00,-706.7402968218094,
2022-12-05 03:00:00,-703.5620148301082,
2022-12-05 18:30:00,-703.5620148301082,
2022-12-05 20:00:00,-573.3169990028991,
2022-12-05 23:00:00,-653.0748032803986,
2022-12-05 23:59:59,-726.3123578429431,c
2022-12-06 00:00:00,-760.5313931908513,
2022-12-06 01:00:00,-787.9353120499145,
2022-12-06 02:30:00,-788.9181785143719,
2022-12-06 03:00:00,-791.1494975870214,
2022-12-06 18:30:00,-791.1494975870214,
2022-12-06 20:00:00,-826.8016937584398,
2022-12-06 23:00:00,-821.7025147415043,
2022-12-06 23:59:59,-693.8215953986082,c
2022-12-07 00:00:00,-693.7243166883072,
2022-12-07 01:00:00,-741.8099935000537,
2022-12-07 02:30:00,-709.5159569442676,
2022-12-07 03:00:00,-706.1010509777057,
2022-12-07 18:30:00,-706.1010509777057,
2022-12-07 20:00:00,-850.7859263498453,
2022-12-07 23:00:00,-951.6414069895704,
2022-12-07 23:59:59,-999.8657371750546,c
2022-12-08 00:00:00,-995.300228723805,
2022-12-08 01:00:00,-1048.3799233648156,
2022-12-08 02:30:00,-1011.7743962099962,
2022-12-08 03:00:00,-1010.3235115249049,
2022-12-08 18:30:00,-1010.3235115249049,
2022-12-08 20:00:00,-1222.0790694437715,
2022-12-08 23:00:00,-1170.72437571933,
2022-12-08 23:59:59,-1180.8422451913634,c
2022-12-09 00:00:00,-1177.2609639939942,
2022-12-09 01:00:00,-1168.6789038355382,
2022-12-09 02:30:00,-1119.7813895317477,
2022-12-09 03:00:00,-1121.9148104357491,
2022-12-09 18:30:00,-1121.9148104357491,
2022-12-09 20:00:00,-1121.9148104357491,
2022-12-09 23:00:00,-1121.9148104357491,
2022-12-09 23:59:59,-1182.598982516491,w
2022-12-12 00:00:00,-1264.6423442327427,
2022-12-12 01:00:00,-1291.7751639401,
2022-12-12 02:30:00,-1289.0317420272268,
2022-12-12 03:00:00,-1292.0567086125634,
2022-12-12 18:30:00,-1292.0567086125634,
2022-12-12 20:00:00,-1418.3616626945127,
2022-12-12 23:00:00,-1375.8550150865522,
2022-12-12 23:59:59,-1352.3204512918146,c
2022-12-13 00:00:00,-1329.2625770424188,
2022-12-13 01:00:00,-1327.6872747751327,
2022-12-13 02:30:00,-1329.7893163703734,
2022-12-13 03:00:00,-1331.9328343336233,
2022-12-13 18:30:00,-1331.9328343336233,
2022-12-13 20:00:00,-1299.304512480467,
2022-12-13 23:00:00,-1296.331917945231,
2022-12-13 23:59:59,-1305.5334673642164,c
2022-12-14 00:00:00,-1318.9468991839258,
2022-12-14 01:00:00,-1337.3475931812563,
2022-12-14 02:30:00,-1337.8023334005911,
2022-12-14 03:00:00,-1339.332021273256,
2022-12-14 18:30:00,-1339.332021273256,
2022-12-14 20:00:00,-1353.1170867130213,
2022-12-14 23:00:00,-1382.2203348252938,
