date,AS_MSCI_EM_REST_MIG_2022_Q2,meta
2022-06-01 23:00:00,610.6179745102813,
2022-06-01 23:59:59,692.9748594556117,c
2022-06-02 00:00:00,707.5092643685543,
2022-06-02 01:00:00,662.037661816099,
2022-06-02 02:30:00,662.037661816099,
2022-06-02 03:00:00,662.037661816099,
2022-06-02 18:30:00,662.037661816099,
2022-06-02 20:00:00,662.037661816099,
2022-06-02 23:00:00,662.037661816099,
2022-06-02 23:59:59,664.6711357645459,c
2022-06-03 00:00:00,664.6711357645459,
2022-06-03 01:00:00,664.6711357645459,
2022-06-03 02:30:00,664.6711357645459,
2022-06-03 03:00:00,664.6711357645459,
2022-06-03 18:30:00,664.6711357645459,
2022-06-03 20:00:00,664.6711357645459,
2022-06-03 23:00:00,664.6711357645459,
2022-06-03 23:59:59,664.6711357645459,w
2022-06-06 00:00:00,473.81004265268984,
2022-06-06 01:00:00,453.86678342783034,
2022-06-06 02:30:00,453.86678342783034,
2022-06-06 03:00:00,453.86678342783034,
2022-06-06 18:30:00,453.86678342783034,
2022-06-06 20:00:00,453.86678342783034,
2022-06-06 23:00:00,292.4455863987223,
2022-06-06 23:59:59,324.0949741077784,c
2022-06-07 00:00:00,334.8041125023692,
2022-06-07 01:00:00,293.0937426420878,
2022-06-07 02:30:00,293.0937426420878,
2022-06-07 03:00:00,293.0937426420878,
2022-06-07 18:30:00,293.0937426420878,
2022-06-07 20:00:00,293.0937426420878,
2022-06-07 23:00:00,186.42269545162208,
2022-06-07 23:59:59,165.41923594075615,c
2022-06-08 00:00:00,205.91865696563082,
2022-06-08 01:00:00,204.07684738252965,
2022-06-08 02:30:00,204.07684738252965,
2022-06-08 03:00:00,204.07684738252965,
2022-06-08 18:30:00,204.07684738252965,
2022-06-08 20:00:00,204.07684738252965,
2022-06-08 23:00:00,164.4487286903759,
2022-06-08 23:59:59,178.53063204167256,c
2022-06-09 00:00:00,168.7079573863216,
2022-06-09 01:00:00,217.88876289641485,
2022-06-09 02:30:00,217.88876289641485,
2022-06-09 03:00:00,217.88876289641485,
2022-06-09 18:30:00,217.88876289641485,
2022-06-09 20:00:00,217.88876289641485,
2022-06-09 23:00:00,195.80249123273097,
2022-06-09 23:59:59,179.65544951037418,c
2022-06-10 00:00:00,147.56994268359722,
2022-06-10 01:00:00,134.0636773182032,
2022-06-10 02:30:00,134.0636773182032,
2022-06-10 03:00:00,134.0636773182032,
2022-06-10 18:30:00,134.0636773182032,
2022-06-10 20:00:00,134.0636773182032,
2022-06-10 23:00:00,134.0636773182032,
2022-06-10 23:59:59,129.79359530241754,w
2022-06-13 00:00:00,180.53523086014593,
2022-06-13 01:00:00,205.49268947460814,
2022-06-13 02:30:00,205.49268947460814,
2022-06-13 03:00:00,205.49268947460814,
2022-06-13 18:30:00,205.49268947460814,
2022-06-13 20:00:00,205.49268947460814,
2022-06-13 23:00:00,210.296511334343,
2022-06-13 23:59:59,239.508623395418,c
2022-06-14 00:00:00,240.50094739814222,
2022-06-14 01:00:00,260.3224135702267,
2022-06-14 02:30:00,260.3224135702267,
2022-06-14 03:00:00,260.3224135702267,
2022-06-14 18:30:00,260.3224135702267,
2022-06-14 20:00:00,260.3224135702267,
2022-06-14 23:00:00,217.5821491348397,
2022-06-14 23:59:59,217.3108879197257,c
2022-06-15 00:00:00,221.65038273243908,
2022-06-15 01:00:00,201.11121848412586,
2022-06-15 02:30:00,201.11121848412586,
2022-06-15 03:00:00,201.11121848412586,
2022-06-15 18:30:00,201.11121848412586,
2022-06-15 20:00:00,201.11121848412586,
2022-06-15 23:00:00,25.165105237370653,
2022-06-15 23:59:59,-46.855491226282766,c
2022-06-16 00:00:00,5.6016666712239385,
2022-06-16 01:00:00,-29.321389036094615,
