date,AS_MSCI_FACT_INTL_2021_Q4,meta
2021-12-13 20:00:00,-64.61904619527684,
2021-12-13 23:00:00,-64.228195780779,
2021-12-13 23:59:59,-62.35987821390529,c
2021-12-14 00:00:00,-44.06660821350869,
2021-12-14 01:00:00,-43.969994709640105,
2021-12-14 02:30:00,-43.25693291906589,
2021-12-14 03:00:00,-43.89486617982362,
2021-12-14 18:30:00,-37.97797915806905,
2021-12-14 20:00:00,-27.035482626733938,
2021-12-14 23:00:00,-28.445374685975082,
2021-12-14 23:59:59,-34.62648976166122,c
2021-12-15 00:00:00,-34.87099705746169,
2021-12-15 01:00:00,-31.145158151153396,
2021-12-15 02:30:00,-28.063126397595852,
2021-12-15 03:00:00,-28.219619448413027,
2021-12-15 18:30:00,-28.653780015311895,
2021-12-15 20:00:00,-40.49419295045345,
2021-12-15 23:00:00,-31.633416537715902,
2021-12-15 23:59:59,-30.942229938004914,c
2021-12-16 00:00:00,-26.325981623296514,
2021-12-16 01:00:00,-26.950176998658208,
2021-12-16 02:30:00,-27.901324647723754,
2021-12-16 03:00:00,-27.575893765449223,
2021-12-16 18:30:00,-25.781031737504293,
2021-12-16 20:00:00,-20.053242095205235,
2021-12-16 23:00:00,-19.677397226815856,
2021-12-16 23:59:59,-23.85413919145725,c
2021-12-17 00:00:00,-26.679814697159998,
2021-12-17 01:00:00,-32.61861671038599,
2021-12-17 02:30:00,-31.75769086504863,
2021-12-17 03:00:00,-32.194231420723725,
2021-12-17 18:30:00,-32.194231420723725,
2021-12-17 20:00:00,-32.194231420723725,
2021-12-17 23:00:00,-32.194231420723725,
2021-12-17 23:59:59,-34.288280829259634,w
2021-12-20 00:00:00,-44.80972437749057,
2021-12-20 01:00:00,-45.401810692451306,
2021-12-20 02:30:00,-45.70491571576207,
2021-12-20 03:00:00,-44.069963600676715,
2021-12-20 18:30:00,-45.71361554297272,
2021-12-20 20:00:00,-45.84320387717514,
2021-12-20 23:00:00,-51.56041349915756,
2021-12-20 23:59:59,-55.350845977674055,c
2021-12-21 00:00:00,-54.649603636060135,
2021-12-21 01:00:00,-53.58674048280773,
2021-12-21 02:30:00,-55.330276617630204,
2021-12-21 03:00:00,-55.41607872523008,
2021-12-21 18:30:00,-55.41607872523008,
2021-12-21 20:00:00,-55.41607872523008,
2021-12-21 23:00:00,-55.41607872523008,
2021-12-21 23:59:59,-56.317737521770766,c
