date,MSCI_FACT_MTUM_HEDGED_2021_Q4,meta
2021-11-23 12:00:00,3.1255510507744333,
2021-11-23 13:30:00,3.7887306607623827,
2021-11-23 15:00:00,6.280513812615737,
2021-11-23 15:30:30,6.280513812615737,
2021-11-23 23:59:59,7.053180957524631,c
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
0,7.053180957524631,
2021-11-24 00:00:00,-13.724507203242709,
2021-11-24 10:00:00,-6.70791858279938,
2021-11-24 10:30:00,-0.14436958475435802,
2021-11-24 12:00:00,7.204197088132275,
2021-11-24 13:30:00,10.818412746023228,
2021-11-24 15:00:00,10.676466893880686,
2021-11-24 15:30:30,10.676466893880686,
2021-11-24 23:59:59,18.96307852835919,c
2021-11-25 00:00:00,18.96307852835919,
2021-11-25 10:00:00,18.96307852835919,
2021-11-25 10:30:00,18.96307852835919,
2021-11-25 12:00:00,18.96307852835919,
2021-11-25 13:30:00,18.96307852835919,
2021-11-25 15:00:00,18.96307852835919,
2021-11-25 15:30:30,18.96307852835919,
2021-11-25 23:59:59,18.96307852835919,c
2021-11-26 00:00:00,46.73648664923961,
2021-11-26 10:00:00,70.05833021316711,
2021-11-26 10:30:00,52.136867109269545,
2021-11-26 12:00:00,27.199965332768443,
2021-11-26 13:30:00,27.199965332768443,
2021-11-26 15:00:00,27.199965332768443,
2021-11-26 15:30:30,27.199965332768443,
2021-11-26 23:59:59,20.439034325210983,w
2021-11-29 00:00:00,27.69700878325716,
2021-11-29 10:00:00,65.65258003616528,
2021-11-29 10:30:00,70.39783714376527,
2021-11-29 12:00:00,75.83188629286305,
2021-11-29 13:30:00,65.9013638596786,
2021-11-29 15:00:00,61.82266114186545,
2021-11-29 15:30:30,61.82266114186545,
2021-11-29 23:59:59,62.41430916627071,c
2021-11-30 00:00:00,47.184638889831476,
2021-11-30 10:00:00,38.882105142809436,
2021-11-30 10:30:00,57.77149073136708,
2021-11-30 12:00:00,35.33448031757176,
2021-11-30 13:30:00,43.828460766959964,
2021-11-30 15:00:00,37.29324161095944,
2021-11-30 15:30:30,37.29324161095944,
