date,SPX_EW_2022_Q2,meta
2022-06-24 10:30:00,233.4675210425342,
2022-06-24 12:00:00,240.4066153590171,
2022-06-24 13:30:00,263.9010965854517,
2022-06-24 15:00:00,276.5790368518564,
2022-06-24 15:30:30,276.5790368518564,
2022-06-24 23:59:59,288.69931672568254,w
2022-06-27 00:00:00,280.1192144344839,
2022-06-27 10:00:00,219.38935782301547,
2022-06-27 10:30:00,165.24194405665452,
2022-06-27 12:00:00,199.79749222127225,
2022-06-27 13:30:00,193.39278308019254,
2022-06-27 15:00:00,210.35117124446077,
2022-06-27 15:30:30,210.35117124446077,
2022-06-27 23:59:59,196.50445716663756,c
2022-06-28 00:00:00,184.15617881285476,
2022-06-28 10:00:00,217.62579337188794,
2022-06-28 10:30:00,203.12869346602855,
2022-06-28 12:00:00,152.53501081878966,
2022-06-28 13:30:00,154.44214790477696,
2022-06-28 15:00:00,131.7129348487632,
2022-06-28 15:30:30,131.7129348487632,
2022-06-28 23:59:59,106.42212110535672,c
2022-06-29 00:00:00,63.3659216044274,
2022-06-29 10:00:00,33.69439067034557,
2022-06-29 10:30:00,39.05009434875245,
2022-06-29 12:00:00,68.40992497292905,
2022-06-29 13:30:00,54.76286393412664,
2022-06-29 15:00:00,72.0229086525182,
2022-06-29 15:30:30,72.0229086525182,
2022-06-29 23:59:59,89.98389422690946,c
2022-06-30 00:00:00,75.63925441298437,
2022-06-30 10:00:00,-15.44981243663932,
2022-06-30 10:30:00,-17.87146048194424,
2022-06-30 12:00:00,54.463412236570264,
2022-06-30 13:30:00,54.01653017141268,
2022-06-30 15:00:00,66.42177437830355,
2022-06-30 15:30:30,66.42177437830355,
2022-06-30 23:59:59,56.32517009959838,c
2022-07-01 00:00:00,46.515803433916915,
2022-07-01 10:00:00,112.82770946871779,
2022-07-01 10:30:00,106.7237374848084,
2022-07-01 12:00:00,103.38266916287876,
2022-07-01 13:30:00,95.65245313005113,
2022-07-01 15:00:00,104.6709359895616,
2022-07-01 15:30:30,104.6709359895616,
2022-07-01 23:59:59,106.1833367559816,w
2022-07-04 00:00:00,106.1833367559816,
2022-07-04 10:00:00,106.1833367559816,
2022-07-04 10:30:00,106.1833367559816,
2022-07-04 12:00:00,106.1833367559816,
2022-07-04 13:30:00,106.1833367559816,
2022-07-04 15:00:00,106.1833367559816,
2022-07-04 15:30:30,106.1833367559816,
2022-07-04 23:59:59,106.1833367559816,c
2022-07-05 00:00:00,83.9960540864331,
2022-07-05 10:00:00,80.4639023622384,
2022-07-05 10:30:00,142.38839373489031,
2022-07-05 12:00:00,205.69172223061628,
2022-07-05 13:30:00,254.57975686138428,
2022-07-05 15:00:00,258.7729170829361,
2022-07-05 15:30:30,258.7729170829361,
2022-07-05 23:59:59,262.37704143143617,c
2022-07-06 00:00:00,265.58341864231323,
2022-07-06 10:00:00,257.46408670458595,
2022-07-06 10:30:00,247.5265935233794,
2022-07-06 12:00:00,240.9471917597814,
2022-07-06 13:30:00,230.48480429303555,
2022-07-06 15:00:00,230.25106154601946,
2022-07-06 15:30:30,230.25106154601946,
2022-07-06 23:59:59,210.12964932458772,c
2022-07-07 00:00:00,206.84393080994641,
2022-07-07 10:00:00,225.00043899637126,
2022-07-07 10:30:00,214.57148443848592,
2022-07-07 12:00:00,228.75748167152528,
2022-07-07 13:30:00,228.74662160201,
2022-07-07 15:00:00,238.84985088675182,
2022-07-07 15:30:30,238.84985088675182,
2022-07-07 23:59:59,248.90944964428633,c
2022-07-08 00:00:00,202.17199979320372,
2022-07-08 10:00:00,190.17687251380607,
2022-07-08 10:30:00,227.25785518219362,
2022-07-08 12:00:00,233.58758083223216,
2022-07-08 13:30:00,209.22686694533877,
2022-07-08 15:00:00,210.81343763228386,
2022-07-08 15:30:30,210.81343763228386,
2022-07-08 23:59:59,208.46578881725856,w
