date,EU_FTSE_EU_DM_AW_ADDSDELS_2021_Q4,meta
2021-12-01 08:00:00,-11.683805466746676,
2021-12-01 10:30:00,-23.98875922102482,
2021-12-01 11:00:00,-25.659532361462126,
2021-12-01 23:59:59,-58.432260847638275,c
2021-12-02 00:00:00,-72.94990076375832,
2021-12-02 03:30:00,-96.39407994013902,
2021-12-02 04:00:00,-55.27222051615338,
2021-12-02 06:00:00,-87.72386610415052,
2021-12-02 08:00:00,-121.66148284045671,
2021-12-02 10:30:00,-178.03521517501937,
2021-12-02 11:00:00,-204.97547461842169,
2021-12-02 23:59:59,-216.2062965053493,c
2021-12-03 00:00:00,-202.17272796511378,
2021-12-03 03:30:00,-219.40124216600805,
2021-12-03 04:00:00,-198.35259876239707,
2021-12-03 06:00:00,-189.72950155063864,
2021-12-03 08:00:00,-194.73786296094397,
2021-12-03 10:30:00,-244.66538380306656,
2021-12-03 11:00:00,-226.78063175406567,
2021-12-03 23:59:59,-253.72186892573643,w
2021-12-06 00:00:00,-261.9716722173332,
2021-12-06 03:30:00,-291.0808269155383,
2021-12-06 04:00:00,-292.5504296276479,
2021-12-06 06:00:00,-361.74801335500024,
2021-12-06 08:00:00,-421.42398651017663,
2021-12-06 10:30:00,-372.36365624012075,
2021-12-06 11:00:00,-389.82419617228265,
2021-12-06 23:59:59,-353.11814114219237,c
2021-12-07 00:00:00,-353.11814114219237,
2021-12-07 03:30:00,-335.15332777472736,
2021-12-07 04:00:00,-308.45511046582294,
2021-12-07 06:00:00,-291.11248348043114,
2021-12-07 08:00:00,-303.43821844573654,
2021-12-07 10:30:00,-286.52264452042436,
2021-12-07 11:00:00,-286.5827255363781,
2021-12-07 23:59:59,-281.35740868775645,c
2021-12-08 00:00:00,-303.9078706168644,
2021-12-08 03:30:00,-300.20190267449846,
2021-12-08 04:00:00,-283.3548570246288,
2021-12-08 06:00:00,-238.79436779328768,
2021-12-08 08:00:00,-266.13835928721244,
2021-12-08 10:30:00,-280.1111464652331,
2021-12-08 11:00:00,-288.73650506302357,
2021-12-08 23:59:59,-276.29124136570096,c
2021-12-09 00:00:00,-272.9515227300137,
2021-12-09 03:30:00,-264.8381767509255,
2021-12-09 04:00:00,-245.6811617948092,
2021-12-09 06:00:00,-243.28471098815604,
2021-12-09 08:00:00,-227.01644349033396,
