date,DVY_HEDGED_2022_Q1,meta
2022-03-22 15:00:00,71.56392439746608,
2022-03-22 15:30:30,71.56392439746608,
2022-03-22 23:59:59,64.90106244767779,c
2022-03-23 00:00:00,54.82373313037883,
2022-03-23 10:00:00,39.61612990694309,
2022-03-23 10:30:00,53.005946922616005,
2022-03-23 12:00:00,58.920768776931,
2022-03-23 13:30:00,49.916860876307084,
2022-03-23 15:00:00,35.26720786014434,
2022-03-23 15:30:30,35.26720786014434,
2022-03-23 23:59:59,26.60835233021956,c
2022-03-24 00:00:00,21.30211702675325,
2022-03-24 10:00:00,5.779478344395528,
2022-03-24 10:30:00,18.95044064847866,
2022-03-24 12:00:00,25.27555968684794,
2022-03-24 13:30:00,28.409818434608667,
2022-03-24 15:00:00,29.40166945786507,
2022-03-24 15:30:30,29.40166945786507,
2022-03-24 23:59:59,30.69433551522556,c
2022-03-25 00:00:00,26.53690856421798,
2022-03-25 10:00:00,32.76231288411927,
2022-03-25 10:30:00,33.287916305288036,
2022-03-25 12:00:00,32.6587243080987,
2022-03-25 13:30:00,23.353216584906903,
2022-03-25 15:00:00,16.05745027372828,
2022-03-25 15:30:30,16.05745027372828,
2022-03-25 23:59:59,12.409955426744688,w
2022-03-28 00:00:00,38.33521788816387,
2022-03-28 10:00:00,22.34270285099393,
2022-03-28 10:30:00,19.716132143806675,
2022-03-28 12:00:00,16.135069679446588,
2022-03-28 13:30:00,20.28367924130555,
2022-03-28 15:00:00,15.892240267798854,
2022-03-28 15:30:30,15.892240267798854,
2022-03-28 23:59:59,21.57584009987167,c
2022-03-29 00:00:00,93.25392628336405,
2022-03-29 10:00:00,121.31929419128866,
2022-03-29 10:30:00,82.57869275571929,
2022-03-29 12:00:00,82.19732185462354,
2022-03-29 13:30:00,69.90272039028909,
2022-03-29 15:00:00,71.74976928410203,
2022-03-29 15:30:30,71.74976928410203,
2022-03-29 23:59:59,78.66980084760885,c
2022-03-30 00:00:00,67.40910445573567,
2022-03-30 10:00:00,73.17107428057889,
2022-03-30 10:30:00,57.235482795334605,
2022-03-30 12:00:00,64.85840036898591,
